Model,Year,Category,Rating,Displacement,Engine type,Engine details,Power,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Cooling system,Gearbox,Transmission type,Clutch,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front brakes,Diameter,Rear brakes,Dry weight,"Weight incl. oil, gas, etc",Power/weight ratio,Seat height,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Comments,Compression,Ignition,Fuel consumption,Greenhouse gases,Emission details,Rake (fork angle),Trail,Front tire,Rear tire,Wheels,Reserve fuel capacity,Torque,Lubrication system,Driveline,Overall height,Overall length,Overall width,Factory warranty,Carrying capacity,Top speed,Instruments,Light,Electrical,Seat,Exhaust system,Oil capacity,Alternate seat height,Max RPM,Modifications compared to previous model,0-100 km/h (0-62 mph),Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Pulley teeth,1/4 mile (0.4 km),Belt teeth,Belt width
Yamaha V-Star 650 Custom,2017,Custom / cruiser," 1.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"V2, four-stroke","70°, V-twin",,81.0 x 63.0 mm (3.2 x 2.5 inches),2,Carburettor. Mikuni BDS28 x 2,Single Overhead Cams (SOHC),Air,5-speed,Shaft drive (cardan)   (final drive),,Steel frame,41mm aluminum telescopic front fork,140 mm (5.5 inches),"Link-type, preload-adjustable single rear shock",86 mm (3.4 inches),Single disc,200 mm (7.9 inches),Expanding brake (drum brake),,233.0 kg (513.7 pounds),,"710 mm (28.0 inches) If adjustable, lowest setting.",,1610 mm (63.4 inches),16.00 litres (4.23 US gallons),White,Electric,,9.0:1,TCI,4.76 litres/100 km (21.0 km/l or 49.42 mpg),110.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,102 mm (4.0 inches),100/90-19 ,170/80-15 ,,,51.0 Nm (5.2 kgf-m or 37.6 ft.lbs) @ 4000 RPM,,,1075 mm (42.3 inches),2340 mm (92.1 inches),880 mm (34.6 inches),,,,Tank-mounted,"60/55-watt, halogen headlight ",,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Burgman 650 Executive,2017,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",638.0 ccm (38.93 cubic inches),"Twin, four-stroke",,56.0 HP (40.9  kW)) @ 7000 RPM,75.5 x 71.3 mm (3.0 x 2.8 inches),4,Injection. Suzuki Fuel Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,Automatic,Belt   (final drive),,Tubular frame and aluminum-alloy swingarm,"Telescopic, coil spring, oil damped",110 mm (4.3 inches),"Swingarm type, coil spring, oil damped",100 mm (3.9 inches),Double disc,100 mm (3.9 inches),Single disc,,277.0 kg (610.7 pounds),,"760 mm (29.9 inches) If adjustable, lowest setting.",125 mm (4.9 inches),1585 mm (62.4 inches),15.14 litres (4.00 US gallons),Pearl Bracing White,Electric,Windscreen. Eco drive indicator light.,11.2:1,Electronic ignition (Transistorized),,,,,,120/70-R15 ,160/60-R14 ,Cast-aluminum wheels,,62.0 Nm (6.3 kgf-m or 45.7 ft.lbs) @ 5000 RPM,Wet sump,CVT,1435 mm (56.5 inches),2270 mm (89.4 inches),810 mm (31.9 inches),12 month unlimited mileage limited warranty,50-litre under-seat compartment. Three compartments below the handlebars.,160.0 km/h (99.4 mph),,,,Electric seat heater,,,,,,,,,,,,,,,,,,,,,,,
Victory Vegas 8-Ball,2017,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1737.1 ccm (106.00 cubic inches),"V2, four-stroke","50° V-Twin. Self-adjusting cam chains, hydraulic lifters.",,101.0 x 108.0 mm (4.0 x 4.3 inches),,Injection. Electronic Fuel Injection with dual 45mm throttle body,,Oil & air,6-speed,Belt   (final drive),Wet Multi-Plate/Diaphragm Spring,,Telescopic Fork,130 mm (5.1 inches),Single Monotube Gas/Preload Adjustable,76 mm (3.0 inches),Single disc. Floating discs. Four-piston calipers. ,300 mm (11.8 inches),Single disc. Floating disc. Two-piston calipers. ,309.4 kg (682.0 pounds),,,"640 mm (25.2 inches) If adjustable, lowest setting.",135 mm (5.3 inches),1704 mm (67.1 inches),17.03 litres (4.50 US gallons),Gloss Black,Electric,,9.4:1,,,,,33.0°,130 mm (5.1 inches),90/90-21 ,180/55-B18 ,,,,,Carbon Fiber Reinforced Belt. Primary drive: Gear Drive with Torque Compensator.,,2461 mm (96.9 inches),,,,,,,YTX20HL-BS/12 Volt 18 Amp Hour 310 CCA battery.,Solo seat,ABS/Cruise Control,4.70 litres (4.97 US quarts),,,,,,,,,,,,,,,,,,,,,
Triumph Speed Triple R,2017,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1050.0 ccm (64.07 cubic inches),"In-line three, four-stroke",,140.0 HP (102.2  kW)) @ 9500 RPM,79.0 x 71.4 mm (3.1 x 2.8 inches),4,Injection. Multipoint sequential electronic fuel injection with SAI,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),"Wet, multi-plate slip assist cltuch","Aluminum beam twin-spar. Single-sided, aluminum alloy with eccentric chain adjuster swing arm.","Ohlins 43mm NIX30 upside down forks with adjustable rebound and compression damping,",120 mm (4.7 inches),"Öhlins TTX36 twin tube Monoshock with rebound and compression damping,",130 mm (5.1 inches),Double disc. Brembo 4-piston Monobloc radial calipers. Switchable ABS.,255 mm (10.0 inches),Single disc. Nissin single 2-piston sliding caliper. Switchable ABS.,192.0 kg (423.3 pounds),,0.7292 HP/kg,"825 mm (32.5 inches) If adjustable, lowest setting.",,1435 mm (56.5 inches),17.50 litres (4.62 US gallons),"Graphite, White
",Electric,Switchable traction control. Light weight carbon fibre body panels.,12.3:1,,6.92 litres/100 km (14.5 km/l or 33.99 mpg),160.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,,22.9°,91 mm (3.6 inches),120/70-ZR17 ,180/55-ZR17 ,Cast aluminum alloy multi-spoke,,112.0 Nm (11.4 kgf-m or 82.6 ft.lbs) @ 7850 RPM,,X ring chain,1070 mm (42.1 inches),2086 mm (82.1 inches),728 mm (28.7 inches),2 year warranty unlimited mileage,,,"LCD multi-functional instrument pack with digital speedometer, fuel gauge, trip computer, analogue tachometer, lap timer, programmable gear change lights, service interval announcement display, TPMS ready",LED headlight,,,Stainless Steel 3 into 1 into 2. twin high level stainless steel pipes.,3.80 litres (4.02 US quarts),,,,,,,,,,,,,,,,,,,,,
Kymco Super 8 50X,2017,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,1.9 HP (1.4  kW)) @ 7400 RPM,39.0 x 41.4 mm (1.5 x 1.6 inches),,Carburettor,Single Overhead Cams (SOHC),Air,Automatic,Belt   (final drive),"Wet, multiplate",Steel,Telescopic forks,80 mm (3.1 inches),Mono Shock,25 mm (1.0 inches),Single disc,,Expanding brake (drum brake),95.5 kg (210.5 pounds),,0.0199 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,1321 mm (52.0 inches),4.92 litres (1.30 US gallons),"Black, yellow",Electric & kick,,,,3.27 litres/100 km (30.6 km/l or 71.93 mpg),75.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,120/70-12 ,130/70-12 ,,,4.1 Nm (0.4 kgf-m or 3.0 ft.lbs) @ 7000 RPM,,CVT,1128 mm (44.4 inches),1933 mm (76.1 inches),683 mm (26.9 inches),2-Year Factory Warranty,Underseat Storage,,,,,Pop Up Driver Backrest/Passenger Seat,,,,,,,,,,,,,,,,,,,,,,,
Jawa-CZ 660 Sportard Adenium,2017,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,660.0 ccm (40.27 cubic inches),"Single cylinder, four-stroke",,48.3 HP (35.2  kW)) @ 6000 RPM,100.0 x 84.0 mm (3.9 x 3.3 inches),4,Carburettor. Bing,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),,Tubular,Telescopic forks,150 mm (5.9 inches),Bitubo shocks,170 mm (6.7 inches),Double disc,280 mm (11.0 inches),Single disc,196.0 kg (432.1 pounds),,0.2463 HP/kg,"825 mm (32.5 inches) If adjustable, lowest setting.",,1518 mm (59.8 inches),15.00 litres (3.96 US gallons),"Orange, red",Electric,,10.0:1,,,,,,,110/90-19 ,140/80-17 ,,1.50 litres (0.40 US gallons),57.5 Nm (5.9 kgf-m or 42.4 ft.lbs) @ 5000 RPM,,,,,,,Saddle bags,160.0 km/h (99.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Ninja 650 ABS,2017,Sport," 2.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Twin, four-stroke",,52.3 HP (38.2  kW)) @ 8000 RPM,83.0 x 60.0 mm (3.3 x 2.4 inches),2,Injection. DFI® with dual 38mm Keihin throttle bodies,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),,"Twin-pipe perimeter, high-tensile steel",41mm hydraulic telescopic fork,124 mm (4.9 inches),Single offset laydown shock with adjustable spring preload,130 mm (5.1 inches),Double disc. Petal discs and two-piston calipers. ABS.                                  ,220 mm (8.7 inches),Single disc. Petal disc and single piston caliper. ABS.                               ,,193.1 kg (425.6 pounds),,"805 mm (31.7 inches) If adjustable, lowest setting.",130 mm (5.1 inches),1410 mm (55.5 inches),16.00 litres (4.23 US gallons),"Candy Burnt Orange, Metallic Spark Black, Pearl Blizzard White ",Electric,,10.8:1,,,,,25.0°,110 mm (4.3 inches),120/70-17 ,160/60-17 ,,,56.0 Nm (5.7 kgf-m or 41.3 ft.lbs) @ 4000 RPM,"Forced lubrication, semi-dry sump",O-Ring Chain,1181 mm (46.5 inches),2111 mm (83.1 inches),770 mm (30.3 inches),12 months,,,Analogue-style tachometer and multi-function dual-window LCD screen,Dual headlamp,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki SFV650,2017,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,645.0 ccm (39.36 cubic inches),"V2, four-stroke",90-degree V-Twin,,81.0 x 62.5 mm (3.2 x 2.5 inches),,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),,Trellis steel frame,"Telescopic, coil spring, oil damped",124 mm (4.9 inches),"Link type, coil spring, oil damped, spring preload 7-step adjustable",130 mm (5.1 inches),Double disc. Two-piston calipers. ,240 mm (9.4 inches),Single disc. Single-piston caliper. ,,202.0 kg (445.3 pounds),,"785 mm (30.9 inches) If adjustable, lowest setting.",135 mm (5.3 inches),1445 mm (56.9 inches),15.00 litres (3.96 US gallons),Pearl Vigor Blue/Pearl Glacier White,Electric,,11.5:1,Electronic ,,,,25.0°,104 mm (4.1 inches),120/70-ZR17 ,160/60-ZR17 ,Cast aluminum alloy wheels ,,,Wet sump,Constant mesh,,2130 mm (83.9 inches),760 mm (29.9 inches),12 month unlimited mileage limited warranty.,,,"Analog tachometer, LCD digital speedometer, LCD dual trip-meters and odometer. ",,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta Stradale 800,2017,Sport touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,798.0 ccm (48.69 cubic inches),"In-line three, four-stroke",Counter-rotating crankshaft,115.0 HP (83.9  kW)) @ 11000 RPM,79.0 x 54.3 mm (3.1 x 2.1 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),Oil & air,6-speed,Chain   (final drive),"Hydraulic clutch, wet multi-disc.",ALS tubular steel,Marzocchi,150 mm (5.9 inches),Sachs,150 mm (5.9 inches),"Double disc. ABS. Brembo radial-type, with 4 pistons.",220 mm (8.7 inches),Single disc. ABS. Brembo with 2 pistons.,181.0 kg (399.0 pounds),,0.6354 HP/kg,"870 mm (34.3 inches) If adjustable, lowest setting.",125 mm (4.9 inches),1460 mm (57.5 inches),,"Red/silver, White/grey, Bronze/white",Electric,Windscreen. ,,,,,,25.2°,110 mm (4.3 inches),120/70-ZR17 ,180/55-ZR17 ,Aluminium alloy. Pirelli Diablo Rosso II or Scorpion Trail tyres.,,78.5 Nm (8.0 kgf-m or 57.9 ft.lbs) @ 9000 RPM,,,,2130 mm (83.9 inches),890 mm (35.0 inches),,Saddle bags,214.0 km/h (133.0 mph),"Monochrome fully digital, multi-function display",,12V 8.6 Ah battery. 350W alternator.,,,,,12000,,,,,,,,,,,,,,,,,,,
Lifan Royal 250,2017,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",248.9 ccm (15.19 cubic inches),"V2, four-stroke",,18.4 HP (13.4  kW)) @ 8000 RPM,49.0 x 66.0 mm (1.9 x 2.6 inches),2,,Single Overhead Cams (SOHC),Air,5-speed,Chain   (final drive),,,Telescopic fork,,Twin shocks,,Single disc,,Expanding brake (drum brake),152.0 kg (335.0 pounds),,0.1211 HP/kg,"671 mm (26.4 inches) If adjustable, lowest setting.",,1494 mm (58.8 inches),14.00 litres (3.70 US gallons),Black,Electric & kick,,10.0:1,,2.40 litres/100 km (41.7 km/l or 98.01 mpg),55.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,3.00-18 ,5.00-15 ,,,19.0 Nm (1.9 kgf-m or 14.0 ft.lbs) @ 6000 RPM,,,1143 mm (45.0 inches),2250 mm (88.6 inches),780 mm (30.7 inches),,,120.7 km/h (75.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 1600 GT,2017,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1649.0 ccm (100.62 cubic inches),"In-line six, four-stroke",,160.0 HP (116.8  kW)) @ 7750 RPM,72.0 x 67.5 mm (2.8 x 2.7 inches),4,Injection. Electronic intake pipe injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Shaft drive (cardan)   (final drive),Multiple-disc clutch in oil bath,"Bridge-type frame, cast aluminium, load-bearing engine",BMW Motorrad Duolever,125 mm (4.9 inches),BMW Motorrad Paralever,135 mm (5.3 inches),Double disc. ABS. Four-piston calipers. ,320 mm (12.6 inches),Single disc. ABS. Two-piston calipers. ,,334.0 kg (736.3 pounds),,"810 mm (31.9 inches) If adjustable, lowest setting.",,1618 mm (63.7 inches),26.50 litres (7.00 US gallons),"Lupin Blue Metallic/Black Storm Metallic, Black Storm Metallic, Mars Red Metallic",Electric,Windscreen,12.2:1,,5.70 litres/100 km (17.5 km/l or 41.27 mpg),132.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Closed-loop 3-way catalytic converter, emission standard EU-4",27.8°,108 mm (4.3 inches),120/70-17 ,190/55-17 ,Cast aluminium wheels,4.00 litres (1.06 US gallons),175.0 Nm (17.8 kgf-m or 129.1 ft.lbs) @ 5520 RPM,Dry sump,,1440 mm (56.7 inches),2324 mm (91.5 inches),1000 mm (39.4 inches),,Saddle bags,,,,Power transmission battery.,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Vulcan S ABS,2017,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Twin, four-stroke",,48.0 HP (35.0  kW)) @ 5700 RPM,83.0 x 60.0 mm (3.3 x 2.4 inches),4,"Injection. DFI  with two 38mm throttle bodies, with sub-throttles",Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),,High-tensile steel double pipe perimeter frame,41mm telescopic fork ,130 mm (5.1 inches),Lay-down offset rear shock with linkage and adjustable preload,81 mm (3.2 inches),Double disc. ABS. Two-piston calipers. ,250 mm (9.8 inches),Single disc. Single-piston caliper. ,,225.9 kg (498.0 pounds),,"706 mm (27.8 inches) If adjustable, lowest setting.",130 mm (5.1 inches),1575 mm (62.0 inches),14.00 litres (3.70 US gallons),,Electric,,10.8:1,TCBI with digital advance,,,,31.0°,119 mm (4.7 inches),120/70-18 ,160/60-17 ,,,77.0 Nm (7.9 kgf-m or 56.8 ft.lbs) @ 3700 RPM,,Sealed chain,1100 mm (43.3 inches),2311 mm (91.0 inches),881 mm (34.7 inches),12 Month Limited Warranty,,,,,,Various seat height options,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Bandit 650,2017,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",656.0 ccm (40.03 cubic inches),"In-line four, four-stroke",,85.0 HP (62.0  kW)) @ 10500 RPM,65.5 x 48.7 mm (2.6 x 1.9 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),,"Double cradle, steel","Telescopic, coil spring, oil damped, adjustable spring preload",130 mm (5.1 inches),"Link tpe, coil spring, oil dmaped, adjustable spring load and rebound damping",128 mm (5.0 inches),Double disc. Optional ABS,240 mm (9.4 inches),Single disc. Optional ABS,,244.0 kg (537.9 pounds),,"790 mm (31.1 inches) If adjustable, lowest setting.",,1470 mm (57.9 inches),19.00 litres (5.02 US gallons),"
",Electric,,11.5:1,Electronic,,,,26.0°,108 mm (4.3 inches),120/70-ZR17 ,160/60-ZR17 ,,,62.0 Nm (6.3 kgf-m or 45.7 ft.lbs) @ 8900 RPM,,Constant mesh,1230 mm (48.4 inches),2145 mm (84.4 inches),780 mm (30.7 inches),,,,,,,,,,"810 mm (31.9 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,
Honda CRF150R,2017,Cross / motocross," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",149.0 ccm (9.09 cubic inches),"Single cylinder, four-stroke",,23.5 HP (17.1  kW)) @ 12500 RPM,66.0 x 43.7 mm (2.6 x 1.7 inches),4,Carburettor. Keihin® 32mm flat slide with Throttle Position Sensor (TPS),Single Overhead Cams (SOHC),Liquid,5-speed,Chain   (final drive),,"Semi-double, steel tube",37mm fully adjustable leading-axle inverted Showa® cartridge fork; 10.8 inches travel,,Pro-Link® fully adjustable Showa single shock; 10.7 inches travel,,Single disc,190 mm (7.5 inches),Single disc,,83.9 kg (185.0 pounds),,"866 mm (34.1 inches) If adjustable, lowest setting.",336 mm (13.2 inches),1285 mm (50.6 inches),4.30 litres (1.14 US gallons),Red/white,Kick,Model ID: CRF150R,11.7:1,Solid-state CD with electronic advance,,,,27.0°,78 mm (3.1 inches),70/100-17 ,90/100-14 ,Aluminium rim/wire spoked,,14.1 Nm (1.4 kgf-m or 10.4 ft.lbs) @ 11000 RPM,,#420 chain; 15T/50T,1171 mm (46.1 inches),1900 mm (74.8 inches),770 mm (30.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pitster Pro XTR T4 250 SC,2017,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,223.0 ccm (13.61 cubic inches),"Single cylinder, four-stroke",,,65.5 x 66.2 mm (2.6 x 2.6 inches),,Carburettor. PZ30,Single Overhead Cams (SOHC),Air,5-speed,Chain   (final drive),Multi Plate Wet Clutch,High Tensile Steel,Telescopic Fork w/ adj. Compression and Rebound on Each Leg,305 mm (12.0 inches),Linkage-Piggy Back Reservoir w/ adj. Compression and Rebound,,Single disc. Hydraulic. ,241 mm (9.5 inches),Single disc. Hydraulic. ,112.0 kg (247.0 pounds),,,"889 mm (35.0 inches) If adjustable, lowest setting.",305 mm (12.0 inches),1346 mm (53.0 inches),2.50 litres (0.66 US gallons),White/blue/red,Electric & kick,Can be modified to an enduro bike with a kit.,9.6:1,CDI,,,,,,70/100-19 ,90/100-16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 1700 Classic Tourer,2017,Touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1700.0 ccm (103.73 cubic inches),"V2, four-stroke",,74.0 HP (54.0  kW)) @ 5000 RPM,102.0 x 104.0 mm (4.0 x 4.1 inches),4,Injection,Single Overhead Cams (SOHC),Liquid,6-speed,Belt   (final drive),Wet multi-disc,"Double-cradle, steel",43 mm telescopic fork,140 mm (5.5 inches),Swingarm with twin air-assisted shocks 4-way,80 mm (3.1 inches),Double disc. Dual twin-piston,300 mm (11.8 inches),Single disc. Twin-piston,,349.0 kg (769.4 pounds),,"720 mm (28.3 inches) If adjustable, lowest setting.",140 mm (5.5 inches),1665 mm (65.6 inches),20.00 litres (5.28 US gallons),Metallic Titanium/Metallic Spark Black,Electric,Windscreen.,9.5:1,,,,,30.0°,169 mm (6.7 inches),130/90-B16 ,170/70-B16 ,,,136.0 Nm (13.9 kgf-m or 100.3 ft.lbs) @ 2750 RPM,"Forced lubrication, semi-dry sump",,1465 mm (57.7 inches),2500 mm (98.4 inches),1025 mm (40.4 inches),,Hard saddle bags.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NC700X,2017,Super motard," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",670.0 ccm (40.88 cubic inches),"Twin, four-stroke",,,73.0 x 80.0 mm (2.9 x 3.1 inches),4,Injection. PGM-FI 36mm throttle body,Single Overhead Cams (SOHC),Liquid,6-speed,Chain   (final drive),,,41mm fork,137 mm (5.4 inches),Pro-Link HMAS single shock,150 mm (5.9 inches),Single disc. Two-piston calipers. ,240 mm (9.4 inches),Single disc. Single-piston caliper. ,,214.1 kg (472.0 pounds),,"831 mm (32.7 inches) If adjustable, lowest setting.",,1539 mm (60.6 inches),14.00 litres (3.70 US gallons),Candy Red,Electric,Model ID: NC700X,10.7:1,Digital transistorized with electronic advance,3.68 litres/100 km (27.2 km/l or 63.92 mpg),85.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,Meets current EPA standards. Models sold in California meet current CARB standards and may differ slightly due to emissions equipment.,27.0°,110 mm (4.3 inches),120/70-ZR17 ,160/60-ZR17 ,,,,,,,,,One year. Unlimited milage. Transferable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinnis Apache SMR,2017,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,,,,Injection,,,,,,,,,,,,,,,,,,,,,Black Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati XDiavel,2017,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1262.0 ccm (77.01 cubic inches),"V2, four-stroke",Ducati Testastretta DVT (Desmodromic Variable Timing) engine,156.0 HP (113.9  kW)) @ 9500 RPM,106.0 x 71.5 mm (4.2 x 2.8 inches),4,Injection. Bosch fuel injection system. Full ride-by-wire system.,Desmodromic valve control,Liquid,6-speed,Belt   (final drive),Slipper and self-servo wet multiplate clutch with hydraulic control.,Tubular steel trellis frame,Adjustable usd forks,120 mm (4.7 inches),"Single shock absorber, Adjustable preload and rebound",110 mm (4.3 inches),Double disc. ABS. Floating discs. Four-piston calipers. Radially mounted. ,265 mm (10.4 inches),Single disc. ABS. Floating disc. Two-piston calipers. ,235.0 kg (518.1 pounds),247.0 kg (544.5 pounds),0.6638 HP/kg,"755 mm (29.7 inches) If adjustable, lowest setting.",,1615 mm (63.6 inches),17.00 litres (4.49 US gallons),Dark Stealth,Electric,,13.0:1,Dual spark,,,Euro 4,30.0°,130 mm (5.1 inches),120/70-ZR17 ,240/45-ZR17 ,"Light alloy, Cast",,128.9 Nm (13.1 kgf-m or 95.1 ft.lbs) @ 5000 RPM,,,,2235 mm (88.0 inches),,24 months unlimited mileage,,,TFT colour display and dedicated warning light display,,,Dual seat,Stainless steel exhaust and muffler with dual oval exits,,,,,,,,,,,,,,,,,,,,,,
GAS GAS TXT Racing 250 E4,2017,Trial,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,247.7 ccm (15.11 cubic inches),"Single cylinder, two-stroke",Reed valve,,72.5 x 60.0 mm (2.9 x 2.4 inches),,Carburettor. Keihin PWK 28,,Liquid,6-speed,Chain   (final drive),GG 1/3 hydraulic-diaphragm-system,Chrom-Molybdenum tubular frame,TECH with aluminium bar Ø 39,180 mm (7.1 inches),Reiger hydraulic mono shock absorber (2 ways). Rebound and spring pre-load ajustable.,164 mm (6.5 inches),Single disc. Floating discs. Four-piston calipers. ,150 mm (5.9 inches),Single disc. Two-piston calipers. ,67.5 kg (148.8 pounds),,,"650 mm (25.6 inches) If adjustable, lowest setting.",,1320 mm (52.0 inches),2.50 litres (0.66 US gallons),Red/white/black,Kick,Spanish made bike. ,,,,,,,,2.75-21 ,4.00-18 ,Michelin Trial X11 tyres,,,2-stroke-oil/fuel mixed 1:50,,1130 mm (44.5 inches),2010 mm (79.1 inches),825 mm (32.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 450 SX-F,2017,Cross / motocross," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",449.3 ccm (27.42 cubic inches),"Single cylinder, four-stroke",,,95.0 x 63.4 mm (3.7 x 2.5 inches),,Injection,Single Overhead Cams (SOHC),Liquid,5-speed,Chain   (final drive),"Wet, DDS multi-disc clutch, Brembo hydraulics",25CrMo4 steel central-tube frame,"WP-USD, AER 48, Ø 48 mm",300 mm (11.8 inches),WP shock absorber with linkage,300 mm (11.8 inches),Single disc. Brake calipers on floating bearings,220 mm (8.7 inches),Single disc. Brake calipers on floating bearings,100.2 kg (220.9 pounds),,,"960 mm (37.8 inches) If adjustable, lowest setting.",370 mm (14.6 inches),1485 mm (58.5 inches),7.00 litres (1.85 US gallons),Orange/white/black,Electric,,,Keihin EMS,,,,26.5°,,,,CNC machined hubs. Excel rims. Wire spoked.,,,,5/8 x 1/4,,,,,,,,,Lightweight 495 g lithium-ion starter battery,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Dorsoduro 750 ABS,2017,Super motard," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",749.9 ccm (45.76 cubic inches),"V2, four-stroke",V90 longitudinal 90° V twin.,92.0 HP (67.2  kW)) @ 8750 RPM,92.0 x 56.4 mm (3.6 x 2.2 inches),4,Injection. Integrated engine management system. Electronic fuel injection with ride-by-wire electronic throttle control.,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),Hydraulically operated multi-plate wet clutch.,Modular steel trellis secured to aluminium side plates by high strength bolts. Detachable rear frame. ,Sachs upside - down. Spring preload and hydraulic  rebound adjustable. ,160 mm (6.3 inches),Aluminium alloy swingarm. Hydraulic Sachs monoshock  absorber. Spring preload and hydraulic rebound adjustable. ,155 mm (6.1 inches),Double disc. ABS.Stainless steel wave floating wave disc. 4-piston.,240 mm (9.4 inches),Single disc. ABS. Four-piston radial calipers..,186.0 kg (410.1 pounds),,0.4946 HP/kg,"870 mm (34.3 inches) If adjustable, lowest setting.",,1505 mm (59.3 inches),12.00 litres (3.17 US gallons),"Blue/silver/red, white/yellow",Electric,3 maps Ride-by-wire System. 2-channel Continental ABS system.,11.0:1,"Digital electronic, integrated in the fuel injection system.",,,Euro 3.,26.0°,108 mm (4.3 inches),120/70-17 ,180/55-17 ,Aluminium alloy rims.,,82.0 Nm (8.4 kgf-m or 60.5 ft.lbs) @ 4500 RPM,Wet sump,Primary drive: Spur gears. Transmission ratio 38/71 (1.87).  Final drive: Chain. Transmission ratio 16/46. ,1185 mm (46.7 inches),2216 mm (87.2 inches),905 mm (35.6 inches),1-year unlimited-mileage warranty.,,,,,,,Two in one system in 100% stainless steel with three-way catalytic converter and Lambda probe.,,,,,,,,,,,,,,,,,,,,,,
