Model,Year,Category,Rating,Displacement,Engine type,Power,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Driveline,Frame type,Rake (fork angle),Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Comments,Torque,Compression,Valves per cylinder,Trail,Front tire,Rear tire,"Weight incl. oil, gas, etc",Overall length,Overall width,Factory warranty,Engine details,Fuel consumption,Greenhouse gases,Exhaust system,Wheels,Seat,Overall height,Oil capacity,Instruments,Reserve fuel capacity,Electrical,Light,Carrying capacity,Emission details,Top speed,Alternate seat height,Modifications compared to previous model,Max RPM,Engine oil,Brake fluid,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Oil filter,Battery,Belt teeth,Belt width,Pulley teeth,Fork tube size,Coolant
Yamaha SR400,2015,Allround," 2.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",399.0 ccm (24.35 cubic inches),"Single cylinder, four-stroke",22.9 HP (16.7  kW)) @ 6500 RPM,87.0 x 67.2 mm (3.4 x 2.6 inches),Injection,Single Overhead Cams (SOHC),,Wet-sump,Air,5-speed,Chain   (final drive),"Wet, Multiple Disc",,Steel Double Cradle,24.7°,Telescopic fork,150 mm (5.9 inches),Dual shocks,125 mm (4.9 inches),Single disc,130 mm (5.1 inches),Expanding brake (drum brake),,,"790 mm (31.1 inches) If adjustable, lowest setting.",140 mm (5.5 inches),1410 mm (55.5 inches),12.00 litres (3.17 US gallons),"Black, grey",Kick,,27.4 Nm (2.8 kgf-m or 20.2 ft.lbs) @ 3000 RPM,8.5:1,2,111 mm (4.4 inches),90/100-18 ,110/90-18 ,174.0 kg (383.6 pounds),2085 mm (82.1 inches),750 mm (29.5 inches),,,,,,,,,2.40 litres (2.54 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda ST1300 ABS,2015,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1261.0 ccm (76.95 cubic inches),"V4, four-stroke",,78.0 x 66.0 mm (3.1 x 2.6 inches),"Injection. PGM-FI with automatic enricher circuit, four-36mm throttle bodies, 8 holes per injector",Double Overhead Cams/Twin Cam (DOHC),Computer-controlled digital with 3-D mapping and electronic advance,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,26.0°,45mm HMAS cartridge fork,117 mm (4.6 inches),HMAS gas-charged single shock with five-position spring-preload adjustability,122 mm (4.8 inches),Double disc. ABS. Floating discs. CBS three-piston calipers.,316 mm (12.4 inches),Single disc. ABS. CBS three-piston calipers.,,,"790 mm (31.1 inches) If adjustable, lowest setting.",,1491 mm (58.7 inches),29.14 litres (7.70 US gallons),Black,Electric,Model ID: ST1300A,,10.9:1,4,98 mm (3.9 inches),120/70-ZR18 ,170/60-ZR17 ,331.0 kg (729.7 pounds),,,Three Years. Unlimited milage. Transferable.,,6.72 litres/100 km (14.9 km/l or 35.00 mpg),155.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Scrambler Urban Enduro,2015,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",803.0 ccm (49.00 cubic inches),"V2, four-stroke",75.0 HP (54.7  kW)) @ 8250 RPM,88.0 x 66.0 mm (3.5 x 2.6 inches),"Injection. EFI, 50 mm throttle body",Desmodromic valve control,,,Air,6-speed,Chain   (final drive),APTC wet multiplate with mechanical control,,Tubular steel Trellis,24.0°,Upside down Kayaba 41 mm fork,150 mm (5.9 inches),"Kayaba rear shock, pre-load adjustable",150 mm (5.9 inches),Single disc. ABS. Four-piston calipers. ,245 mm (9.6 inches),Single disc. ABS. Floating disc. Single-piston caliper. ,176.0 kg (388.0 pounds),0.4261 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,1445 mm (56.9 inches),13.50 litres (3.57 US gallons),Wild green,Electric,"Aluminium engine sump guard, high front mudguard, headlight grill, aluminium handlebar cross-strut, front stem protectors,  dedicated logo",68.0 Nm (6.9 kgf-m or 50.2 ft.lbs) @ 5750 RPM,,2,112 mm (4.4 inches),110/80-ZR18 ,180/55-ZR17 ,192.0 kg (423.3 pounds),2100 mm (82.7 inches),845 mm (33.3 inches),,L-twin ,,,Single stainless steel muffler,Spoked aluminium wheels,Ribbed seat,1150 mm (45.3 inches),,LCD instrument panel ,,,,,Euro 3,,,,,,,,,,,,,,,,,,,,,,
Triumph Tiger 800 ABS,2015,Super motard," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",799.0 ccm (48.75 cubic inches),"In-line three, four-stroke",95.0 HP (69.3  kW)) @ 9300 RPM,74.0 x 61.9 mm (2.9 x 2.4 inches),Injection. Multipoint sequential electronic fuel injection,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,6-speed,Chain   (final drive),Wet. multi-plate,O ring chain,Tubular steel trellis frame,24.3°,"WP 43mm upside down forks, adjustable rebound and compression DAMPING - See more at: http://www.triumphmotorcycles.com/bikes/tiger/2015/tiger-800-xc#engine",220 mm (8.7 inches),"WP monoshock with remote oil reservoir, hydraulically adjustable preload, rebound damping adjustment - See more at: http://www.triumphmotorcycles.com/bikes/tiger/2015/tiger-800-xc#engine",215 mm (8.5 inches),"Double disc. Floating discs, Nissin 2-piston sliding calipers, Switchable ABS. ",255 mm (10.0 inches),"Single disc. Nissin single piston sliding caliper, Switchable ABS.",193.0 kg (425.5 pounds),0.4922 HP/kg,"845 mm (33.3 inches) If adjustable, lowest setting.",,1545 mm (60.8 inches),19.00 litres (5.02 US gallons),"Black, White",Electric,Windscreen,79.0 Nm (8.1 kgf-m or 58.3 ft.lbs) @ 7850 RPM,,4,95 mm (3.8 inches),90/90-21 ,150/70-17 ,218.0 kg (480.6 pounds),2215 mm (87.2 inches),865 mm (34.1 inches),24 months unlimited milage,,5.74 litres/100 km (17.4 km/l or 40.98 mpg),133.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,Stainless steel 3 into 1. high level stainless steel silencer,"36-spoke, aluminium rim.",,1390 mm (54.7 inches),3.70 litres (3.91 US quarts),"LCD multi-functional instrument pack with digital speedometer, trip computer, analogue tachometer, gear position indicator, fuel gauge, service indicator, switchable ABS and clock",,,,"Top box, saddle bags",,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZ-07,2015,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",689.0 ccm (42.04 cubic inches),"Twin, four-stroke",,80.0 x 68.6 mm (3.1 x 2.7 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),TCI: Transistor Controlled Ignition,Wet sump,Liquid,6-speed,Chain   (final drive),"Wet, Multiple Disc",Constant mesh,Diamond,24.0°,41mm fork,130 mm (5.1 inches),"Single shock, adjustable preload",130 mm (5.1 inches),Double disc. Hydraulic. ,245 mm (9.6 inches),Single disc. Hydraulic. ,,,"805 mm (31.7 inches) If adjustable, lowest setting.",,1400 mm (55.1 inches),14.00 litres (3.70 US gallons),"Pearl White, Liquid Graphite, ",Electric,,,11.5:1,4,,120/70-ZR17 ,180/55-ZR17 ,180.1 kg (397.0 pounds),2085 mm (82.1 inches),744 mm (29.3 inches),1 Year Limited Factory Warranty,,4.06 litres/100 km (24.6 km/l or 57.94 mpg),94.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,1090 mm (42.9 inches),3.40 litres (3.59 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha JogR,2015,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",2.7 HP (2.0  kW)) @ 7000 RPM,40.0 x 39.2 mm (1.6 x 1.5 inches),Carburettor. Gurtner PY12,Single Overhead Cams (SOHC),CDI,Separate lubrication,Air,Automatic,Belt   (final drive),,,Steel,,Telescopic fork,70 mm (2.8 inches),Unit Swing,60 mm (2.4 inches),Single disc,110 mm (4.3 inches),Expanding brake (drum brake),,,"770 mm (30.3 inches) If adjustable, lowest setting.",132 mm (5.2 inches),1210 mm (47.6 inches),5.50 litres (1.45 US gallons),"White, black",Electric & kick,,2.5 Nm (0.3 kgf-m or 1.8 ft.lbs) @ 7000 RPM,11.6:1,,,110/70-12 ,120/70-12 ,81.0 kg (178.6 pounds),1740 mm (68.5 inches),675 mm (26.6 inches),,,,,,6-spoke aluminium rims,,1065 mm (41.9 inches),,Analogue/digital instruments,,,,Storage compartment and luggage hook,,,,,,,,,,,,,,,,,,,,,,,
Honda Wave Dash 110,2015,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,110.0 ccm (6.71 cubic inches),"Single cylinder, four-stroke",8.5 HP (6.2  kW)) @ 8460 RPM,50.0 x 55.6 mm (2.0 x 2.2 inches),Carburettor,Overhead Cams (OHC),DC-CDI (Capacitor Discharge Ignition),,Air,4-speed,Chain   (final drive),,Constant Mesh,Steel,,,,,,Single disc. Hydraulic Ventilated Disk,,Expanding brake (drum brake),94.0 kg (207.2 pounds),0.0900 HP/kg,"669 mm (26.3 inches) If adjustable, lowest setting.",147 mm (5.8 inches),1221 mm (48.1 inches),3.70 litres (0.98 US gallons),"Blue, red, silver",Electric & kick,,8.6 Nm (0.9 kgf-m or 6.3 ft.lbs) @ 5500 RPM,,,,70/90-17 ,80/90-17 ,,1885 mm (74.2 inches),,,,,,,Alloy rims,,1071 mm (42.2 inches),1.00 litres (1.06 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha MT-09,2015,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",847.0 ccm (51.68 cubic inches),"In-line three, four-stroke",113.5 HP (82.8  kW)) @ 10000 RPM,78.0 x 59.1 mm (3.1 x 2.3 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),TCI,Wet sump,Liquid,6-speed,Chain   (final drive),"Wet, Multiple Disc",,Diamond,25.0°,Telescopic forks,137 mm (5.4 inches),"Swingarm, (Link type suspension)",130 mm (5.1 inches),Double disc. Hydraulic. ,245 mm (9.6 inches),Single disc. Hydraulic. ,,,"815 mm (32.1 inches) If adjustable, lowest setting.",135 mm (5.3 inches),1440 mm (56.7 inches),14.00 litres (3.70 US gallons),"Red, grey, blue, black",Electric,,87.5 Nm (8.9 kgf-m or 64.5 ft.lbs) @ 8900 RPM,11.5:1,4,103 mm (4.1 inches),120/70-ZR17 ,180/55-ZR17 ,188.0 kg (414.5 pounds),2075 mm (81.7 inches),815 mm (32.1 inches),,,,,,,,1135 mm (44.7 inches),3.40 litres (3.59 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haojin HJ125-20A,2015,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",10.5 HP (7.6  kW)),,Carburettor,,,,Air,,Chain   (final drive),,,,,,,,,Single disc,,Expanding brake (drum brake),113.0 kg (249.1 pounds),0.0926 HP/kg,,,1310 mm (51.6 inches),10.70 litres (2.83 US gallons),"Red, black, blue, orange",Electric & kick,Chinese made bike.,8.8 Nm (0.9 kgf-m or 6.5 ft.lbs) @ 7000 RPM,,,,,,,2064 mm (81.3 inches),750 mm (29.5 inches),,,2.10 litres/100 km (47.6 km/l or 112.01 mpg),48.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,5-spoke black,,1085 mm (42.7 inches),,,,,,,,85.0 km/h (52.8 mph),,,,,,,,,,,,,,,,,,,,,
KTM 250 XC,2015,Cross / motocross," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",,66.4 x 72.0 mm (2.6 x 2.8 inches),,,,,Liquid,6-speed,Chain   (final drive),Multidisc clutch DDS in oil bath/hydraulically activated,5/8 x 1/4,Central tube frame made of chrome molybdenum steel tubing,26.5°,WP  Suspension Up Side Down 4860 MXMA CC,300 mm (11.8 inches),WP  Suspension 5018 BAVP DCC,317 mm (12.5 inches),Single disc. Galfer Wave discs,220 mm (8.7 inches),Single disc. Galfer Wave discs,103.9 kg (229.1 pounds),,"992 mm (39.1 inches) If adjustable, lowest setting.",395 mm (15.6 inches),1495 mm (58.9 inches),10.00 litres (2.64 US gallons),Orange/black,Electric & kick,,,,,,,,,,,,Reed intake. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ6 Diversion,2015,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",77.5 HP (56.6  kW)) @ 10000 RPM,65.5 x 44.5 mm (2.6 x 1.8 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),TCI,Wet sump,Liquid,6-speed,Chain   (final drive),"Wet, Multiple Disc",Constant Mesh,"Steel, Diamond Shaped",26.0°,Telescopic forks,130 mm (5.1 inches),Linked monoshock with spring preload adjustment,130 mm (5.1 inches),Double disc. Hydraulic,245 mm (9.6 inches),Single disc. Hydraulic,,,"785 mm (30.9 inches) If adjustable, lowest setting.",140 mm (5.5 inches),1440 mm (56.7 inches),17.00 litres (4.49 US gallons),"Blue, white",Electric,Small windscreen.,59.7 Nm (6.1 kgf-m or 44.0 ft.lbs) @ 6100 RPM,12.2:1,4,103 mm (4.1 inches),120/70-ZR17 ,160/60-ZR17 ,211.0 kg (465.2 pounds),2120 mm (83.5 inches),770 mm (30.3 inches),,Forward-inclined parallel cylinders,,,,,,1210 mm (47.6 inches),3.40 litres (3.59 US quarts),,,,,,Three-way catalyser with O2 sensor,,,,,,,,,,,,,,,,,,,,,,
Peugeot Django Evasion 50,2015,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",4.0 HP (2.9  kW)),,Carburettor,,,,Air,Automatic,Belt   (final drive),,,,,,,,,Single disc,,Expanding brake (drum brake),113.0 kg (249.1 pounds),0.0356 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,,,"Red, Green, Orange, Blue",Electric,,,,,,2.50-12 ,2.50-12 ,,,,2 years unlimited mileage,,,,,,Two-person seat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-RR,2015,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,999.0 ccm (60.96 cubic inches),"In-line four, four-stroke",230.0 HP (167.9  kW)),74.5 x 57.3 mm (2.9 x 2.3 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),ECU,,Liquid,6-speed,Chain   (final drive),,,Twin-spar aluminium,,"Ohlins, inverted fork",,Ohlins,,"Double disc. Brembo, carbon disk",,"Single disc. Bremo, steel disk",160.0 kg (352.7 pounds),1.4375 HP/kg,,,1458 mm (57.4 inches),,Blue,,,,,4,,120/70-16.5 ,190/50-16.5 ,,2096 mm (82.5 inches),720 mm (28.3 inches),,,,,,,,1140 mm (44.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSR250,2015,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,248.0 ccm (15.13 cubic inches),"Twin, four-stroke",24.4 HP (17.8  kW)) @ 8500 RPM,53.5 x 55.2 mm (2.1 x 2.2 inches),Injection,Single Overhead Cams (SOHC),"Electronic ignition, fully transistorized",Wet sump,Liquid,6-speed,Chain   (final drive),,Constant mesh,Semi double-cradle ,,"Telescopic, coil spring, oil damped",237 mm (9.3 inches),"Swingarm, coil spring, oil damped",125 mm (4.9 inches),Single disc,,Single disc,,,"780 mm (30.7 inches) If adjustable, lowest setting.",,1430 mm (56.3 inches),13.00 litres (3.43 US gallons),Black,Electric,,22.0 Nm (2.2 kgf-m or 16.2 ft.lbs) @ 6500 RPM,11.5:1,2,,110/80-17 ,140/70-17 ,183.0 kg (403.4 pounds),2145 mm (84.4 inches),,,,2.50 litres/100 km (40.0 km/l or 94.09 mpg),58.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLX 150L,2015,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",144.0 ccm (8.79 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)) @ 8000 RPM,58.0 x 54.4 mm (2.3 x 2.1 inches),Carburettor. Keihin NCV24,Single Overhead Cams (SOHC),CDI,,Air,5-speed,Chain   (final drive),Multi disc,,"Perimeter, steel",26.0°,33mm telescopic fork ,175 mm (6.9 inches),"Uni-Trak, with 5-way adjustable preload",190 mm (7.5 inches),Single disc. Two-piston calipers. ,190 mm (7.5 inches),Single disc,,,"875 mm (34.4 inches) If adjustable, lowest setting.",300 mm (11.8 inches),1340 mm (52.8 inches),5.68 litres (1.50 US gallons),Lime Green,Electric & kick,,11.3 Nm (1.2 kgf-m or 8.3 ft.lbs) @ 6500 RPM,9.5:1,,106 mm (4.2 inches),70/100-21 ,90/100-18 ,115.0 kg (253.5 pounds),2080 mm (81.9 inches),770 mm (30.3 inches),,,,,,,,1145 mm (45.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norton Commando 961 Cafe Racer,2015,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,961.0 ccm (58.64 cubic inches),"Twin, four-stroke",80.0 HP (58.4  kW)) @ 6500 RPM,,Injection,,Digital,Dry sump,Air,5-speed,Chain   (final drive),Wet multi-plate hydraulic lifter,525 “O” ring chain,Steel tubular with integral oil tank,24.5°,"43mm Ohlins USD - Adjustable preload, compression  and    rebound   damping.",115 mm (4.5 inches),"Ohlins reservoir-style twin shocks - Adjustable ride height,   reload,   compression and rebound",110 mm (4.3 inches),"Double disc. Full Brembo system, twin semi-floating hi  carbon stainless steel discs, Brembo 4 piston “Gold Line” axial callipers",220 mm (8.7 inches),"Single disc. Full Brembo system, 2  piston “Gold Line” calliper",188.0 kg (414.5 pounds),0.4255 HP/kg,"813 mm (32.0 inches) If adjustable, lowest setting.",,1420 mm (55.9 inches),17.03 litres (4.50 US gallons),"Black, White, Red, Green
",Electric,,90.0 Nm (9.2 kgf-m or 66.4 ft.lbs) @ 5200 RPM,10.1:1,2,90 mm (3.5 inches),120/70-17 ,180/55-17 ,203.5 kg (448.6 pounds),,,,"Parallel twin with push-rod valve actuation, dry sump, 3 bearing crank and   balancer shaft. ",,,Multiple 3 way catalytic converter,Stainless steel spoked polished rim,,,3.30 litres (3.49 US quarts),"Analogue speedo and tachometer. Multi-function display including mileage, trip, battery voltage  and  time.",4.00 litres (1.06 US gallons),300 watt hi-output charging system.,,,Euro 3 compliant with electronic fuel injection and multiple 3 way catalytic   converter,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 1700 Classic,2015,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1700.0 ccm (103.73 cubic inches),"V2, four-stroke",74.0 HP (54.0  kW)) @ 5000 RPM,102.0 x 104.0 mm (4.0 x 4.1 inches),Injection,Single Overhead Cams (SOHC),Digital,"Forced lubrication, semi-dry sump",Liquid,6-speed,Belt   (final drive),"Wet multi-disc, manual",,"Double-cradle, steel",30.0°,43 mm telescopic fork,140 mm (5.5 inches),Swingarm with twin air-assisted shocks 4-way,80 mm (3.1 inches),Double disc,300 mm (11.8 inches),Single disc,,,"720 mm (28.3 inches) If adjustable, lowest setting.",130 mm (5.1 inches),1665 mm (65.6 inches),20.00 litres (5.28 US gallons),Black,Electric,,135.0 Nm (13.8 kgf-m or 99.6 ft.lbs) @ 2750 RPM,9.5:1,4,169 mm (6.7 inches),130/90-B16 ,170/70-B16 ,349.0 kg (769.4 pounds),2500 mm (98.4 inches),1025 mm (40.4 inches),,,,,,,,1155 mm (45.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Monster 795,2015,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,803.0 ccm (49.00 cubic inches),"V2, four-stroke",85.8 HP (62.6  kW)) @ 8250 RPM,88.0 x 66.0 mm (3.5 x 2.6 inches),Injection. 45mm throttle body with stepper motor,Desmodromic valve control,,,Air,6-speed,Chain   (final drive),APTC wet multiplate with hydraulic control,Chain; Front sprocket 15; Rear sprocket 39. Primary drive: Straight cut gears; Ratio 1.85.,"Tubular chrome moly steel trellis, casted aluminium subframe",24.0°,43mm upside-down forks,120 mm (4.7 inches),Double sides swingarm,148 mm (5.8 inches),Double disc. Four-piston calipers. ,245 mm (9.6 inches),Single disc. Two-piston calipers. ,167.0 kg (368.2 pounds),0.5140 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,1450 mm (57.1 inches),15.00 litres (3.96 US gallons),Black/red,Electric,,78.0 Nm (8.0 kgf-m or 57.5 ft.lbs) @ 8000 RPM,11.0:1,2,87 mm (3.4 inches),120/60-ZR17 ,160/60-ZR17 ,187.0 kg (412.3 pounds),2110 mm (83.1 inches),780 mm (30.7 inches),2 years unlimited mileage,L-Twin,,,Lightweight 2-1-2 system with catalytic converter and twin lambda probes,3-spoke light alloy,,1060 mm (41.7 inches),,"Digital unit displaying  Speedometer, rev counter, time, scheduled maintenance warning, oil temperature, trip fuel, lap time, warning light for low oil pressure, fuel level, fuel reserve, neutral, turn signals, overrev, immobilizer. Ready for DDA system.",,,,,Euro 3,,,,,,,,,,,,,,,,,,,,,,
Aprilia RS4 125,2015,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",124.8 ccm (7.62 cubic inches),"Single cylinder, four-stroke",15.0 HP (10.9  kW)) @ 10500 RPM,58.0 x 47.0 mm (2.3 x 1.9 inches),Injection,,Electronic with CDI capacity discharge ,Wet sump,Liquid,6-speed,Chain   (final drive),Multi-plate in oil bath.,Primary drive: Gearbox: 63/19 (3.31).  Final drive: Chain: 17/40 (2.35).,Aluminium perimeter frame ,,"Upside down hydraulic fork, 40 mm. ",110 mm (4.3 inches),Swingarm. Hydraulic monoshock with adjustable spring preload. ,122 mm (4.8 inches),Single disc. Stainless steel disc with radial 4 piston calliper,220 mm (8.7 inches),Single disc. Single 30 mm piston,,,"820 mm (32.3 inches) If adjustable, lowest setting.",,1350 mm (53.1 inches),14.50 litres (3.83 US gallons),"Black, yellow",Electric,,10.9 Nm (1.1 kgf-m or 8.0 ft.lbs) @ 8250 RPM,12.5:1,4,,110/80-R17 ,130/70-R17 ,120.0 kg (264.6 pounds),1955 mm (77.0 inches),740 mm (29.1 inches),,,,,,Light alloy with 6 split spokes,,,,,3.50 litres (0.92 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-S1000 ABS,2015,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,999.0 ccm (60.96 cubic inches),"In-line four, four-stroke",,74.5 x 57.3 mm (2.9 x 2.3 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),,Wet sump,Liquid,6-speed,Chain   (final drive),,,Aluminium,25.0°,"Inverted telescopic, coil spring, oil damped",,"Link type, coil spring, oil damped",,Double disc. ABS,,Single disc. ABS,209.0 kg (460.8 pounds),,"810 mm (31.9 inches) If adjustable, lowest setting.",140 mm (5.5 inches),1460 mm (57.5 inches),17.00 litres (4.49 US gallons),Metallic Triton Blue,Electric,"Sold as a 2016 model, but available early 2015.",,12.2:1,4,100 mm (3.9 inches),120/70-ZR17 ,190/50-ZR17 ,,2115 mm (83.3 inches),795 mm (31.3 inches),12 month unlimited mileage limited warranty.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KX 250F,2015,Cross / motocross," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,77.0 x 53.6 mm (3.0 x 2.1 inches),Injection. DFI  with 43mm Keihin throttle body and dual injectors,Double Overhead Cams/Twin Cam (DOHC),Digital DC-CDI,,Liquid,5-speed,Chain   (final drive),,,Aluminum perimeter,28.7°,48mm inverted Showa SFF telescopic fork with 40-way spring preload adjustability and 22 position compression and 20 position rebound damping adjustability,315 mm (12.4 inches),"Uni-Trak  linkage system and Showa shock with 9 position low-speed and stepless high-speed compression damping, 22 position rebound damping and fully adjustable spring preload",310 mm (12.2 inches),Single disc. Petal disc with 2-piston caliper                                    ,240 mm (9.4 inches),Single disc. Petal disc with single-piston caliper                                    ,,,"945 mm (37.2 inches) If adjustable, lowest setting.",330 mm (13.0 inches),1476 mm (58.1 inches),6.09 litres (1.61 US gallons),Lime Green,,,,13.8:1,4,127 mm (5.0 inches),80/100-21 ,100/90-19 ,106.0 kg (233.6 pounds),2169 mm (85.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Star Raider SCL,2015,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1851.9 ccm (113.00 cubic inches),"V2, four-stroke",,100.0 x 118.0 mm (3.9 x 4.6 inches),Injection. Twin-Bore electronic fuel injection; throttle position sensor,Overhead Valves (OHV),TCI: Transistor Controlled Ignition,,Air,5-speed,Belt   (final drive),"Wet, multiplate",,Double cradle,,Telescopic fork,130 mm (5.1 inches),Swingarm,89 mm (3.5 inches),Double disc. Hydraulic. ,310 mm (12.2 inches),Single disc. Hydraulic. ,,,"696 mm (27.4 inches) If adjustable, lowest setting.",145 mm (5.7 inches),1801 mm (70.9 inches),15.90 litres (4.20 US gallons),Matte Iron/Matte Raven,Electric,,,9.5:1,4,,120/70-21 ,210/40-M18 ,340.2 kg (750.0 pounds),2570 mm (101.2 inches),925 mm (36.4 inches),1 Year Limited Factory Warranty,48° V-twin,5.60 litres/100 km (17.9 km/l or 42.00 mpg),129.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,5-spoke,,1166 mm (45.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CRF80F,2015,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",80.0 ccm (4.88 cubic inches),"Single cylinder, four-stroke",,47.5 x 45.0 mm (1.9 x 1.8 inches),Carburettor. 20mm piston-valve carburator,Single Overhead Cams (SOHC),CD,,Air,5-speed,Chain   (final drive),Automatic,#420 chain; 14T/46T,,28.0°,27.0mm leading-axle Showa fork,90 mm (3.5 inches),Pro-Link Showa single shock,70 mm (2.8 inches),Expanding brake (drum brake),,Expanding brake (drum brake),,,"734 mm (28.9 inches) If adjustable, lowest setting.",218 mm (8.6 inches),914 mm (36.0 inches),4.92 litres (1.30 US gallons),Red,Kick,Model ID: CRF80F,,9.7:1,2,74 mm (2.9 inches),2.50-16 ,3.60-14 ,73.9 kg (163.0 pounds),,,6 months,,,,,,,,,,1.14 litres (0.30 US gallons),,,,Meets current CARB and EPA standards.,,,,,,,,,,,,,,,,,,,,,,
