Model,Year,Category,Rating,Displacement,Engine type,Torque,Compression,Bore x stroke,Fuel system,Cooling system,Gearbox,Rake (fork angle),Trail,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Seat height,Overall length,Ground clearance,Wheelbase,Fuel capacity,Color options,Comments,Power,Valves per cylinder,Fuel control,Transmission type,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Power/weight ratio,Overall width,Reserve fuel capacity,Top speed,Fuel consumption,Greenhouse gases,Modifications compared to previous model,Overall height,Max RPM,Ignition,Lubrication system,Clutch,Exhaust system,Starter,"Weight incl. oil, gas, etc",Alternate seat height,Oil capacity,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Idle speed,Belt teeth,Belt width,Pulley teeth,Fork tube size,0-100 km/h (0-62 mph),Driveline,Electrical,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Coolant,Chain size,Engine details,Wheels
Vertemati S 501 E Motard,2004,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,501.0 ccm (30.57 cubic inches),"Single cylinder, four-stroke",,,92.0 x 75.5 mm (3.6 x 3.0 inches),Carburettor,Liquid,6-speed,,,120/70-17 ,160/60-17 ,Single disc,220 mm (8.7 inches),Single disc,120.0 kg (264.6 pounds),,2115 mm (83.3 inches),,1450 mm (57.1 inches),10.00 litres (2.64 US gallons),,Electric starter,,4,Single Overhead Cams (SOHC),Chain   (final drive),,WP 48 Upside down,,WP PDS,,,820 mm (32.3 inches),,,,,,900 mm (35.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XL 883 C Sportster Custom,2004,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",69.0 Nm (7.0 kgf-m or 50.9 ft.lbs) @ 4200 RPM,9.0:1,76.2 x 96.8 mm (3.0 x 3.8 inches),Carburettor,Air,5-speed,30.1°,119 mm (4.7 inches),90/90-21 ,150/80-16 ,Single disc,292 mm (11.5 inches),Single disc,255.0 kg (562.2 pounds),"668 mm (26.3 inches) If adjustable, lowest setting.",2275 mm (89.6 inches),112 mm (4.4 inches),1520 mm (59.8 inches),17.00 litres (4.49 US gallons),"Vivid black, brilliant silver, sierra red, luxury teal, real red, luxury blue, glacier white pearl, two-tone luxury blue and impact blue, two-tone impact blue and vivid black, two-tone sierra red and brilliant silver
","Silver powder-coated engine with polished covers; significantly reduced clutch lever effort; 17-liter fuel tank; forward foot controls; laced front wheel, disc rear wheel; chrome pull-back riser; one-piece, two-up seat
",,2,,Belt   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield Military 500,2004,Naked bike," 2.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",35.0 Nm (3.6 kgf-m or 25.8 ft.lbs) @ 3000 RPM,6.0:1,84.0 x 90.0 mm (3.3 x 3.5 inches),Carburettor,Air,4-speed,,,,,Expanding brake (drum brake),152 mm (6.0 inches),Expanding brake (drum brake),,"760 mm (29.9 inches) If adjustable, lowest setting.",2120 mm (83.5 inches),140 mm (5.5 inches),1370 mm (53.9 inches),14.50 litres (3.83 US gallons),Military green,,22.0 HP (16.1  kW)) @ 5500 RPM,,Overhead Valves (OHV),Chain   (final drive),,,,,,,750 mm (29.5 inches),,120.0 km/h (74.6 mph),,,,1080 mm (42.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jincheng GX 125 SR,2004,Sport," 2.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",124.5 ccm (7.60 cubic inches),"Single cylinder, four-stroke",,,,,Air,5-speed,,,,,,,,117.0 kg (257.9 pounds),,2015 mm (79.3 inches),,,15.00 litres (3.96 US gallons),"Blue, Red",The GX125 SR has a closely releted model called GX125 SH. ,15.0 HP (10.9  kW)),4,,,,,,,,0.1282 HP/kg,755 mm (29.7 inches),,100.0 km/h (62.1 mph),1.90 litres/100 km (52.6 km/l or 123.80 mpg),44.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,,1035 mm (40.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertemati C 500 Cross,2004,Cross / motocross,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,501.0 ccm (30.57 cubic inches),"Single cylinder, four-stroke",,,92.0 x 75.5 mm (3.6 x 3.0 inches),Carburettor,Liquid,6-speed,,,90/90-21 ,110/90-19 ,Single disc,220 mm (8.7 inches),Single disc,,,2180 mm (85.8 inches),,1480 mm (58.3 inches),8.00 litres (2.11 US gallons),Red/white,,,4,Single Overhead Cams (SOHC),Chain   (final drive),,WP 48 Upside down,,WP PDS,,,820 mm (32.3 inches),,,,,,930 mm (36.6 inches),,,,,,,108.0 kg (238.1 pounds),,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVS 650 DragStar,2004,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"V2, four-stroke",50.9 Nm (5.2 kgf-m or 37.5 ft.lbs) @ 3000 RPM,9.0:1,81.0 x 63.0 mm (3.2 x 2.5 inches),,Air,,,,100/90-ZR19 ,170/80-ZR15 ,Double disc,200 mm (7.9 inches),Expanding brake (drum brake),220.0 kg (485.0 pounds),"695 mm (27.4 inches) If adjustable, lowest setting.",2340 mm (92.1 inches),140 mm (5.5 inches),1610 mm (63.4 inches),,Metallic silver,,39.4 HP (28.8  kW)) @ 6500 RPM,1,Single Overhead Cams (SOHC),,,Telescopic fork,140 mm (5.5 inches),Swingarm Monocross,86 mm (3.4 inches),0.1792 HP/kg,880 mm (34.6 inches),,,,,,1070 mm (42.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha WR 250  F,2004,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",21.6 Nm (2.2 kgf-m or 15.9 ft.lbs) @ 6000 RPM,12.5:1,77.0 x 53.6 mm (3.0 x 2.1 inches),,Liquid,Automatic,,,90/90-21 ,130/90-18 ,Single disc,220 mm (8.7 inches),Single disc,105.5 kg (232.6 pounds),"998 mm (39.3 inches) If adjustable, lowest setting.",2165 mm (85.2 inches),382 mm (15.0 inches),1475 mm (58.1 inches),,Racing blue,,15.2 HP (11.1  kW)) @ 7500 RPM,5,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,Telescopic Fork,300 mm (11.8 inches),Swing arm (linked typed monocross),315 mm (12.4 inches),0.1441 HP/kg,827 mm (32.6 inches),,,,,,1303 mm (51.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZRX 1200 R,2004,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1164.0 ccm (71.03 cubic inches),"In-line four, four-stroke",112.0 Nm (11.4 kgf-m or 82.6 ft.lbs),,,Injection,Liquid,5-speed,,,120/70-ZR17 ,180/55-ZR17 ,Double disc,,Single disc,223.0 kg (491.6 pounds),"790 mm (31.1 inches) If adjustable, lowest setting.",,,1460 mm (57.5 inches),19.00 litres (5.02 US gallons),Green,,122.0 HP (89.1  kW)) @ 10000 RPM,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,,,,,0.5471 HP/kg,,,230.0 km/h (142.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Navigator 1000,2004,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",996.0 ccm (60.78 cubic inches),"Twin, four-stroke",88.0 Nm (9.0 kgf-m or 64.9 ft.lbs) @ 7000 RPM,11.3:1,98.0 x 66.0 mm (3.9 x 2.6 inches),Injection,Liquid,6-speed,,,110/90-19 ,140/80-17 ,Double disc,240 mm (9.4 inches),Single disc,210.0 kg (463.0 pounds),"850 mm (33.5 inches) If adjustable, lowest setting.",,150 mm (5.9 inches),,20.06 litres (5.30 US gallons),"Red, blue, black",,97.0 HP (70.8  kW)) @ 8400 RPM,4,,Chain   (final drive),High strength steel tubes trellis type,Telescopic hydraulic fork with advanced axle,150 mm (5.9 inches),Marzocchi progressive type with single hydraulic shock absorber; spring preload and rebound adjustment,160 mm (6.3 inches),0.4619 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KX 125,2004,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",26.5 Nm (2.7 kgf-m or 19.5 ft.lbs),,,,Liquid,6-speed,,,,,,,,87.0 kg (191.8 pounds),,,,,,Lime green,,41.0 HP (29.9  kW)),,,Chain   (final drive),,,,,,0.4713 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 450 EXC Racing,2004,Enduro / offroad," 4.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",447.9 ccm (27.33 cubic inches),"Single cylinder, four-stroke",,11.0:1,89.0 x 72.0 mm (3.5 x 2.8 inches),Carburettor. Keihin MC FCR 39,Liquid,6-speed,,64 mm (2.5 inches),90/90-21 ,140/80-18 ,Single disc,216 mm (8.5 inches),Single disc,117.2 kg (258.4 pounds),"925 mm (36.4 inches) If adjustable, lowest setting.",,385 mm (15.2 inches),1481 mm (58.3 inches),8.50 litres (2.25 US gallons),Orange,,,4,Overhead Cams (OHC),Chain   (final drive),Chrome molybdenum,WP-USD 48 MA,300 mm (11.8 inches),WP-PDS-shock absorber,335 mm (13.2 inches),,450 mm (17.7 inches),,,,,,,,Kokusan digital ,Pressure lubrication with 3 Eaton pumps,"Wet multi-disc clutch, operated hydraulically",,,,"675 mm (26.6 inches) If adjustable, highest setting.",1.30 litres (1.37 US quarts),SAE 15W-50 Synthetic,,DOT 4,,"NGK DCPR8E, NGK DCPR8EIX",,,,,48 mm (1.9 inches),,,,118,15/45 (front/rear),,,1.00 litres (0.26 US gallons),520,,
Macbor XC 512 S,2004,"Minibike, cross",Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.8 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,,39.0 x 41.7 mm (1.5 x 1.6 inches),Carburettor,Liquid,1-speed,,,,,Expanding brake (drum brake),,Expanding brake (drum brake),41.0 kg (90.4 pounds),"650 mm (25.6 inches) If adjustable, lowest setting.",1490 mm (58.7 inches),,1035 mm (40.7 inches),3.90 litres (1.03 US gallons),,,,,,,,Mechanical fork,175 mm (6.9 inches),Single shock absorber,235 mm (9.3 inches),,700 mm (27.6 inches),,,,,,910 mm (35.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati ST 4 S ABS,2004,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 7000 RPM,11.5:1,98.0 x 66.0 mm (3.9 x 2.6 inches),Injection,Liquid,6-speed,24.0°,,120/70-ZR17 ,180/55-ZR17 ,Double disc,245 mm (9.6 inches),Single disc,,"820 mm (32.3 inches) If adjustable, lowest setting.",2070 mm (81.5 inches),,1430 mm (56.3 inches),21.00 litres (5.55 US gallons),"Metallic grey. Tank: Red, yellow, metallic dark grey.
",ABS control of front and rear brake,117.0 HP (85.4  kW)) @ 8750 RPM,4,Desmodromic valve control,Chain   (final drive),Tubular steel trellis,Showa 43 mm adjustable preload upside-down fork with Tin,130 mm (5.1 inches),Progressive linkage with fully adjustable Ohlins monoshock with remote control preload adjustable. Aluminium swingarm.,148 mm (5.8 inches),,,6.00 litres (1.59 US gallons),,,,,1274 mm (50.2 inches),,,,,,,212.0 kg (467.4 pounds),,,,,,,,,,,,,,,,,,,,,,,
Hyosung GT 125 Comet,2004,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",124.7 ccm (7.61 cubic inches),"V2, four-stroke",,,,,Air,,,,110/70-17 ,150/70-17 ,Single disc,,Single disc,150.0 kg (330.7 pounds),,2080 mm (81.9 inches),,1445 mm (56.9 inches),17.00 litres (4.49 US gallons),"Yellow, Black",,,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,,,,,,760 mm (29.9 inches),,,2.00 litres/100 km (50.0 km/l or 117.61 mpg),46.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,1120 mm (44.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Griso,2004,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",992.0 ccm (60.53 cubic inches),"V2, four-stroke",88.1 Nm (9.0 kgf-m or 65.0 ft.lbs) @ 7800 RPM,,,,Air,6-speed,,,,,Double disc,320 mm (12.6 inches),Single disc,199.0 kg (438.7 pounds),"790 mm (31.1 inches) If adjustable, lowest setting.",2180 mm (85.8 inches),,1560 mm (61.4 inches),18.00 litres (4.76 US gallons),Black,"Griso -""The body guard"". Impressive as a muscle bike, as cool as a custom, essential as a naked bike, the Griso is the most innovative and radical member of the Moto Guzzi line. A motorcycle as unique as its rider",102.0 HP (74.5  kW)) @ 8400 RPM,,,Shaft drive (cardan)   (final drive),,"USD fork, 43 mm fully adjustable",,Single sided swing arm with fully adjustable mono shock,,0.5126 HP/kg,840 mm (33.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM Racing EN 125 Enduro,2004,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.8 ccm (7.55 cubic inches),"Single cylinder, two-stroke",,,54.0 x 54.4 mm (2.1 x 2.1 inches),Carburettor,Liquid,5-speed,,,90/90-21 ,120/90-18 ,Single disc,220 mm (8.7 inches),Single disc,,,,,,9.00 litres (2.38 US gallons),,,,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),Cr-Mo steel,Paioli USD 46 (optional Ohlins),,Ohlins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS Pampera 280,2004,Cross / motocross," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",272.2 ccm (16.61 cubic inches),"Single cylinder, two-stroke",,,76.0 x 60.0 mm (3.0 x 2.4 inches),Carburettor,Liquid,6-speed,,,90/90-21 ,130/80-18 ,Single disc,240 mm (9.4 inches),Single disc,103.0 kg (227.1 pounds),"930 mm (36.6 inches) If adjustable, lowest setting.",,320 mm (12.6 inches),1350 mm (53.1 inches),,,,,,,Chain   (final drive),"Type deltabox, made of eliptic profile Cr-Mo tube",Marzocchi adjustable hydraulic fork,,Aluminium swingarm. Variable progressive system.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NSR 50 R,2004,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",,7.2:1,39.0 x 41.4 mm (1.5 x 1.6 inches),Carburettor,Liquid,6-speed,,95 mm (3.7 inches),100/90-J12 ,120/80-J12 ,Single disc,,Single disc,,,1580 mm (62.2 inches),,1085 mm (42.7 inches),7.38 litres (1.95 US gallons),White,Not street legal in the US.,,2,,Chain   (final drive),,Telescopic fork,,Swingarm with twin shocks,,,589 mm (23.2 inches),,,,,,935 mm (36.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1150 R Rockster,2004,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1130.0 ccm (68.95 cubic inches),"Two cylinder boxer, four-stroke",98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 5250 RPM,10.3:1,101.0 x 70.5 mm (4.0 x 2.8 inches),Injection,Oil & air,6-speed,,,120/70-ZR17 ,180/55-ZR17 ,Double disc,276 mm (10.9 inches),Single disc,219.0 kg (482.8 pounds),"835 mm (32.9 inches) If adjustable, lowest setting.",2170 mm (85.4 inches),,1486 mm (58.5 inches),20.50 litres (5.42 US gallons),,,83.8 HP (61.2  kW)) @ 6750 RPM,4,Overhead Cams (OHC),Shaft drive (cardan)   (final drive),"Three-section composite frame consisting of front and rear section, load bearing engine.","BMW Motorrad Telelever; stanchion diameter 35 mm, central strut, rebound damping adjustable",120 mm (4.7 inches),"Die-cast aluminium single-sided swinging arm with BMW Motorrad Paralever; central strut, spring pre-load adjustable to continuously variable levels by means of hydraulic handwheel, rebound damping adjustable",135 mm (5.3 inches),0.3827 HP/kg,920 mm (36.2 inches),4.00 litres (1.06 US gallons),,,,,1097 mm (43.2 inches),,,,,,,239.0 kg (526.9 pounds),"845 mm (33.3 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,
Yamaha TT-R90 E,2004,"Minibike, cross"," 3.0  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",89.0 ccm (5.43 cubic inches),"Single cylinder, four-stroke",6.1 Nm (0.6 kgf-m or 4.5 ft.lbs) @ 6500 RPM,8.5:1,47.0 x 51.8 mm (1.9 x 2.0 inches),,Liquid,,,,,,Expanding brake (drum brake),110 mm (4.3 inches),Expanding brake (drum brake),60.0 kg (132.3 pounds),"625 mm (24.6 inches) If adjustable, lowest setting.",1525 mm (60.0 inches),172 mm (6.8 inches),1040 mm (40.9 inches),,Blue,,5.5 HP (4.0  kW)) @ 5600 RPM,,Single Overhead Cams (SOHC),Chain   (final drive),,Telescopic fork,110 mm (4.3 inches),Swinging arm (monocross),95 mm (3.7 inches),0.0915 HP/kg,605 mm (23.8 inches),,,,,,865 mm (34.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM Racing MX 85 Junior Cross,2004,Super motard," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",85.0 ccm (5.19 cubic inches),"Single cylinder, two-stroke",,17.2:1,47.8 x 47.0 mm (1.9 x 1.9 inches),Carburettor,,6-speed,,,70/100-17 ,90/100-16 ,Single disc,220 mm (8.7 inches),Single disc,,,,,,9.00 litres (2.38 US gallons),,,,,,Chain   (final drive),Cr-Mo steel,Paioli USD 46 (optional Ohlins),,WP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Minitrial,2004,Trial," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,13.3:1,40.0 x 39.7 mm (1.6 x 1.6 inches),Carburettor,Liquid,1-speed,,,,,Expanding brake (drum brake),,Expanding brake (drum brake),,"570 mm (22.4 inches) If adjustable, lowest setting.",1550 mm (61.0 inches),,,,,,,,,Chain   (final drive),Iron double closed cradle,"Tube, Ø 30 mm",120 mm (4.7 inches),Single shock absorber,110 mm (4.3 inches),,650 mm (25.6 inches),2.50 litres (0.66 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera TT Surfer 50,2004,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,,,Carburettor. Dell´Ortho 12-14 mm,Liquid,6-speed,,,,,Single disc. 2-piston calipers,,Expanding brake (drum brake),72.0 kg (158.7 pounds),,,,,5.00 litres (1.32 US gallons),Orange,It´s the ´cheap version´ of the Gilera H@K,,,,Chain   (final drive),,Non-inverted forks,,,,,,1.00 litres (0.26 US gallons),85.0 km/h (52.8 mph),,,,,,Kick,,Wet plate,,Kick,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Tuono 1000 R,2004,Sport," 4.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",997.6 ccm (60.87 cubic inches),"Twin, four-stroke",101.0 Nm (10.3 kgf-m or 74.5 ft.lbs) @ 7250 RPM,11.4:1,97.0 x 67.5 mm (3.8 x 2.7 inches),Injection,Liquid,6-speed,25.0°,99 mm (3.9 inches),120/70-ZR17 ,190/50-ZR17 ,Double disc,220 mm (8.7 inches),Single disc,185.0 kg (407.9 pounds),"820 mm (32.3 inches) If adjustable, lowest setting.",2070 mm (81.5 inches),,1415 mm (55.7 inches),18.00 litres (4.76 US gallons),"Mirror silver, Fluo red, Darkness black",,138.7 HP (101.3  kW)) @ 9500 RPM,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),Aluminium alloy,Showa 43 mm upside-down fork with adjustment,120 mm (4.7 inches),Aluminium alloy swing-arm with differential section members,135 mm (5.3 inches),0.7498 HP/kg,800 mm (31.5 inches),4.00 litres (1.06 US gallons),,,,,1200 mm (47.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha WR 450  F,2004,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",449.0 ccm (27.40 cubic inches),"Single cylinder, four-stroke",,12.5:1,95.0 x 63.4 mm (3.7 x 2.5 inches),,Liquid,,,,90/90-21 ,130/90-18 ,Single disc,245 mm (9.6 inches),Single disc,105.5 kg (232.6 pounds),"998 mm (39.3 inches) If adjustable, lowest setting.",2171 mm (85.5 inches),371 mm (14.6 inches),1485 mm (58.5 inches),,Racing blue,,,5,Double Overhead Cams/Twin Cam (DOHC),,,Telescopic fork,300 mm (11.8 inches),Swingarm (linked type suspension),315 mm (12.4 inches),,827 mm (32.6 inches),,,,,,1303 mm (51.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Burgman 650,2004,Scooter," 3.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",638.0 ccm (38.93 cubic inches),"Twin, four-stroke",,11.2:1,75.5 x 71.3 mm (3.0 x 2.8 inches),Injection,Liquid,Automatic,,,120/70-R15 ,160/60-R14 ,Double disc,,Single disc,238.0 kg (524.7 pounds),"750 mm (29.5 inches) If adjustable, lowest setting.",2260 mm (89.0 inches),,1595 mm (62.8 inches),15.00 litres (3.96 US gallons),"Silver, Black",,,,Double Overhead Cams/Twin Cam (DOHC),Shaft drive (cardan)   (final drive),,"Telescopic, oil damped",,"Twin shock, adjustable preload",,,810 mm (31.9 inches),,,,,,1435 mm (56.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbi Senda R X-Treme,2004,Enduro / offroad," 4.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,13.0:1,39.9 x 40.0 mm (1.6 x 1.6 inches),Carburettor,Liquid,6-speed,,,80/90-21 ,110/80-18 ,Single disc,220 mm (8.7 inches),Single disc,,,2035 mm (80.1 inches),,1355 mm (53.3 inches),7.00 litres (1.85 US gallons),"Blue, Red, Green, Black",,,,,Chain   (final drive),,"Hydraulic fork, 36 mm",190 mm (7.5 inches),Linal gas absorber,50 mm (2.0 inches),,805 mm (31.7 inches),1.00 litres (0.26 US gallons),,,,,1220 mm (48.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR-Z 400 E,2004,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",398.0 ccm (24.29 cubic inches),"Single cylinder, four-stroke",,12.2:1,90.0 x 62.6 mm (3.5 x 2.5 inches),Carburettor,Liquid,5-speed,,,80/90-21 ,110/90-18 ,Single disc,,Single disc,119.0 kg (262.4 pounds),"945 mm (37.2 inches) If adjustable, lowest setting.",2235 mm (88.0 inches),325 mm (12.8 inches),1475 mm (58.1 inches),10.00 litres (2.64 US gallons),Champion Yellow,,,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,"Telescopic, cartridge-type, oil-damped, adjustable preload, 14-way compression damping and 18-way rebound damping",,"Link-type, fully-adjustable spring preload, adjustable high/low compression dampimg and adjustable rebound damping",,,825 mm (32.5 inches),,,,,,1245 mm (49.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Factory Bike Chrono SM 50,2004,Super motard," 4.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.7 ccm (3.03 cubic inches),"Single cylinder, two-stroke",,12.0:1,40.3 x 39.0 mm (1.6 x 1.5 inches),Carburettor,Liquid,6-speed,,,100/80-17 ,130/70-18 ,Single disc,220 mm (8.7 inches),Single disc,,,1990 mm (78.3 inches),,1370 mm (53.9 inches),7.50 litres (1.98 US gallons),Black,,,,,Chain   (final drive),Hardened steel CrMo.,"PAIOLI Hydraulic, 36 mm",,Shock-Absorber PAIOLI,,,810 mm (31.9 inches),,,,,,1170 mm (46.1 inches),,,,,,,80.0 kg (176.4 pounds),,,,,,,,,,,,,,,,,,,,,,,
Beta Rev 50,2004,Trial," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,15.2:1,40.0 x 39.7 mm (1.6 x 1.6 inches),Carburettor,Liquid,4-speed,,,,,Single disc,,Single disc,,,,,,,,,,,,Chain   (final drive),,"Tube, Ø 33 mm",160 mm (6.3 inches),Progressive hydraulic mono shock absorber,146 mm (5.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daelim History,2004,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.9 ccm (7.62 cubic inches),"Single cylinder, four-stroke",,11.5:1,56.0 x 50.7 mm (2.2 x 2.0 inches),Carburettor,Air,,,,120/70-12 ,130/70-12 ,Single disc,,Single disc,120.0 kg (264.6 pounds),"765 mm (30.1 inches) If adjustable, lowest setting.",1970 mm (77.6 inches),110 mm (4.3 inches),1350 mm (53.1 inches),7.00 litres (1.85 US gallons),"Red, Blue grey, Dark blue, Light silver",,11.6 HP (8.5  kW)),2,,Belt   (final drive),Under bone,Telescopic,,Swing arm,,0.0967 HP/kg,700 mm (27.6 inches),,100.0 km/h (62.1 mph),,,,1220 mm (48.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jincheng JC 70 Y,2004,Enduro / offroad," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",76.5 ccm (4.67 cubic inches),"Single cylinder, four-stroke",,,,,Air,4-speed,,,,,,,,76.5 kg (168.7 pounds),,1543 mm (60.7 inches),,,4.00 litres (1.06 US gallons),White/red/black,Named both  JC 70 Y and JC70Y XR. ,3.2 HP (2.3  kW)),,,Chain   (final drive),,,,,,0.0418 HP/kg,694 mm (27.3 inches),,55.0 km/h (34.2 mph),1.60 litres/100 km (62.5 km/l or 147.01 mpg),37.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,,877 mm (34.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
