Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Gearbox,Transmission type,Clutch,Driveline,Fuel consumption,Greenhouse gases,Emission details,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Wheels,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Reserve fuel capacity,Oil capacity,Color options,Starter,Cooling system,Dry weight,Electrical,Top speed,Light,Factory warranty,Comments,Engine details,Valves per cylinder,Exhaust system,Power/weight ratio,Seat,Instruments,Carrying capacity,Alternate seat height,Engine oil,Brake fluid,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,0-100 km/h (0-62 mph),Modifications compared to previous model,Max RPM,Coolant,Chain size,Chain links,Sprockets,"60-140 km/h (37-87 mph), highest gear",1/4 mile (0.4 km),Battery,Oil filter,Belt teeth,Belt width,Pulley teeth
Triumph Speed Twin,2020,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1200.0 ccm (73.22 cubic inches),"Twin, four-stroke",96.0 HP (70.1  kW)) @ 6750 RPM,112.0 Nm (11.4 kgf-m or 82.6 ft.lbs) @ 4950 RPM,11.0:1,97.6 x 80.0 mm (3.8 x 3.1 inches),Injection. Multipoint sequential electronic fuel injection with SAI,Single Overhead Cams (SOHC),Digital-inductive type via engine management system,,6-speed,Chain   (final drive),Wet. multi-plate,X ring chain,4.80 litres/100 km (20.8 km/l or 49.00 mpg),111.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4,Tubular steel cradle,22.8°,94 mm (3.7 inches),41mm cartridge forks,120 mm (4.7 inches),Twin shocks with adjustable preload,120 mm (4.7 inches),120/70-17 ,160/60-17 ,Double disc. Brembo 2-piston floating caliper,220 mm (8.7 inches),Single disc. Brembo 2-piston floating caliper ABS,,214.0 kg (471.8 pounds),"807 mm (31.8 inches) If adjustable, lowest setting.",1110 mm (43.7 inches),,760 mm (29.9 inches),,1430 mm (56.3 inches),14.50 litres (3.83 US gallons),,4.50 litres (4.76 US quarts),"Silver Ice/Storm Grey, Jet Black, Karosi Red/Storm Grey",Electric,Liquid,196.0 kg (432.1 pounds),,,,24 months unlimited milage,,,,,0.4898 HP/kg,,Analogue speedometer with odometer and trip information ,,,10W-40/10W-50,DOT 4,NGK LMAR8A-9,1200  +/- 100  RPM,36 PSI (2.5 Bar or 250 kPa),42 PSI (2.9 Bar or 290 kPa),41 mm (1.6 inches),,,,2.00 litres (0.53 US gallons),525,102,16/42 (front/rear),,,,,,,
CF Moto 250SR,2020,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,249.2 ccm (15.21 cubic inches),"Single cylinder, four-stroke",27.5 HP (20.1  kW)) @ 9750 RPM,22.0 Nm (2.2 kgf-m or 16.2 ft.lbs) @ 7500 RPM,11.3:1,72.0 x 61.2 mm (2.8 x 2.4 inches),Injection. EFI,Single Overhead Cams (SOHC),ECU,,Automatic,,,CVT,,,Euro 4,,,,USD fork,90 mm (3.5 inches),Cantilever,,110/70-17 ,140/60-17 ,Double disc,220 mm (8.7 inches),Single disc,Cast aluminium,,,1080 mm (42.5 inches),2020 mm (79.5 inches),750 mm (29.5 inches),135 mm (5.3 inches),1360 mm (53.5 inches),12.00 litres (3.17 US gallons),,,Nebula Black,Electric,Liquid,165.0 kg (363.8 pounds),,128.0 km/h (79.5 mph),,,,,4,,0.1666 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Tuono 125,2020,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.2 ccm (7.58 cubic inches),"Single cylinder, four-stroke",15.0 HP (10.9  kW)) @ 10500 RPM,10.9 Nm (1.1 kgf-m or 8.0 ft.lbs) @ 8250 RPM,12.5:1,58.0 x 47.0 mm (2.3 x 1.9 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),Electronic with CDI capacity discharge ,Wet sump,6-speed,Chain   (final drive),Multi-plate in oil bath.,,,,Euro 4,Aluminium perimeter frame ,,,"Upside down hydraulic fork, 40 mm. ",110 mm (4.3 inches),Asymmetric swingarm with monoshock,130 mm (5.1 inches),100/80-17 ,130/70-17 ,Single disc. ABS. Stainless steel disc with radial 4 piston calliper,218 mm (8.6 inches),Single disc. ABS. Single 30 mm piston,Light alloy with 6 split spokes,,"810 mm (31.9 inches) If adjustable, lowest setting.",,1955 mm (77.0 inches),740 mm (29.1 inches),,1350 mm (53.1 inches),14.50 litres (3.83 US gallons),,,Black/Red,Electric,Liquid,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW C Evolution,2020,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,48.0 HP (35.0  kW)) @ 4650 RPM,72.0 Nm (7.3 kgf-m or 53.1 ft.lbs) @ 4650 RPM,,,,,,,,,,,,,,"Hybrid chassis with die-cast aluminium load-bearing battery casing, bolt-on tubular-steel stearing head carrier and rear frame",24.1°,95 mm (3.7 inches),"Upside-down fork, 40 mm",120 mm (4.7 inches),"Single-sided swing arm with direct-link spring strut, spring pre-load manually adjustable over 7 settings",115 mm (4.5 inches),120/70-R15 ,160/60-R15 ,Double disc. ABS. Floating discs. Two-piston calipers. ,270 mm (10.6 inches),Single disc. ABS. Floating disc. Two-piston calipers. ,Cast aluminum,,"765 mm (30.1 inches) If adjustable, lowest setting.",1255 mm (49.4 inches),2190 mm (86.2 inches),947 mm (37.3 inches),,1610 mm (63.4 inches),,,,Ionic Silver Metallic/Electric Green,Electric,Liquid,275.0 kg (606.3 pounds),Air-cooled lithium-ion high-voltage battery with booster fan battery.,120.0 km/h (74.6 mph),LED Daylight Running Light,,"8 kWh lithium-ion battery. (3 modules, twelve 60 Ah cells per module. Range 162 km. Windscreen.","Drive train swing arm with liquid-cooled alternator; permanently excited synchronous machine with surface magnets, internal rotor",,,0.1745 HP/kg,,,,,,,,,,,,6.80 seconds,,,,,,,,,,,,,
TM Racing MX 144 2T,2020,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,143.3 ccm (8.74 cubic inches),"Single cylinder, two-stroke",,,,56.0 x 58.2 mm (2.2 x 2.3 inches),Carburettor. Keihin PWK 38,,Kokusan CDI Electronic with variable advance with two selectable maps through handlebar switch,"3,5% oil mix",5-speed,Chain   (final drive),Multiple-disk in oil bath with hydraulic control,Straight – tooth gear,,,,Perimetral aluminium section,,,Kayaba USD 48mm,,TM Racing,,80/100-21 ,100/90-19 ,Single disc. Wave disc. ,245 mm (9.6 inches),Single disc. Wave disc. ,,,,,,,,,9.50 litres (2.51 US gallons),,,Blue/white,Kick,Liquid,,,,,,Italian brand.,V-Force Reed valve,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herald Cafe 125,2020,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",9.9 HP (7.2  kW)),,,,Carburettor,,,,5-speed,Chain   (final drive),,,,,,Steel,,,Telescopic fork,,Twin shocks,,,,Single disc,,Single disc,Wire spoked,,"740 mm (29.1 inches) If adjustable, lowest setting.",,,,,,12.00 litres (3.17 US gallons),,,"Black, Red",Electric,Air,126.0 kg (277.8 pounds),,112.0 km/h (69.6 mph),,,UK brand.,,,Chrome,0.0786 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Thumpstar MX 50 JR,2020,"Minibike, cross",Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,,39.5 x 40.0 mm (1.6 x 1.6 inches),Carburettor. Mikuni 19mm,,,,,,Centrifugal,,,,,Central-Tube Frame with Double-Cradle,,,Fastace Adjustable Forks ,205 mm (8.1 inches),Fastace Adjustable Shock ,185 mm (7.3 inches),,,Single disc. Dual piston hydraulic disc ,180 mm (7.1 inches),Single disc. Single Piston,Steel Rim,,"603 mm (23.7 inches) If adjustable, lowest setting.",,,,252 mm (9.9 inches),1032 mm (40.6 inches),2.30 litres (0.61 US gallons),,,Green/Black,Kick,,41.5 kg (91.5 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haojue TZ 150 Pro,2020,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",149.0 ccm (9.09 cubic inches),"Single cylinder, four-stroke",11.1 HP (8.1  kW)) @ 8000 RPM,11.4 Nm (1.2 kgf-m or 8.4 ft.lbs) @ 6000 RPM,9.3:1,57.3 x 57.8 mm (2.3 x 2.3 inches),Carburettor,,CDI,,,,,,,,,,,,,,,,80/100-18 ,110/90-16 ,Single disc,,Expanding brake (drum brake),,130.8 kg (288.4 pounds),"755 mm (29.7 inches) If adjustable, lowest setting.",1115 mm (43.9 inches),1995 mm (78.5 inches),810 mm (31.9 inches),190 mm (7.5 inches),1285 mm (50.6 inches),12.00 litres (3.17 US gallons),,,"Black, Grey,  Blue, Red, Purple",Electric & kick,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCM Spitfire Six,2020,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,600.0 ccm (36.61 cubic inches),"Single cylinder, four-stroke",55.0 HP (40.1  kW)),58.0 Nm (5.9 kgf-m or 42.8 ft.lbs) @ 5500 RPM,12.0:1,100.0 x 76.5 mm (3.9 x 3.0 inches),Injection. Mikuni D45,,,,6-speed,Chain   (final drive),"Multiple-disc, wet, Hydraulic control",,4.20 litres/100 km (23.8 km/l or 56.00 mpg),97.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,"High strength steel, Hand Tig welded",26.0°,118 mm (4.6 inches),Telescopic fork,120 mm (4.7 inches),Single shock,120 mm (4.7 inches),130/70-19 ,130/70-19 ,Single disc,240 mm (9.4 inches),Single disc,Maxxis DTR1 Tubed Flat Track Race tyre,,"820 mm (32.3 inches) If adjustable, lowest setting.",1070 mm (42.1 inches),2170 mm (85.4 inches),,250 mm (9.8 inches),1480 mm (58.3 inches),14.00 litres (3.70 US gallons),,1.80 litres (1.9 US quarts),"Kingsport Grey, Ox Red Illusion Cherry, Chrome Misty Lava, Pearl White, BRG Roman Gold",Electric,Liquid,139.0 kg (306.4 pounds),,,,,,,,,0.3957 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Hanway Flash 125,2020,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",9.7 HP (7.1  kW)) @ 7500 RPM,9.2 Nm (0.9 kgf-m or 6.8 ft.lbs) @ 7000 RPM,10.5:1,,Injection,Single Overhead Cams (SOHC),Electronic Inductive,,,Chain   (final drive),,,,,Euro 4,,,,Telescopic forks,,Dual shocks,,100/80-16 ,110/80-14 ,Single disc,220 mm (8.7 inches),Single disc,,,"830 mm (32.7 inches) If adjustable, lowest setting.",1120 mm (44.1 inches),2120 mm (83.5 inches),860 mm (33.9 inches),120 mm (4.7 inches),1400 mm (55.1 inches),6.60 litres (1.74 US gallons),,,Red,Electric,Air,102.5 kg (226.0 pounds),,45.0 km/h (28.0 mph),,,Chinese made bike.,,2,,0.0942 HP/kg,Two person seat,Digital/analogue,Under Seat Storage,,,,,,,,,,,,,,,,,,,,,,
Husqvarna TC 50,2020,Cross / motocross,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,,39.5 x 40.0 mm (1.6 x 1.6 inches),Injection,,Seletra 2p D36,Mixture oil lubrication,Automatic,Chain   (final drive),Centrifugal clutch (adjustable),Single-speed automatic. Primary drive: 61.,,,,Central-tube frame with double-cradle,24.0°,,"WP-USD, AER 35,  35 mm",205 mm (8.1 inches),WP shock absorber,185 mm (7.3 inches),,,Single disc,160 mm (6.3 inches),Single disc,,,"684 mm (26.9 inches) If adjustable, lowest setting.",,,,252 mm (9.9 inches),1032 mm (40.6 inches),2.30 litres (0.61 US gallons),,0.90 litres (0.95 US quarts),White/blue/yellow,Kick,Liquid,41.5 kg (91.5 pounds),,,,2 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZ125,2020,Cross / motocross," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,,10.7:1,54.0 x 54.5 mm (2.1 x 2.1 inches),Carburettor. Mikuni  TMX 38,,CDI,Premix,6-speed,Chain   (final drive),Multiplate wet clutch,,,,,Semi-double cradle aluminium frame,26.0°,109 mm (4.3 inches),KYB® Speed-Sensitive System inverted fork; fully adjustable,300 mm (11.8 inches),KYB® single shock; fully adjustable,315 mm (12.4 inches),80/100-21 ,100/90-19 ,Single disc. Hydraulic. ,245 mm (9.6 inches),Single disc. Hydraulic. ,Dunlop® MX52,93.9 kg (207.0 pounds),"975 mm (38.4 inches) If adjustable, lowest setting.",1295 mm (51.0 inches),2136 mm (84.1 inches),828 mm (32.6 inches),366 mm (14.4 inches),1443 mm (56.8 inches),8.00 litres (2.11 US gallons),,0.70 litres (0.74 US quarts),Team Yamaha Blue,Kick,Liquid,,,,,30 Day Limited Factory Warranty,,Reed-valve-inducted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herald Classic 125,2020,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",10.7 HP (7.8  kW)),8.5 Nm (0.9 kgf-m or 6.3 ft.lbs),,,Carburettor,,,,5-speed,Chain   (final drive),,,,,,Steel,,,Telescopic fork,,Twin shocks,,,,Single disc,,Expanding brake (drum brake),Wire spoked,126.0 kg (277.8 pounds),"740 mm (29.1 inches) If adjustable, lowest setting.",,,,,,12.00 litres (3.17 US gallons),,,"Gloss Black, Dark Silver Metallic",Electric,Air,126.0 kg (277.8 pounds),,112.7 km/h (70.0 mph),,,UK brand.,,,,0.0849 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Italika DM125,2020,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",9.7 HP (7.1  kW)) @ 7500 RPM,,,,,,CDI,,,Chain   (final drive),,,,,,,,,Telescopic fork,,Swingarm with single shock absorber ,,70/100-19 ,90/100-16 ,Single disc,,Expanding brake (drum brake),,,"780 mm (30.7 inches) If adjustable, lowest setting.",1070 mm (42.1 inches),1940 mm (76.4 inches),870 mm (34.3 inches),,,6.00 litres (1.59 US gallons),,1.00 litres (1.06 US quarts),White/Blue,Electric & kick,Air,109.0 kg (240.3 pounds),,80.0 km/h (49.7 mph),,,,,,,0.0890 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Veloci Kronnus XRS 150,2020,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,147.0 ccm (8.97 cubic inches),"Single cylinder, four-stroke",10.4 HP (7.6  kW)) @ 7000 RPM,,,,,,CDI,,,,,,,,,,,,,,,,120/90-10 ,130/90-10 ,Single disc,,Expanding brake (drum brake),,,,1090 mm (42.9 inches),2060 mm (81.1 inches),770 mm (30.3 inches),,,5.00 litres (1.32 US gallons),,,Red,Electric & kick,Air,,,85.0 km/h (52.8 mph),,,Mexican brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitt 125 GP-2,2020,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",11.8 HP (8.6  kW)) @ 8700 RPM,10.0 Nm (1.0 kgf-m or 7.4 ft.lbs) @ 8300 RPM,12.1:1,58.0 x 47.0 mm (2.3 x 1.9 inches),,,ECU,,,,,,,,,,,,Telescopic Fork,,Monoshock Swingarm,,110/70-16 ,140/70-16 ,Single disc. Double Piston,244 mm (9.6 inches),Single disc. Single Piston,,,"760 mm (29.9 inches) If adjustable, lowest setting.",1063 mm (41.9 inches),1945 mm (76.6 inches),729 mm (28.7 inches),150 mm (5.9 inches),1306 mm (51.4 inches),10.00 litres (2.64 US gallons),,,Black,Electric,Air,155.0 kg (341.7 pounds),,,,,Spanish brand. Chinese made bikes.,,,,0.0761 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Springfield,2020,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1811.0 ccm (110.51 cubic inches),"V2, four-stroke",,161.6 Nm (16.5 kgf-m or 119.2 ft.lbs) @ 3000 RPM,9.5:1,101.0 x 113.0 mm (4.0 x 4.4 inches),Injection. Closed Loop Sequential Port Fuel Injection,,,,6-speed,Belt   (final drive),Wet multi-plate,,,,,Cast Aluminum Frame with Integrated Air-Box,25.0°,133 mm (5.2 inches),Telescopic forks with air adjust,119 mm (4.7 inches),Single shock,114 mm (4.5 inches),130/80-B16 ,180/60-B16 ,Double disc. ABS. Floating discs. 4 piston caliper.,300 mm (11.8 inches),Single disc. ABS. Floating disc. 2-piston caliper.,Cast aluminium wheels,379.0 kg (835.6 pounds),"660 mm (26.0 inches) If adjustable, lowest setting.",1442 mm (56.8 inches),2583 mm (101.7 inches),1000 mm (39.4 inches),142 mm (5.6 inches),1701 mm (67.0 inches),20.80 litres (5.50 US gallons),,,"Thunder Black, Burgandy Metallic Over Titanium Metallic",Electric,Air,364.0 kg (802.5 pounds),,,"Tear drop head lamp, spot lights, fender light",2 years,Windscreen. Cruise Control.,Thunder Stroke® 111 engine,,Split dual exhaust with cross-over,,Dual leather seat,Tank Mounted Electronic Speedometer with Odometer; Dual Tripmeters; Digital Tachometer; Ambient Air Temperature; Fuel Range; Average Fuel Economy; Battery Voltage; Gear Position Display;,.,,,,,,,,,,,,,,,,,,,,,,
KTM 300 EXC TPI Erzbergrodeo,2020,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,293.2 ccm (17.89 cubic inches),"Single cylinder, two-stroke",,,,72.0 x 72.0 mm (2.8 x 2.8 inches),Injection,Single Overhead Cams (SOHC), Continental EMS,,6-speed,Chain   (final drive),"Wet, DDS multi-disc clutch, Brembo hydraulics",14:50 (13:50). Primary drive: 26:72.,2.79 litres/100 km (35.8 km/l or 84.31 mpg),64.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Central double-cradle-type 25CrMo4 steel,26.5°,,WP USD Ø 48 mm,300 mm (11.8 inches),WP-PDS Monoshock,310 mm (12.2 inches),,,Single disc. Brake calipers on floating bearings ,220 mm (8.7 inches),Single disc. Brake calipers on floating bearings,CNC machined hubs and high-end Giant rims,,"960 mm (37.8 inches) If adjustable, lowest setting.",,,,370 mm (14.6 inches),1482 mm (58.3 inches),9.00 litres (2.38 US gallons),,,Orange/white/gold,Electric,Liquid,103.9 kg (229.1 pounds),,,,,,,,,,,LCD display,,,,,,,,,,,,,,,,,,,,,,,
Lifan Ares 110,2020,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,107.0 ccm (6.53 cubic inches),"Single cylinder, four-stroke",7.0 HP (5.1  kW)) @ 7500 RPM,6.9 Nm (0.7 kgf-m or 5.1 ft.lbs) @ 5000 RPM,9.0:1,52.4 x 49.5 mm (2.1 x 1.9 inches),,,,,4-speed,,,,1.60 litres/100 km (62.5 km/l or 147.01 mpg),37.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,Telescopic hydraulic,,,,2.50-17 ,2.75-17 ,Single disc,,Expanding brake (drum brake),,,"750 mm (29.5 inches) If adjustable, lowest setting.",1100 mm (43.3 inches),1920 mm (75.6 inches),715 mm (28.1 inches),,1250 mm (49.2 inches),3.70 litres (0.98 US gallons),,,Grey,Electric & kick,Air,96.0 kg (211.6 pounds),,85.0 km/h (52.8 mph),,,"Model id:LF110-26H
Chinese brand.",,,,0.0726 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Versys 1000 SE,2020,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1043.0 ccm (63.64 cubic inches),"In-line four, four-stroke",120.0 HP (87.6  kW)) @ 9000 RPM,102.0 Nm (10.4 kgf-m or 75.2 ft.lbs) @ 7500 RPM,10.3:1,77.0 x 56.0 mm (3.0 x 2.2 inches),Injection. Ø 38 mm x 4 (Keihin) with oval sub-throttles,Double Overhead Cams/Twin Cam (DOHC),Digital,"Forced lubrication, wet sump",6-speed,Chain   (final drive),"Wet multi-disc, manual",Sealed chain,5.50 litres/100 km (18.2 km/l or 42.77 mpg),127.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,"Twin-tube, aluminium",27.0°,106 mm (4.2 inches),"43 mm inverted fork with KECS-controlled rebound and compression damping, manual spring preload adjustability and top-out springs",150 mm (5.9 inches),"Horizontal Back-link, BFRC lite shock, KECS-controlled compression damping, rebound damping and spring preload adjustability.",152 mm (6.0 inches),120/70-ZR17 ,180/55-ZR17 ,Double disc. Petal discs. Dual opposed 4-piston caliper,250 mm (9.8 inches),Single disc. Petal disc. Single-piston caliper.,,257.0 kg (566.6 pounds),"840 mm (33.1 inches) If adjustable, lowest setting.",1490 mm (58.7 inches),2270 mm (89.4 inches),950 mm (37.4 inches),150 mm (5.9 inches),1520 mm (59.8 inches),21.00 litres (5.55 US gallons),,,"Emerald Blazed Green/Pearl Storm Grey, Metallic Carbon Grey/Metallic Spark Black.",Electric,Liquid,,,,,,Small windscreen. Special edition.,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinamo Rayo 175,2020,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,175.0 ccm (10.68 cubic inches),"Single cylinder, four-stroke",10.5 HP (7.7  kW)),,,,,,CDI,,,,,,,,,,,,"Telescopic fork, hydraulic",,Double hydraulic shock absorber,,,130/90-15 ,Single disc,,Expanding brake (drum brake),,,,1070 mm (42.1 inches),2130 mm (83.9 inches),740 mm (29.1 inches),,1500 mm (59.1 inches),10.00 litres (2.64 US gallons),,,"Black, Grey, Red",Electric & kick,Air,,,90.0 km/h (55.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bajaj Pulsar NS200,2020,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",199.5 ccm (12.17 cubic inches),"Single cylinder, four-stroke",23.2 HP (16.9  kW)) @ 9500 RPM,18.3 Nm (1.9 kgf-m or 13.5 ft.lbs) @ 8000 RPM,,72.0 x 49.0 mm (2.8 x 1.9 inches),Carburettor,Single Overhead Cams (SOHC),Independent spark control through ECU,,,Chain   (final drive),,,,,,Pressed steel perimeter ,,,Telescopic Front Fork with Antifriction Bush Dia 37,130 mm (5.1 inches),Nitrox Mono Shock Absorber with piggy back gas canister,90 mm (3.5 inches),100/80-17 ,130/70-17 ,Single disc. Petal Disc with floating caliper,230 mm (9.1 inches),Single disc. Petal Disc with floating caliper,"10 spoke, Alloy",154.0 kg (339.5 pounds),,1175 mm (46.3 inches),2017 mm (79.4 inches),804 mm (31.7 inches),169 mm (6.7 inches),1363 mm (53.7 inches),12.00 litres (3.17 US gallons),,,"Fiery Yellow, Wild Red, Graphite Black, Mirage White",Electric,Liquid,,12V 8AH VRLA battery.,135.0 km/h (83.9 mph),"Headlamp: 3Low - projector lamp 55w, High - Ellipsodial lamp 55w",,Bike made in India.,Digital triple spark,4,Exhaust TEC enhanced centrally mounted,,Split seats,,,,,,,,,,,9.83 seconds,,,,,,,,,,,,,
Boss Hoss Gangsta Trike,2020,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,6200.0 ccm (378.32 cubic inches),"V8, four-stroke",,603.4 Nm (61.5 kgf-m or 445.1 ft.lbs) @ 4750 RPM,10.7:1,,Injection. Multi-port injection,Double Overhead Cams/Twin Cam (DOHC),,,Automatic,Shaft drive (cardan)   (final drive),Narroved Ford,4-speed automatic overdrive with lockup,8.55 litres/100 km (11.7 km/l or 27.51 mpg),198.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,35.0°,,"Inverted forks, 63 mm, adjustable preload",89 mm (3.5 inches),Air ride,,130/90-16 ,235/60-R17 ,"Double disc. Dual 4-piston caliper, floating disc",320 mm (12.6 inches),"Single disc. 2-piston caliper, floating disc",Two rear wheels,,"749 mm (29.5 inches) If adjustable, lowest setting.",,3505 mm (138.0 inches),1524 mm (60.0 inches),152 mm (6.0 inches),2159 mm (85.0 inches),32.17 litres (8.50 US gallons),,,,Electric,Liquid,"680.4 kg (1,500.0 pounds)",,,,"One year, unlimited mileage",Three wheel bike. ,Cast aluminium - 4 bolt main,4,2.5 inch with dual mufflers,,,,,,,,,,,,,,,,,,,,,,,,,,
Zontes 310 X1,2020,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",312.0 ccm (19.04 cubic inches),"Single cylinder, four-stroke",34.9 HP (25.5  kW)) @ 9500 RPM,30.0 Nm (3.1 kgf-m or 22.1 ft.lbs) @ 7500 RPM,12.5:1,80.0 x 62.0 mm (3.1 x 2.4 inches),Injection. Delphi,Double Overhead Cams/Twin Cam (DOHC),,,6-speed,Chain   (final drive),Wet type multi-pieces,,3.20 litres/100 km (31.3 km/l or 73.51 mpg),74.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Iron pipe ,,,Telescopic,,Central nitrogen absorber,,110/70-R17 ,160/60-R17 ,Single disc. ABS,,Single disc. ABS,,159.0 kg (350.5 pounds),"795 mm (31.3 inches) If adjustable, lowest setting.",1326 mm (52.2 inches),2050 mm (80.7 inches),755 mm (29.7 inches),160 mm (6.3 inches),1394 mm (54.9 inches),19.00 litres (5.02 US gallons),,,"Blue, black, red, white, silver",Electric & kick,Liquid,149.0 kg (328.5 pounds),,,LED Headlights,,Chinese brand.,,,,0.2340 HP/kg,,,,"830 mm (32.7 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,
AJP PR4 Enduro Pro 240,2020,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,233.0 ccm (14.22 cubic inches),"Single cylinder, four-stroke",20.0 HP (14.6  kW)) @ 8000 RPM,18.0 Nm (1.8 kgf-m or 13.3 ft.lbs) @ 7000 RPM,,69.0 x 62.5 mm (2.7 x 2.5 inches),Carburettor. 30 mm,Single Overhead Cams (SOHC),,,5-speed,Chain   (final drive),"Oil bath, multidisc",,,,,Composite - aluminum/steel double spar frame.,,,"Marzocchi 40mm, multi-adjustable",260 mm (10.2 inches),ZF Sachs p. system,300 mm (11.8 inches),90/90-21 ,120/80-18 ,Single disc. 2-piston calipers,220 mm (8.7 inches),Single disc,"Black rims, wire spoked",115.0 kg (253.5 pounds),"920 mm (36.2 inches) If adjustable, lowest setting.",,,,365 mm (14.4 inches),1360 mm (53.5 inches),7.50 litres (1.98 US gallons),,,White/red/black,Electric,Oil & air,,,,,,Portuguese made bike. ,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
