Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Max RPM,Fuel system,Ignition,Lubrication system,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Diameter,Dry weight,Seat height,Overall height,Overall length,Overall width,Ground clearance,Color options,Starter,Torque,Clutch,Rake (fork angle),Trail,Power/weight ratio,Fuel consumption,Greenhouse gases,Exhaust system,Comments,Wheelbase,Seat,Instruments,Reserve fuel capacity,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Modifications compared to previous model,Oil capacity,Engine oil,Brake fluid,Spark plugs,Idle speed,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size
Husqvarna 400 WR,1989,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",395.0 ccm (24.10 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5500 RPM,110.0 km/h (68.4 mph),12.5:1,82.5 x 74.0 mm (3.2 x 2.9 inches),,Membrane,Liquid,6-speed,Chain   (final drive),90190-21 ,140/80-18 ,Single disc,Expanding brake,110.0 kg (242.5 pounds),10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 600 S,1989,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",590.0 ccm (36.00 cubic inches),"Single cylinder, four-stroke",45.0 HP (32.8  kW)) @ 6800 RPM,156.0 km/h (96.9 mph),9.5:1,94.0 x 85.0 mm (3.7 x 3.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Expanding brake,160.0 kg (352.7 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Elefant 750 Bifaro,1989,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"V2, four-stroke",,,,,2,Desmodromic valve control,Air,,Chain   (final drive),,,,,,,,Carburettor. Bing 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLTC 1340 Tour Glide Classic,1989,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",65.0 HP (47.4  kW)) @ 5000 RPM,150.0 km/h (93.2 mph),8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MT90-16T ,MT90-16T ,Dual disc,Single disc,360.0 kg (793.7 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN-15,1989,Custom / cruiser," 3.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1470.0 ccm (89.70 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 4500 RPM,179.0 km/h (111.2 mph),9.0:1,102.0 x 90.0 mm (4.0 x 3.5 inches),4,Overhead Cams (OHC),Liquid,4-speed,Shaft drive (cardan)   (final drive),100/90-19 ,150/90-15 ,Single disc,Single disc,284.0 kg (626.1 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson 1340 Tour Glide Ultra Classic (reduced effect),1989,"Minibike, sport"," 3.2  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 4800 RPM,,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MT90-16T ,MT90-16T ,Dual disc,Single disc,366.0 kg (806.9 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZR 600 (reduced effect #2),1989,Sport," 2.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 8000 RPM,139.0 km/h (86.4 mph),12.0:1,59.0 x 54.8 mm (2.3 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),110/70-17 ,130/70-18 ,Dual disc,Single disc,208.0 kg (458.6 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta KR 250,1989,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,239.0 ccm (14.58 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 7900 RPM,87.0 km/h (54.1 mph),9.0:1,72.8 x 57.5 mm (2.9 x 2.3 inches),,Membrane,Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Single disc,Expanding brake,116.0 kg (255.7 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XTZ 750 Super Ténéré,1989,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",749.0 ccm (45.70 cubic inches),"Twin, four-stroke",69.0 HP (50.4  kW)) @ 7500 RPM,181.0 km/h (112.5 mph),9.5:1,87.0 x 63.0 mm (3.4 x 2.5 inches),5,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),90/90-21 ,140/80-17 ,Dual disc,Single disc,232.0 kg (511.5 pounds),26.00 litres (6.87 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 900 Sei,1989,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,905.0 ccm (55.22 cubic inches),"In-line six, four-stroke",80.0 HP (58.4  kW)) @ 8300 RPM,193.0 km/h (119.9 mph),9.5:1,60.0 x 53.4 mm (2.4 x 2.1 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,249.0 kg (549.0 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki EL 250,1989,Allround," 2.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",249.0 ccm (15.19 cubic inches),"Twin, four-stroke",33.0 HP (24.1  kW)) @ 12500 RPM,139.0 km/h (86.4 mph),12.4:1,62.0 x 41.2 mm (2.4 x 1.6 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),100/90-17 ,140/90-15 ,Single disc,Expanding brake,159.0 kg (350.5 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ ETZ 251,1989,Naked bike," 4.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",21.0 HP (15.3  kW)) @ 5500 RPM,129.0 km/h (80.2 mph),10.0:1,69.0 x 65.0 mm (2.7 x 2.6 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-18 ,110/80-16 ,Single disc,Expanding brake,146.0 kg (321.9 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantic Trial 241 Seven Days,1989,Trial," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",211.0 ccm (12.88 cubic inches),"Single cylinder, two-stroke",16.0 HP (11.7  kW)) @ 5000 RPM,99.0 km/h (61.5 mph),10.4:1,69.0 x 56.5 mm (2.7 x 2.2 inches),,Port control,Air,6-speed,Chain   (final drive),2.75-21 ,4.00-18 ,Expanding brake,Expanding brake,92.0 kg (202.8 pounds),4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson 1340 Electra Glide Ultra Classic (reduced effect),1989,Custom / cruiser," 3.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 4800 RPM,,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MT90-16T ,MT90-16T ,Dual disc,Single disc,356.0 kg (784.8 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chang-Jiang 750 BG (with sidecar),1989,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",27.0 HP (19.7  kW)) @ 5000 RPM,110.0 km/h (68.4 mph),7.0:1,78.0 x 78.0 mm (3.1 x 3.1 inches),2,Overhead Valves (OHV),Air,4-speed,Shaft drive (cardan)   (final drive),3.75-19 ,3.75-19 ,Expanding brake,Expanding brake,350.0 kg (771.6 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 1300 DFI,1989,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1285.0 ccm (78.41 cubic inches),"In-line six, four-stroke",130.0 HP (94.9  kW)) @ 8000 RPM,,9.3:1,62.0 x 71.0 mm (2.4 x 2.8 inches),2,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,130/90-17 ,Dual disc,Single disc,324.0 kg (714.3 pounds),27.00 litres (7.13 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva T4 350 E,1989,Sport," 2.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",343.0 ccm (20.93 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,145.0 km/h (90.1 mph),9.5:1,82.0 x 65.0 mm (3.2 x 2.6 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.60-17 ,Single disc,Expanding brake,140.0 kg (308.6 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 1100 F,1989,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1127.0 ccm (68.77 cubic inches),"In-line four, four-stroke",136.0 HP (99.3  kW)) @ 9500 RPM,,10.0:1,78.0 x 59.0 mm (3.1 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),120/80-16 ,150/80-16 ,Dual disc,Single disc,273.0 kg (601.9 pounds),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NT 650 Hawk GT,1989,Naked bike," 4.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",647.0 ccm (39.48 cubic inches),"Twin, four-stroke",58.0 HP (42.3  kW)) @ 5800 RPM,,9.4:1,77.0 x 66.0 mm (3.0 x 2.6 inches),3,Single Overhead Cams (SOHC),Liquid,5-speed,Chain   (final drive),110/80-17 ,150/70-17 ,Single disc,Single disc,184.2 kg (406.0 pounds),12.11 litres (3.20 US gallons),6800,Carburettor. 2 x CV carburetors,,,Single Swing Arm,,,,,,167.8 kg (370.0 pounds),"777 mm (30.6 inches) If adjustable, lowest setting.",,,,,,,58.3 Nm (5.9 kgf-m or 43.0 ft.lbs) @ 6000 RPM,Wet Plate,27.0°,112 mm (4.4 inches),0.3456 HP/kg,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 1000 GTR,1989,Sport touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,997.0 ccm (60.84 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 9000 RPM,194.0 km/h (120.5 mph),10.2:1,74.0 x 58.0 mm (2.9 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Shaft drive (cardan)   (final drive),110/80-18 ,150/80-16 ,Dual disc,Single disc,296.0 kg (652.6 pounds),28.50 litres (7.53 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 550 GT,1989,Naked bike," 2.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",553.0 ccm (33.74 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,177.0 km/h (110.0 mph),9.5:1,58.0 x 52.4 mm (2.3 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Shaft drive (cardan)   (final drive),100/90-19 ,120/90-18 ,Dual disc,Expanding brake,221.0 kg (487.2 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZ 750,1989,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",106.0 HP (77.4  kW)) @ 10500 RPM,,11.2:1,68.0 x 51.6 mm (2.7 x 2.0 inches),5,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,140/70-18 ,Dual disc,Single disc,232.0 kg (511.5 pounds),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLR 250 (reduced effect),1989,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 9000 RPM,133.0 km/h (82.6 mph),11.0:1,74.0 x 58.0 mm (2.9 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),3.00-21 ,4.60-17 ,Single disc,Expanding brake,134.0 kg (295.4 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 350 F3,1989,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",349.0 ccm (21.30 cubic inches),"V2, four-stroke",42.0 HP (30.7  kW)) @ 9700 RPM,164.0 km/h (101.9 mph),10.0:1,66.0 x 51.0 mm (2.6 x 2.0 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),100/90-16 ,120/80-18 ,Dual disc,Single disc,190.0 kg (418.9 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH Sportster 1200,1989,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1198.0 ccm (73.10 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5200 RPM,177.0 km/h (110.0 mph),9.0:1,88.8 x 96.8 mm (3.5 x 3.8 inches),2,Overhead Valves (OHV),Air,4-speed,Belt   (final drive),MJ 90-19 ,MT 90-16 ,Single disc,Single disc,222.0 kg (489.4 pounds),14.00 litres (3.70 US gallons),,Carburettor,Points,,Tubular duplex steel cradle,Telescopic fork,,Twin shocks with 5 position adjustment,,,,"737 mm (29.0 inches) If adjustable, lowest setting.",,,,,,,,,,,,4.70 litres/100 km (21.3 km/l or 50.05 mpg),109.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,
Kawasaki Tengai (reduced effect),1989,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5000 RPM,130.0 km/h (80.8 mph),9.5:1,100.0 x 83.0 mm (3.9 x 3.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Single disc,190.0 kg (418.9 pounds),23.00 litres (6.08 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPX 500 R,1989,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",497.0 ccm (30.33 cubic inches),"In-line four, four-stroke",75.1 HP (54.8  kW)),205.0 km/h (127.4 mph),,,4,,Liquid,6-speed,Chain   (final drive),110/80-16 ,130/90-16 ,Double disc,Single disc,210.0 kg (463.0 pounds),,,Carburettor,,,,,,,,,,,,,,,,Electric,,wet plate,,,,,,,,,,,,,,,,,,,,,,,,
Yangtze 750 Standard A (with sidecar),1989,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",22.0 HP (16.1  kW)) @ 4500 RPM,90.0 km/h (55.9 mph),5.7:1,78.0 x 78.0 mm (3.1 x 3.1 inches),2,Standing valves,Air,4-speed,Shaft drive (cardan)   (final drive),3.75-19 ,3.75-19 ,Expanding brake,Expanding brake,350.0 kg (771.6 pounds),23.00 litres (6.08 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson 1340 Tour Glide Ultra Classic,1989,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",65.0 HP (47.4  kW)) @ 5000 RPM,,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MT90-16T ,MT90-16T ,Dual disc,Single disc,366.0 kg (806.9 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 305 Belt Drive,1989,Sport touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",306.0 ccm (18.67 cubic inches),"Twin, four-stroke",34.0 HP (24.8  kW)) @ 10000 RPM,152.0 km/h (94.4 mph),9.7:1,61.0 x 52.4 mm (2.4 x 2.1 inches),2,Overhead Cams (OHC),Air,6-speed,Belt   (final drive),90/90-18 ,110/80-18 ,Dual disc,Expanding brake,164.0 kg (361.6 pounds),16.50 litres (4.36 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 350 X3 Kanguro,1989,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",344.0 ccm (20.99 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 7800 RPM,123.0 km/h (76.4 mph),11.0:1,62.0 x 57.0 mm (2.4 x 2.2 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Single disc,Single disc,166.0 kg (366.0 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 500 E,1989,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",487.0 ccm (29.72 cubic inches),"Twin, four-stroke",46.0 HP (33.6  kW)) @ 9200 RPM,173.0 km/h (107.5 mph),9.0:1,74.0 x 56.6 mm (2.9 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),110/70-17 ,130/70-17 ,Single disc,Single disc,187.0 kg (412.3 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki EL 250 (reduced effect),1989,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 11800 RPM,131.0 km/h (81.4 mph),12.4:1,62.0 x 41.2 mm (2.4 x 1.6 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),100/90-17 ,140/90-15 ,Single disc,Expanding brake,159.0 kg (350.5 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera XRT 600,1989,Sport touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",554.0 ccm (33.81 cubic inches),"Single cylinder, four-stroke",41.0 HP (29.9  kW)) @ 7250 RPM,148.0 km/h (92.0 mph),9.5:1,98.0 x 74.0 mm (3.9 x 2.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Single disc,190.0 kg (418.9 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100 RS,1989,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",987.0 ccm (60.23 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,222.0 km/h (137.9 mph),10.2:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,130/90-17 ,Dual disc,Single disc,260.0 kg (573.2 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 600 (reduced effect),1989,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,136.0 km/h (84.5 mph),8.5:1,95.0 x 84.0 mm (3.7 x 3.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.60-18 ,Single disc,Expanding brake,148.0 kg (326.3 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 900 F,1989,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",891.0 ccm (54.37 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 9000 RPM,221.0 km/h (137.3 mph),9.6:1,68.5 x 60.5 mm (2.7 x 2.4 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,242.0 kg (533.5 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi NTX 750 - C,1989,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6400 RPM,170.0 km/h (105.6 mph),9.7:1,80.0 x 74.0 mm (3.1 x 2.9 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.00-21 ,4.00-18 ,Single disc,Single disc,202.0 kg (445.3 pounds),33.00 litres (8.72 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH Sportster 883 Hugger,1989,Custom / cruiser," 3.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 6000 RPM,151.0 km/h (93.8 mph),9.0:1,76.2 x 96.8 mm (3.0 x 3.8 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),MJ 90-19 ,MT 90-16 ,Single disc,Single disc,223.0 kg (491.6 pounds),8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chang-Jiang 750 J-1 (with sidecar),1989,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",27.0 HP (19.7  kW)) @ 5000 RPM,110.0 km/h (68.4 mph),7.0:1,78.0 x 78.0 mm (3.1 x 3.1 inches),2,Overhead Valves (OHV),Air,4-speed with reverse,Shaft drive (cardan)   (final drive),3.75-19 ,3.75-19 ,Single disc,Expanding brake,370.0 kg (815.7 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera Saturno 500,1989,Speedway," 2.8  See the detailed rating of engine performance, racing track capabilities, maintenance costs, etc. Compare with any other bike.",492.0 ccm (30.02 cubic inches),"Single cylinder, four-stroke",38.0 HP (27.7  kW)) @ 7000 RPM,176.0 km/h (109.4 mph),9.8:1,92.0 x 74.0 mm (3.6 x 2.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),110/70-17 ,140/70-17 ,Single disc,Single disc,167.0 kg (368.2 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR Big 750 S (reduced effect),1989,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",727.0 ccm (44.36 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,120.0 km/h (74.6 mph),9.5:1,105.0 x 84.0 mm (4.1 x 3.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Expanding brake,210.0 kg (463.0 pounds),29.00 litres (7.66 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Targa 750,1989,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",744.0 ccm (45.40 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6400 RPM,182.0 km/h (113.1 mph),9.7:1,80.0 x 74.0 mm (3.1 x 2.9 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),110/90-18 ,120/90-18 ,Double disc,Single disc,180.0 kg (396.8 pounds),18.00 litres (4.76 US gallons),,Carburettor,,,"Duplex cradle, steel","Telescopic fork, air assisted",,"Dual shocks, Marzocchi 5-way preload adjustment",,235 mm (9.3 inches),,,,,,,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZXR 250,1989,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",250.0 ccm (15.26 cubic inches),"In-line four, four-stroke",,,,,,,,6-speed,Chain   (final drive),,,,,,,19000,Carburettor,,Wet sump,,,,,,,,,,,,,,,,Dry plate,,,,,,4 into 1,Great learners bike,,,,,,,,,,,,,,,,,
