Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Cooling system,Gearbox,Transmission type,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Wheelbase,Fuel capacity,Torque,0-100 km/h (0-62 mph),"60-140 km/h (37-87 mph), highest gear",Compression,Bore x stroke,Fuel consumption,Greenhouse gases,Front wheel travel,Rear wheel travel,Front tire,Rear tire,Diameter,"Weight incl. oil, gas, etc",Front percentage of weight,Seat height,Starter,Comments,Valves per cylinder,Fuel system,Alternate seat height,Fuel control,Ignition,Rake (fork angle),Trail,Front suspension,Rear suspension,Oil capacity,Engine oil,Brake fluid,Coolant,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Frame type,Color options,Lubrication system,Clutch,Driveline,Overall length,Ground clearance,Electrical,Chain links,Sprockets,Max RPM,Overall height,Overall width,Reserve fuel capacity,Exhaust system,Modifications compared to previous model,1/4 mile (0.4 km),Engine details,Emission details,Carrying capacity,Rear percentage of weight,Wheels,Oil filter,Battery,Belt teeth,Belt width,Pulley teeth
Honda VT 750 C2,1999,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",745.0 ccm (45.46 cubic inches),"V2, four-stroke",45.0 HP (32.8  kW)) @ 5500 RPM,145.0 km/h (90.1 mph),Liquid,5-speed,Chain   (final drive),Single disc,Expanding brake,,,1615 mm (63.6 inches),14.00 litres (3.70 US gallons),63.0 Nm (6.4 kgf-m or 46.5 ft.lbs) @ 3000 RPM,6.50 seconds,14.60 seconds,9.0:1,79.0 x 76.0 mm (3.1 x 3.0 inches),5.30 litres/100 km (18.9 km/l or 44.38 mpg),123.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,130 mm (5.1 inches),90 mm (3.5 inches),120/90-17 ,170/80-15 ,180 mm (7.1 inches),249.0 kg (549.0 pounds),45.4,"720 mm (28.3 inches) If adjustable, lowest setting.",Electric,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Burgman 400,1999,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",385.0 ccm (23.49 cubic inches),"Single cylinder, four-stroke",33.0 HP (24.1  kW)),,Air,,,,,174.0 kg (383.6 pounds),0.1897 HP/kg,1590 mm (62.6 inches),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta F4 Serie ORO,1999,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",750.0 ccm (45.77 cubic inches),"In-line four, four-stroke",126.0 HP (92.0  kW)) @ 12200 RPM,,Liquid,6-speed,,,,180.0 kg (396.8 pounds),0.7000 HP/kg,1412 mm (55.6 inches),22.00 litres (5.81 US gallons),71.6 Nm (7.3 kgf-m or 52.8 ft.lbs) @ 9000 RPM,,,,73.8 x 43.8 mm (2.9 x 1.7 inches),,,,,120/65-ZR17 ,190/50-ZR17 ,,,,,,,4,Injection. EFI Weber-Marelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ER-5,1999,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 9000 RPM,178.0 km/h (110.6 mph),Liquid,6-speed,Chain   (final drive),Single disc,Expanding brake,,,1430 mm (56.3 inches),16.00 litres (4.23 US gallons),45.0 Nm (4.6 kgf-m or 33.2 ft.lbs) @ 7200 RPM,5.00 seconds,16.90 seconds,9.8:1,74.0 x 58.0 mm (2.9 x 2.3 inches),5.40 litres/100 km (18.5 km/l or 43.56 mpg),125.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,140 mm (5.5 inches),80 mm (3.1 inches),110/70-17 ,130/70-17 ,160 mm (6.3 inches),193.0 kg (425.5 pounds),,"780 mm (30.7 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 600 C Shadow,1999,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",39.0 HP (28.5  kW)) @ 6500 RPM,150.0 km/h (93.2 mph),Liquid,5-speed,Chain   (final drive),Single disc,Expanding brake,199.0 kg (438.7 pounds),0.1960 HP/kg,1600 mm (63.0 inches),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TDR 125,1999,Super motard," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 7000 RPM,108.0 km/h (67.1 mph),Liquid,6-speed,Chain   (final drive),Single disc,Single disc,,,1405 mm (55.3 inches),11.00 litres (2.91 US gallons),15.0 Nm (1.5 kgf-m or 11.1 ft.lbs) @ 7000 RPM,,,6.6:1,56.0 x 50.7 mm (2.2 x 2.0 inches),4.80 litres/100 km (20.8 km/l or 49.00 mpg),111.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,180 mm (7.1 inches),180 mm (7.1 inches),100/90-18 ,130/80-17 ,189 mm (7.4 inches),139.0 kg (306.4 pounds),48.0,"850 mm (33.5 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimota DB 4,1999,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",80.0 HP (58.4  kW)) @ 7000 RPM,225.0 km/h (139.8 mph),Air,6-speed,Chain   (final drive),Dual disc,Single disc,165.0 kg (363.8 pounds),0.4848 HP/kg,1370 mm (53.9 inches),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJR 1300,1999,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1251.0 ccm (76.34 cubic inches),"In-line four, four-stroke",101.0 HP (73.7  kW)) @ 8000 RPM,218.0 km/h (135.5 mph),Air,5-speed,Chain   (final drive),Dual disc,Single disc,,,1500 mm (59.1 inches),21.00 litres (5.55 US gallons),98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 6000 RPM,2.90 seconds,8.40 seconds,9.7:1,79.0 x 63.8 mm (3.1 x 2.5 inches),7.20 litres/100 km (13.9 km/l or 32.67 mpg),167.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,130 mm (5.1 inches),110 mm (4.3 inches),120/70-ZR17 ,180/55-ZR17 ,267 mm (10.5 inches),254.0 kg (560.0 pounds),48.0,"780 mm (30.7 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Monster 900,1999,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",74.0 HP (54.0  kW)) @ 7000 RPM,205.0 km/h (127.4 mph),Air,6-speed,Chain   (final drive),Dual disc,Single disc,183.0 kg (403.4 pounds),0.4044 HP/kg,1430 mm (56.3 inches),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 750 S Formula,1999,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"Twin, four-stroke",92.0 HP (67.2  kW)) @ 9500 RPM,240.0 km/h (149.1 mph),Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,185.0 kg (407.9 pounds),0.4973 HP/kg,1375 mm (54.1 inches),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RS 250,1999,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"V2, two-stroke",55.0 HP (40.1  kW)) @ 11000 RPM,203.0 km/h (126.1 mph),Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,,,1360 mm (53.5 inches),19.50 litres (5.15 US gallons),35.0 Nm (3.6 kgf-m or 25.8 ft.lbs) @ 10700 RPM,4.30 seconds,33.00 seconds,12.0:1,56.0 x 50.6 mm (2.2 x 2.0 inches),6.60 litres/100 km (15.2 km/l or 35.64 mpg),153.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,120 mm (4.7 inches),130 mm (5.1 inches),120/60-ZR17 ,150/60-ZR17 ,220 mm (8.7 inches),168.0 kg (370.4 pounds),50.6,"820 mm (32.3 inches) If adjustable, lowest setting.",Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1100 GS,1999,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",1085.0 ccm (66.21 cubic inches),"Two cylinder boxer, four-stroke",80.0 HP (58.4  kW)) @ 6800 RPM,195.0 km/h (121.2 mph),Air,5-speed,Shaft drive (cardan)   (final drive),Dual disc,Single disc,,,1509 mm (59.4 inches),25.00 litres (6.61 US gallons),97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 5300 RPM,3.90 seconds,9.60 seconds,10.3:1,99.0 x 70.5 mm (3.9 x 2.8 inches),6.60 litres/100 km (15.2 km/l or 35.64 mpg),153.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,190 mm (7.5 inches),200 mm (7.9 inches),110/80-19 ,150/70-R17 ,276 mm (10.9 inches),254.0 kg (560.0 pounds),50.2,"840 mm (33.1 inches) If adjustable, lowest setting.",Electric,,,Injection,"860 mm (33.9 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Zing 125,1999,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",10.9 HP (8.0  kW)) @ 9000 RPM,99.0 km/h (61.5 mph),Oil & air,5-speed,Chain   (final drive),Single disc,Expanding brake,,,1500 mm (59.1 inches),13.00 litres (3.43 US gallons),9.3 Nm (0.9 kgf-m or 6.9 ft.lbs) @ 6500 RPM,,,9.0:1,56.5 x 49.5 mm (2.2 x 1.9 inches),5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,125 mm (4.9 inches),70 mm (2.8 inches),,130/90-15 ,140 mm (5.5 inches),164.5 kg (362.7 pounds),,"690 mm (27.2 inches) If adjustable, lowest setting.",Electric & kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Foresight,1999,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 125 Virago,1999,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"V2, four-stroke",11.4 HP (8.3  kW)) @ 8500 RPM,107.0 km/h (66.5 mph),Air,5-speed,Chain   (final drive),Single disc,Expanding brake,,,1495 mm (58.9 inches),9.50 litres (2.51 US gallons),9.4 Nm (1.0 kgf-m or 6.9 ft.lbs) @ 8500 RPM,,,10.2:1,41.0 x 47.0 mm (1.6 x 1.9 inches),3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,140 mm (5.5 inches),100 mm (3.9 inches),,130/90-15 ,130 mm (5.1 inches),147.0 kg (324.1 pounds),47.0,"685 mm (27.0 inches) If adjustable, lowest setting.",Electric,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimota 500 V-Due,1999,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"V2, two-stroke",105.0 HP (76.6  kW)) @ 9300 RPM,245.0 km/h (152.2 mph),Liquid,5-speed,Chain   (final drive),Dual disc,Single disc,145.0 kg (319.7 pounds),0.7241 HP/kg,1340 mm (52.8 inches),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FE 400,1999,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"Single cylinder, four-stroke",,140.0 km/h (87.0 mph),Liquid,6-speed,Chain   (final drive),Single disc,Single disc,109.0 kg (240.3 pounds),,1490 mm (58.7 inches),8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Dio 3 ZX Live,1999,Scooter," 2.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",7.2 HP (5.3  kW)),70.0 km/h (43.5 mph),Air,,Belt   (final drive),Single disc. single piston,,,,,5.50 litres (1.45 US gallons),,,,,,3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,80/90-10 ,90/90-10 ,310 mm (12.2 inches),,,,,,,Carburettor. keihin 14,,,,,,hd sus,spring,,,,,,,,,,steel,"Black, red, white",,,,,,,,,,,,,,,,,,,,,,,,,
Hyosung Cruise II 125,1999,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",14.3 HP (10.4  kW)) @ 8600 RPM,111.0 km/h (69.0 mph),Air,5-speed,Chain   (final drive),Single disc,Expanding brake,,,1450 mm (57.1 inches),14.50 litres (3.83 US gallons),11.0 Nm (1.1 kgf-m or 8.1 ft.lbs) @ 8000 RPM,,,10.6:1,57.0 x 48.8 mm (2.2 x 1.9 inches),3.20 litres/100 km (31.3 km/l or 73.51 mpg),74.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,170 mm (6.7 inches),90 mm (3.5 inches),90/90-18 ,110/90-16 ,130 mm (5.1 inches),142.0 kg (313.1 pounds),45.0,"740 mm (29.1 inches) If adjustable, lowest setting.",Electric & kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 600 F,1999,Sport," 4.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",110.0 HP (80.3  kW)) @ 12500 RPM,255.0 km/h (158.4 mph),Liquid,6-speed,Chain   (final drive),Double disc. Four-piston calipers. ,Single disc. Single-piston caliper. ,168.0 kg (370.4 pounds),0.6548 HP/kg,1395 mm (54.9 inches),18.00 litres (4.76 US gallons),67.0 Nm (6.8 kgf-m or 49.4 ft.lbs) @ 10500 RPM,3.20 seconds,12.60 seconds,12.0:1,67.0 x 42.5 mm (2.6 x 1.7 inches),6.20 litres/100 km (16.1 km/l or 37.94 mpg),143.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,120 mm (4.7 inches),120 mm (4.7 inches),120/70-ZR17 ,180/55-ZR17 ,220 mm (8.7 inches),199.0 kg (438.7 pounds),49.6,"810 mm (31.9 inches) If adjustable, lowest setting.",Electric,,4,"Carburettor. 4 slanted flatside CV carburetors,  36.5mm ",,Double Overhead Cams/Twin Cam (DOHC),Digital,24.0°,97 mm (3.8 inches),43mm fully adjustable cartridge-type fork,Pro-Link featuring fully adjustable gas-charged remote reservoir damper,3.30 litres (3.49 US quarts),SAE 10W-40,DOT 4,3.00 litres (0.79 US gallons),NGK CR9EH-9,1300  +/- 100  RPM,36 PSI (2.5 Bar or 250 kPa),42 PSI (2.9 Bar or 290 kPa),43 mm (1.7 inches),"Aluminium, twin spar","Yellow, black, red/white/blue",Wet sump,"Multi-plate wet, cable operated",#525 O-ring-sealed chain,2065 mm (81.3 inches),135 mm (5.3 inches),YTX9-BS battery.,108,16/45 (front/rear),,,,,,,,,,,,,,,,,
Yamaha XTZ 660 Ténéré,1999,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",660.0 ccm (40.27 cubic inches),"Single cylinder, four-stroke",46.0 HP (33.6  kW)) @ 6000 RPM,156.0 km/h (96.9 mph),Liquid,5-speed,Chain   (final drive),Single disc,Single disc,,,1495 mm (58.9 inches),20.00 litres (5.28 US gallons),56.0 Nm (5.7 kgf-m or 41.3 ft.lbs) @ 5000 RPM,6.50 seconds,20.60 seconds,9.2:1,100.0 x 84.0 mm (3.9 x 3.3 inches),5.50 litres/100 km (18.2 km/l or 42.77 mpg),127.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,220 mm (8.7 inches),220 mm (8.7 inches),90/90-S21 ,120/90-S17 ,220 mm (8.7 inches),201.0 kg (443.1 pounds),,"865 mm (34.1 inches) If adjustable, lowest setting.",Electric,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVS Drag Star,1999,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"V2, four-stroke",40.0 HP (29.2  kW)) @ 6500 RPM,150.0 km/h (93.2 mph),Air,5-speed,Shaft drive (cardan)   (final drive),Single disc,Expanding brake,,,1610 mm (63.4 inches),16.00 litres (4.23 US gallons),51.0 Nm (5.2 kgf-m or 37.6 ft.lbs) @ 3000 RPM,7.00 seconds,16.00 seconds,9.1:1,81.0 x 63.0 mm (3.2 x 2.5 inches),5.60 litres/100 km (17.9 km/l or 42.00 mpg),129.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,140 mm (5.5 inches),86 mm (3.4 inches),100/90-19 ,170/80-15 ,200 mm (7.9 inches),230.0 kg (507.1 pounds),45.6,"695 mm (27.4 inches) If adjustable, lowest setting.",Electric,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 125 ES,1999,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",14.0 HP (10.2  kW)) @ 9500 RPM,105.0 km/h (65.2 mph),Air,,Chain   (final drive),Single disc,,117.0 kg (257.9 pounds),0.1197 HP/kg,1270 mm (50.0 inches),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Road King Classic,1999,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1450.0 ccm (88.48 cubic inches),"V2, four-stroke",68.0 HP (49.6  kW)) @ 5400 RPM,155.0 km/h (96.3 mph),Air,5-speed,Belt   (final drive),,,323.0 kg (712.1 pounds),0.2105 HP/kg,1613 mm (63.5 inches),18.90 litres (4.99 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Union/OMV 125 Dandy,1999,Super motard," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)),108.0 km/h (67.1 mph),Air,,Chain   (final drive),Single disc,,103.0 kg (227.1 pounds),0.1165 HP/kg,,6.50 litres (1.72 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 750 SS i.e.,1999,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 8250 RPM,205.0 km/h (127.4 mph),Air,5-speed,Chain   (final drive),Double disc. 4-pistons,Single disc. 1-piston,183.0 kg (403.4 pounds),0.3333 HP/kg,1405 mm (55.3 inches),16.00 litres (4.23 US gallons),60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 6000 RPM,,,9.0:1,88.0 x 61.5 mm (3.5 x 2.4 inches),,,120 mm (4.7 inches),71 mm (2.8 inches),120/70-ZR17 ,160/60-ZR17 ,245 mm (9.6 inches),,,"812 mm (32.0 inches) If adjustable, lowest setting.",Electric,,2,Injection,,Desmodromic valve control,,28.0°,96 mm (3.8 inches),Hydraulic upside-down fork.,At the bottom pivot point the rear shock absorber is connected to the steel swingarm.,,,,,,,,,,Tubular trestle frame with upper section made of highstrength steel.,,,Wet plate,,2020 mm (79.5 inches),97 mm (3.8 inches),,,,9000,1100 mm (43.3 inches),780 mm (30.7 inches),4.00 litres (1.06 US gallons),,,,,,,,,,,,,
GAS GAS Pampera 125,1999,Trial,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 6600 RPM,104.0 km/h (64.6 mph),Liquid,6-speed,Chain   (final drive),Single disc,Single disc,,,1330 mm (52.4 inches),7.50 litres (1.98 US gallons),,,,,56.0 x 50.6 mm (2.2 x 2.0 inches),3.70 litres/100 km (27.0 km/l or 63.57 mpg),85.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,170 mm (6.7 inches),170 mm (6.7 inches),80/90-21 ,110/80-18 ,170 mm (6.7 inches),101.0 kg (222.7 pounds),47.5,"820 mm (32.3 inches) If adjustable, lowest setting.",Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Daytona 1200 SE (Special Edition),1999,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1180.0 ccm (72.00 cubic inches),"In-line four, four-stroke",147.0 HP (107.3  kW)) @ 9500 RPM,,Liquid,6-speed,Chain   (final drive),Double disc. 6-piston calipers,Single disc. 2-piston calipers,225.0 kg (496.0 pounds),0.6533 HP/kg,,25.00 litres (6.61 US gallons),115.0 Nm (11.7 kgf-m or 84.8 ft.lbs) @ 8000 RPM,,,12.0:1,,,,,,120/70-ZX17 ,180/55-ZX17 ,255 mm (10.0 inches),,,,,The 1999 Special Edition was a commorative run of 250 motorcycles with the exclusive colour combination of black body with gold graphics and gold wheels.  It also was given 6-piston caliper brakes.,4,Carburettor. Mikuni,,,,,,43mm forks,Monoshock,,,,,,,,,,Spine frame,None,Wet sump,Wet plate,,,,,,,9500,,,,4 into 2 twin mufflers,There was no 1998 model.  1999 was like 1997 except for color and the 6-piston brakes (instead of 4-piston of pior years).,,,,,,,,,,,
Suzuki TL 1000 S,1999,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",996.0 ccm (60.78 cubic inches),"Twin, four-stroke",125.0 HP (91.2  kW)) @ 8500 RPM,250.0 km/h (155.3 mph),Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,,,1415 mm (55.7 inches),17.00 litres (4.49 US gallons),105.0 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 8000 RPM,3.30 seconds,10.00 seconds,11.3:1,98.0 x 66.0 mm (3.9 x 2.6 inches),6.80 litres/100 km (14.7 km/l or 34.59 mpg),157.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,120 mm (4.7 inches),128 mm (5.0 inches),120/70-ZR17 ,190/50-ZR17 ,220 mm (8.7 inches),216.0 kg (476.2 pounds),47.3,"810 mm (31.9 inches) If adjustable, lowest setting.",Electric,,4,Injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 600 E,1999,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",45.0 HP (32.8  kW)) @ 6500 RPM,152.0 km/h (94.4 mph),Air,5-speed,Chain   (final drive),Single disc,Single disc,,,1440 mm (56.7 inches),15.00 litres (3.96 US gallons),50.0 Nm (5.1 kgf-m or 36.9 ft.lbs) @ 5500 RPM,6.60 seconds,21.10 seconds,8.5:1,95.0 x 84.0 mm (3.7 x 3.3 inches),5.40 litres/100 km (18.5 km/l or 43.56 mpg),125.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,225 mm (8.9 inches),220 mm (8.7 inches),90/90-21 ,120/90-17 ,220 mm (8.7 inches),179.0 kg (394.6 pounds),47.8,"860 mm (33.9 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZRX 1100,1999,Naked bike," 4.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1052.0 ccm (64.19 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 8000 RPM,221.0 km/h (137.3 mph),Liquid,5-speed,Chain   (final drive),Dual disc,Single disc,,,1450 mm (57.1 inches),20.00 litres (5.28 US gallons),92.0 Nm (9.4 kgf-m or 67.9 ft.lbs) @ 6200 RPM,3.40 seconds,9.20 seconds,10.1:1,76.0 x 58.0 mm (3.0 x 2.3 inches),7.10 litres/100 km (14.1 km/l or 33.13 mpg),164.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,125 mm (4.9 inches),88 mm (3.4 inches),120/70-ZR17 ,170/60-ZR17 ,250 mm (9.8 inches),245.0 kg (540.1 pounds),49.0,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 750 S,1999,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"Twin, four-stroke",82.0 HP (59.9  kW)),220.0 km/h (136.7 mph),Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,185.0 kg (407.9 pounds),0.4432 HP/kg,1375 mm (54.1 inches),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
