Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Seat height,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Color options,Starter,Engine details,Power,Torque,Driveline,Exhaust system,Frame type,Wheels,Dry weight,Power/weight ratio,Comments,Valves per cylinder,Clutch,Rake (fork angle),Trail,Front wheel travel,Rear wheel travel,Diameter,Reserve fuel capacity,Fuel consumption,Greenhouse gases,"Weight incl. oil, gas, etc",Ground clearance,Factory warranty,Top speed,Seat,Light,Emission details,Electrical,Oil capacity,Instruments,Alternate seat height,Carrying capacity,0-100 km/h (0-62 mph),Modifications compared to previous model,Spark plugs,Max RPM,Engine oil,Brake fluid,Coolant,Fork tube size,Idle speed,Tire pressure front,Tire pressure rear,Front percentage of weight,Chain links,Sprockets,Battery
Aprilia Tuono V4 R,2013,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",999.6 ccm (61.00 cubic inches),"V4, four-stroke",13.0:1,78.0 x 52.2 mm (3.1 x 2.1 inches),Injection. Four Weber-Marelli 48mm throttle bodies with four injectors. Airbox with front dynamic air intakes.,Double Overhead Cams/Twin Cam (DOHC),"Ride-by-wire engine management with three selectable maps – Track, Sport, Road",Wet sump lubrication system with oil radiator and two oil pumps,Oil & air,6-speed,Chain   (final drive),"Sachs, 43mm titanium nitride (TiN)  USD fork, fully adjustable for compression and rebound damping, and preload",Double braced aluminium swingarm; mixed low thickness and sheet casting technology. Sachs piggy back monoshock with completely adjustable: spring preload and hydraulic compression and rebound damping. APS progressive linkage.,120/70-17. ,190/55-17 ,Double disc. Floating stainless steel discs with lightweight stainless steel rotor with 6 studs,Single disc. Floating calliper with two  and #61638;32 mm isolated pistons,"840 mm (33.1 inches) If adjustable, lowest setting.",1100 mm (43.3 inches),2060 mm (81.1 inches),800 mm (31.5 inches),1440 mm (56.7 inches),17.00 litres (4.49 US gallons),"Black, White, Yellow",Electric,Longitudinal 65° V-4,165.0 HP (120.4  kW)) @ 11500 RPM,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs) @ 9500 RPM,"Straight cut gears and integrated flexible coupling, drive ratio: 73/44 primay drive. Chain 42/16  final drive.","4 into 2 into 1 layout, single oxygen sensor",Aluminium dual beam chassis with cast and pressed sheet elements. ,Cast aluminium wheels with 3 split spoke,183.0 kg (403.4 pounds),0.9014 HP/kg,,4,"Slipper clutch, Aprilia Quick Shift system",25.0°,108 mm (4.2 inches),120 mm (4.7 inches),130 mm (5.1 inches),220 mm (8.7 inches),4.00 litres (1.06 US gallons),,,,120 mm (4.7 inches),,,,,,Flywheel mounted 420W alternator with rare earth magnets,,,,,,,,,,,,,,,,,,,
Indian Chief Vintage,2013,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1720.8 ccm (105.00 cubic inches),"V2, four-stroke",9.0:1,100.7 x 108.0 mm (4.0 x 4.3 inches),Injection. Closed Loop Sequential Port Fuel Injection,,,,Air,6-speed,Belt   (final drive),Dia. 41 mm/Travel 4.25 in.,Single shock/Travel 2.90 in.,130/90-16 ,150/80-16 ,Double disc. Floating discs. Dual Caliper.,Single disc. Floating disc. Single caliper.,"692 mm (27.2 inches) If adjustable, lowest setting.",1518 mm (59.8 inches),2553 mm (100.5 inches),1029 mm (40.5 inches),1646 mm (64.8 inches),,"Indian Red, Willow Green/Ivory Cream, Indian Red/Ivory Cream",Electric,,,,,Two into one Stainless Steel,High tensile steel,Wire spoked. White Wall tires.,341.6 kg (753.0 pounds),,Windscreen,,,34.0°,150 mm (5.9 inches),,,,,,,,,2 years,,Solo Seat w/ Passenger Pillion;,"Tear drop head lamp, spot lights, fender light",,42 Amps charging,,Analog speedometer  and  multi-function digital display,,Leather Saddlebags,,,,,,,,,,,,,,,
Honda Monkey,2013,"Minibike, cross"," 3.2  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",10.0:1,39.0 x 41.1 mm (1.5 x 1.6 inches),Injection. PGM-FI,Overhead Cams (OHC),,,Air,4-speed,Chain   (final drive),Telescopic fork,Swing arm,3.50-8 ,3.50-8 ,Expanding brake (drum brake),Expanding brake (drum brake),"660 mm (26.0 inches) If adjustable, lowest setting.",850 mm (33.5 inches),1365 mm (53.7 inches),600 mm (23.6 inches),895 mm (35.2 inches),5.50 litres (1.45 US gallons),"Red/white, yellow/white, blue/white",Kick,,2.5 HP (1.8  kW)) @ 8500 RPM,3.4 Nm (0.3 kgf-m or 2.5 ft.lbs) @ 5000 RPM,Constant mesh,,,,,,Sold in Asia.,,"Wet, multiplate",25.0°,42 mm (1.7 inches),,,,,,,68.0 kg (149.9 pounds),145 mm (5.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,
Vespa LX 50 2T,2013,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,49.4 ccm (3.01 cubic inches),"Single cylinder, two-stroke",,39.1 x 41.4 mm (1.5 x 1.6 inches),Carburettor,Single Overhead Cams (SOHC),,"Wet sump,",Air,Automatic,Belt   (final drive),Single sided trailing link with hydraulic shock absorber,Hydraulic shock absorber,110/70-11 ,120/70-10 ,Single disc,Expanding brake (drum brake),,1140 mm (44.9 inches),1755 mm (69.1 inches),740 mm (29.1 inches),,,"Rosso Dragon, Nero Lucido, Blu Midnight, Celeste Glamour",Electric & kick,HI-PER 2 stroke,3.4 HP (2.4  kW)) @ 8500 RPM,3.3 Nm (0.3 kgf-m or 2.4 ft.lbs) @ 6500 RPM,,,Load-bearing steel chassis with welded structural supports,,,,,2,,,,,,110 mm (4.3 inches),,,,96.0 kg (211.6 pounds),,One year limited,62.8 km/h (39.0 mph),,,Euro 2,,,,,,,,,,,,,,,,,,,,
Honda CTX700N,2013,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,670.0 ccm (40.88 cubic inches),"Twin, four-stroke",10.7:1,73.0 x 80.0 mm (2.9 x 3.1 inches),Injection. PGM-FI Programmed Fuel Injection,,Digital transistorised with electronic advance,,Liquid,6-speed,Chain   (final drive),Telescopic fork,Pro-Link single shock,120/70-17 ,160/60-17 ,Single disc. Hydraulic,Single disc. Hydraulic,"720 mm (28.3 inches) If adjustable, lowest setting.",1155 mm (45.5 inches),2255 mm (88.8 inches),855 mm (33.7 inches),1530 mm (60.2 inches),12.40 litres (3.28 US gallons),"Red, black",Electric,,,,2255mm x 855mm x 1155mm,,,,,,,,,,114 mm (4.5 inches),107 mm (4.2 inches),110 mm (4.3 inches),,,,,,130 mm (5.1 inches),24 months,,,,,,,,,,,,,,,,,,,,,,,,
Vespa S 150 ie.,2013,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,150.0 ccm (9.15 cubic inches),"Single cylinder, four-stroke",,62.8 x 48.6 mm (2.5 x 1.9 inches),Injection,,,"Wet sump, chain-driven lobe pump",Air,Automatic,Belt   (final drive),Single sided trailing link with hydraulic shock absorber,Hydraulic shock absorber,110/70-11 ,120/70-10 ,Single disc,Expanding brake (drum brake),"785 mm (30.9 inches) If adjustable, lowest setting.",,1768 mm (69.6 inches),739 mm (29.1 inches),1278 mm (50.3 inches),8.71 litres (2.30 US gallons),"Dragon Red, Montebianco White",Electric,Leader engine,11.7 HP (8.5  kW)) @ 7750 RPM,11.5 Nm (1.2 kgf-m or 8.5 ft.lbs) @ 8400 RPM,CVT transformer with torque slave,,Load-bearing steel chassis,,110.0 kg (242.5 pounds),0.1060 HP/kg,,,Automatic dry centrifugal clutch with vibration dampers,,,,,110 mm (4.3 inches),,,,,,One year warranty limited,95.0 km/h (59.0 mph),,,EPA and CARB,,,,,,,,,,,,,,,,,,,,
Hyosung MS3-250,2013,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",12.0:1,73.0 x 59.6 mm (2.9 x 2.3 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),, Wet sump,Liquid,Automatic,Chain   (final drive),Telescopic fFork,Twin Shock Absorber,120/70-13 ,140/60-14 ,Double disc. 2 pistons caliper,Single disc. 2 pistons calipers,"749 mm (29.5 inches) If adjustable, lowest setting.",,,,1501 mm (59.1 inches),7.87 litres (2.08 US gallons),"Black, silver, blue",Electric,,25.0 HP (18.2  kW)) @ 8500 RPM,22.2 Nm (2.3 kgf-m or 16.4 ft.lbs) @ 6900 RPM,CVT,,,,154.7 kg (341.0 pounds),0.1616 HP/kg,Made in Korea.,4,Centrifugal automatic clutch,25.0°,,,,220 mm (8.7 inches),,,,,119 mm (4.7 inches),2 years,,,,,,,Analog and digital,,,,,,,,,,,,,,,,,
KTM 690 Duke R,2013,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",690.0 ccm (42.10 cubic inches),"Single cylinder, four-stroke",,102.0 x 84.5 mm (4.0 x 3.3 inches),Injection,,"Contactless, controlled, fully electronic ignition system with digital ignition timing adjustment",Semi-dry-sump lubrication with 2 rotor pumps,Liquid,6-speed,Chain   (final drive),WP,WP,,,Single disc. Bremo. Floating disc. Four-piston calipers. Radially mounted.  Bosch 9M+ ABS,Single disc. Bremo. Floating disc. Single-piston caliper.  Bosch 9M+ ABS,"835 mm (32.9 inches) If adjustable, lowest setting.",,,,1466 mm (57.7 inches),,White/orange,Electric,,67.1 HP (48.9  kW)),,,,"Tubular space frame made from chrome molybdenum steel, powder-coated",,149.0 kg (328.5 pounds),0.4500 HP/kg,,,,,,190 mm (7.5 inches),190 mm (7.5 inches),240 mm (9.4 inches),,,,,192 mm (7.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 1600 GTL,2013,Touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1649.0 ccm (100.62 cubic inches),"In-line six, four-stroke",12.2:1,72.0 x 67.5 mm (2.8 x 2.7 inches),"Injection. Electronic intake pipe injection, digital engine management (BMS-X)",Double Overhead Cams/Twin Cam (DOHC),,Dry sump,Liquid,6-speed,Shaft drive (cardan)   (final drive),BMW Motorrad Duolever,BMW Motorrad Paralever,120/70-17 ,190/55-17 ,Double disc. Four-piston calipers. ABS.,Single disc. Two-piston calipers. ABS.,"749 mm (29.5 inches) If adjustable, lowest setting.",1466 mm (57.7 inches),2487 mm (97.9 inches),1001 mm (39.4 inches),1679 mm (66.1 inches),26.50 litres (7.00 US gallons),"Blue, grey",Electric,,160.0 HP (116.8  kW)) @ 7750 RPM,129.0 Nm (13.2 kgf-m or 95.2 ft.lbs) @ 5250 RPM,Enclosed driveshaft,,"Bridge-type frame, cast aluminium, load-bearing engine",Cast aluminium wheels,321.1 kg (708.0 pounds),0.4982 HP/kg,,4,"Multi-plate clutch in oil bath, hydraulic activation",27.8°,109 mm (4.3 inches),124 mm (4.9 inches),135 mm (5.3 inches),320 mm (12.6 inches),3.79 litres (1.00 US gallons),4.52 litres/100 km (22.1 km/l or 52.04 mpg),104.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,348.4 kg (768.0 pounds),,,201.2 km/h (125.0 mph),,,"Closed-loop 3-way catalytic converter, emission standard EU-3","12 V / 19 Ah, maintenance-free battery.",,,,Saddle bags. Topbox.,,,,,,,,,,,,,,,
Harley-Davidson 1200 Custom 110th Anniversary,2013,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1201.3 ccm (73.30 cubic inches),"V2, four-stroke",9.7:1,88.9 x 96.8 mm (3.5 x 3.8 inches),Injection. Electronic Sequential Port Fuel Injection,,,Dry-sump,Air,6-speed,Belt   (final drive),,,130/90-B16 ,150/80-B16 ,Single disc. Dual piston,Single disc. Single piston,"676 mm (26.6 inches) If adjustable, lowest setting.",,2220 mm (87.4 inches),,1521 mm (59.9 inches),17.03 litres (4.50 US gallons),Anniversary Vintage Bronze/Anniversary Vintage Black,Electric,"Air-cooled, Evolution®",,107.1 Nm (10.9 kgf-m or 79.0 ft.lbs) @ 3250 RPM,"Chain, 57/38 ratio primary drive","Chrome, staggered exhaust with slash-cut mufflers",,"Chrome, 5-Spoke Cast Aluminum",250.8 kg (553.0 pounds),,Special Edition celebrating HD´s 110th Anniversary.,,Multi-plate with diaphragm spring in oil bath,29.9°,107 mm (4.2 inches),,,,,4.90 litres/100 km (20.4 km/l or 48.00 mpg),113.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,259.9 kg (573.0 pounds),112 mm (4.4 inches),,,,"High beam, neutral, low oil pressure, turn signals, engine diagnostics, low fuel warning, low battery, security system (optional)",,,2.60 litres (2.75 US quarts),"Handlebar-mounted electronic speedometer with odometer, time-of-day clock on odometer, dual tripmeter, low fuel warning light, low oil pressure light, engine diagnostics readout, LED indicator lights",,,,,,,,,,,,,,,,,
KTM 990 Super Duke R,2013,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",999.0 ccm (60.96 cubic inches),"V2, four-stroke",,101.0 x 62.4 mm (4.0 x 2.5 inches),Injection,,"Contactless, controlled, fully electronic ignition system with digital ignition timing adjustment",Dry-sump lubrication with 2 rotor pumps,Liquid,6-speed,Chain   (final drive),WP  Suspension Up Side Down 4860 ROMA PA,WP  Suspension 4618 BAVP DCC,,,Double disc. Floating disc. Four-piston calipers. Radially mounted. ,Single disc. Two-piston calipers. ,"850 mm (33.5 inches) If adjustable, lowest setting.",,,,1450 mm (57.1 inches),18.50 litres (4.89 US gallons),"Black, white",Electric,,123.4 HP (90.1  kW)),,5/8  x  5/16  X Ring. Primary drive: 35:67.,,"Tubular space frame made from chrome molybdenum steel, powder-coated",,186.0 kg (410.1 pounds),0.6633 HP/kg,,,Wet multi-disc clutch / hydraulically operated,22.7°,,190 mm (7.5 inches),190 mm (7.5 inches),240 mm (9.4 inches),,,,,150 mm (5.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,
Longjia Versus 50 2T,2013,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.5 ccm (3.02 cubic inches),"Single cylinder, two-stroke",,,,,CDI,,Air,Automatic,Belt   (final drive),Telecsopic fork,Swing arm,120/70-12 ,130/70-12 ,Single disc,Expanding brake (drum brake). Optional disc,,1165 mm (45.9 inches),1830 mm (72.0 inches),705 mm (27.8 inches),1290 mm (50.8 inches),4.70 litres (1.24 US gallons),Grey,Electric & kick,,3.8 HP (2.7  kW)) @ 7500 RPM,,V-Belt,,Steel,,87.0 kg (191.8 pounds),0.0431 HP/kg,Chinese scooter.,,,,,,,,,,,,,,45.0 km/h (28.0 mph),,Dual headlights,,12V4AH battery.,,,,,,,,,,,,,,,,,,,
Znen LBKA,2013,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,,Injection,,,,Air,5-speed,Chain   (final drive),,,2.75-18 ,3.25-18 ,Single disc,Expanding brake (drum brake),,1135 mm (44.7 inches),2060 mm (81.1 inches),745 mm (29.3 inches),,20.00 litres (5.28 US gallons),Black/red,Electric & kick,,10.7 HP (7.8  kW)) @ 8500 RPM,8.5 Nm (0.9 kgf-m or 6.3 ft.lbs) @ 7500 RPM,,,Steel,,130.0 kg (286.6 pounds),0.0825 HP/kg,Model id: ZN125-5-F6. Brand sometimes called ZN-Motor. Made in China. ,,,,,,,,,,,,,,90.0 km/h (55.9 mph),Dual seat,,,,,Analogue,,,,,,,,,,,,,,,,,
Suzuki DR-Z125L,2013,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",9.5:1,56.9 x 48.5 mm (2.2 x 1.9 inches),Carburettor. MIKUNI VM20SS,,Electronic ignition,Wet sump,Air,5-speed,,"Telescopic, coil spring, oil damped","Link type, coil spring, oil damped","70/100-M,19 ","90/100-M,16 ",Single disc,Expanding brake (drum brake),"805 mm (31.7 inches) If adjustable, lowest setting.",1110 mm (43.7 inches),1885 mm (74.2 inches),770 mm (30.3 inches),1270 mm (50.0 inches),4.16 litres (1.10 US gallons),Champion Yellow/Solid Black,Kick,,,,"DID 428HG, 130 links",,,,,,,,,,,,,,,,,89.0 kg (196.2 pounds),260 mm (10.2 inches),1 year unlimited mileage limited warranty.,,,,,,,,,,,,,,,,,,,,,,,,
CCM Spider RL-125,2013,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",9.0:1,56.5 x 49.5 mm (2.2 x 1.9 inches),Carburettor,Overhead Cams (OHC),C.D.I.,Wet Sump,Air,,Chain   (final drive),Conventional fork,Dual shock,2.50-21 ,3.00-18 ,Single disc,Single disc,"810 mm (31.9 inches) If adjustable, lowest setting.",,,,1390 mm (54.7 inches),12.00 litres (3.17 US gallons),"Black, red",Electric,,10.1 HP (7.3  kW)) @ 8500 RPM,,,,Steel Tubular.,Black 10-spoked front and rear wheel. Dunlop/CTS tyres.,125.0 kg (275.6 pounds),0.0805 HP/kg,"CCM is an abbreviation of Clews Competition Motorcycles,a British motorcycle manufacturer founded when BSA´s Competition Department collapsed in 1971.",,,,,,,,,,,,220 mm (8.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,
Zontes Tiger 125,2013,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,,Carburettor,,,,Air,5-speed,,Telescopic,Twin Shock,3.00-18 ,110/90-16 ,Single disc,Expanding brake (drum brake),"755 mm (29.7 inches) If adjustable, lowest setting.",1120 mm (44.1 inches),1900 mm (74.8 inches),810 mm (31.9 inches),1320 mm (52.0 inches),15.00 litres (3.96 US gallons),"Black, Silver, Burgundy ",,,11.7 HP (8.5  kW)) @ 8000 RPM,,,,Steel,"Black rims, three spoke",105.0 kg (231.5 pounds),0.1111 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mondial MG Superboy,2013,Allround," 2.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",97.0 ccm (5.92 cubic inches),"Single cylinder, four-stroke",9.8:1,50.0 x 49.5 mm (2.0 x 1.9 inches),Carburettor,,Electronic CDI,Oil Pump,Air,5-speed,Chain   (final drive),Telescopic fork,Dual shocks,2.50-18 ,3.00-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,1020 mm (40.2 inches),1930 mm (76.0 inches),760 mm (29.9 inches),1245 mm (49.0 inches),12.00 litres (3.17 US gallons),"Black, white",Electric & kick,,9.1 HP (6.7  kW)) @ 8500 RPM,8.0 Nm (0.8 kgf-m or 5.9 ft.lbs) @ 8000 RPM,,,,,97.0 kg (213.8 pounds),0.0940 HP/kg,,,Wet Type / Multi-Plate,,,,,,,,,109.0 kg (240.3 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Mola 125,2013,Allround," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",124.5 ccm (7.60 cubic inches),"Single cylinder, four-stroke",,57.0 x 48.8 mm (2.2 x 1.9 inches),Carburettor. Mikuni BS 26SS,Single Overhead Cams (SOHC),,Wet sump,Air,5-speed,Chain   (final drive),Telescopic fork,Swing arm,2.75-18 ,3.00-18 ,Expanding brake (drum brake),Expanding brake (drum brake),"760 mm (29.9 inches) If adjustable, lowest setting.",1165 mm (45.9 inches),2005 mm (78.9 inches),765 mm (30.1 inches),,13.50 litres (3.57 US gallons),"Black, red",Kick,,,,Constant mesh,,Steel,,115.0 kg (253.5 pounds),,Sold in the Philippines.,,,,,,,,,,,,160 mm (6.3 inches),,,,,,12V 4Ah battery,1.00 litres (1.06 US quarts),,,,,,,,,,,,,,,,,,
Suzuki GSX650F,2013,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",656.0 ccm (40.03 cubic inches),"In-line four, four-stroke",11.5:1,65.5 x 48.7 mm (2.6 x 1.9 inches),Injection. Fuel-injection,Double Overhead Cams/Twin Cam (DOHC),Electronic ignition,Wet sump,Liquid,6-speed,Chain   (final drive),"Telescopic, coil spring, oil damped","Link type, coil spring, oil damped",120/70-ZR17 ,160/60-ZR17 ,Double disc,Single disc,"790 mm (31.1 inches) If adjustable, lowest setting.",1235 mm (48.6 inches),2130 mm (83.9 inches),760 mm (29.9 inches),1470 mm (57.9 inches),19.00 litres (5.02 US gallons),"Metallic Triton Blue/Glass Splash White
",,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rieju Tango Police,2013,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, four-stroke",,65.5 x 66.2 mm (2.6 x 2.6 inches),Carburettor. Dell´Orto,Single Overhead Cams (SOHC),,Wet sump,Air,5-speed,Chain   (final drive),Paioli fork of Ø37mm.,Mono-shock shock absorber,90/110-19 ,120/90-16 ,Double disc. Double piston caliper. Radial.,Single disc,"840 mm (33.1 inches) If adjustable, lowest setting.",1130 mm (44.5 inches),1990 mm (78.3 inches),800 mm (31.5 inches),1305 mm (51.4 inches),6.30 litres (1.66 US gallons),,Electric & kick,,,,,Silencer with protector. ,Highly resistant steel perimeter. Detachable sub-chassis,Optional 17 inch wheels.,114.0 kg (251.3 pounds),,,,,,,,,200 mm (7.9 inches),,,,,,,,,,,12 Volt battery,,Multifunction Digital Instrumentation.,,,,,,,,,,,,,,,,,
Kawasaki KX 85,2013,Cross / motocross," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",84.0 ccm (5.13 cubic inches),"Single cylinder, two-stroke",10.0:1,48.5 x 45.8 mm (1.9 x 1.8 inches),Carburettor. Keihin PWK28,,Digital CDI,,Liquid,6-speed,Chain   (final drive),36mm inverted telescopic cartridge fork with 18-way compression damping / 10.8 in.,"Uni-Trak  single-shock system with 4-way compression and 16-way rebound damping, plus adjustable spring preload / 10.8 in.",70/100-17 ,90/100-14 ,Single disc,Single disc,"841 mm (33.1 inches) If adjustable, lowest setting.",1054 mm (41.5 inches),1821 mm (71.7 inches),734 mm (28.9 inches),1255 mm (49.4 inches),5.68 litres (1.50 US gallons),Lime Green,,,,,,,High-tensile steel perimeter design with subframe member,,,,,,,27.0°,89 mm (3.5 inches),,,,,,,69.0 kg (152.1 pounds),340 mm (13.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,
KTM 1190 RC8 R Track,2013,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1195.0 ccm (72.92 cubic inches),"V2, four-stroke",,105.0 x 69.0 mm (4.1 x 2.7 inches),Injection,,"Contactless, controlled, fully electronic ignition system with digital ignition timing adjustment",Dry-sump lubrication with 3 rotor pumps,Liquid,6-speed,Chain   (final drive),WP  Suspension Up Side Down 4354,WP  Suspension  4618 DACC,,,Double disc. Floating disc. Four-piston calipers. Radially mounted. ,Single disc. Two-piston calipers. ,"845 mm (33.3 inches) If adjustable, lowest setting.",,,,1425 mm (56.1 inches),16.50 litres (4.36 US gallons),White/orange,Electric,75° V arrangement,177.0 HP (129.2  kW)),,5/8  x  1/4  (520) X Ring. Primary drive: 40:76.,,"Tubular space frame made from chrome molybdenum steel, powder-coated",,173.0 kg (381.4 pounds),1.0232 HP/kg,Limited edition,,Wet multi-disc clutch / hydraulically operated,23.3°,,120 mm (4.7 inches),120 mm (4.7 inches),220 mm (8.7 inches),,,,,110 mm (4.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Sportster Seventy-Two Dark Custom,2013,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1201.3 ccm (73.30 cubic inches),"V2, four-stroke",9.7:1,88.9 x 96.8 mm (3.5 x 3.8 inches),Injection. Electronic Sequential Port Fuel Injection,,,,Air,6-speed,Belt   (final drive),,,MH90-21 ,150/80-B16 ,Single disc. Dual-piston,Single disc. Single-piston,"676 mm (26.6 inches) If adjustable, lowest setting.",,2271 mm (89.4 inches),,1524 mm (60.0 inches),7.95 litres (2.10 US gallons),Black Denim.,,,,99.0 Nm (10.1 kgf-m or 73.0 ft.lbs) @ 3500 RPM,"Chain, 57/38 Ratio","Chrome, staggered exhaust with slash-cut mufflers",,"Black, Laced Steel",247.2 kg (545.0 pounds),,,,Multi-plate with diaphragm spring in oil bath,30.1°,135 mm (5.3 inches),,,260 mm (10.2 inches),,4.90 litres/100 km (20.4 km/l or 48.00 mpg),113.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,251.7 kg (555.0 pounds),119 mm (4.7 inches),,,,"High beam, neutral, low oil pressure, turn signals, engine diagnostics, low fuel warning, low battery, security system (optional)",,,2.60 litres (2.75 US quarts),"Handlebar-mounted electronic speedometer with odometer, time-of-day clock, dual tripmeter, low fuel warning light, low oil pressure light, engine diagnostics readout, LED indicator lights",,,,,,,,,,,,,,,,,
CPI Bravo 50,2013,Scooter," 2.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.2 ccm (3.00 cubic inches),"Single cylinder, two-stroke",,,Carburettor,,C.D.I,,,Automatic,Belt   (final drive),,,2.50-10 ,2.50-10 ,Single disc,Single disc,,1110 mm (43.7 inches),1760 mm (69.3 inches),650 mm (25.6 inches),1240 mm (48.8 inches),6.00 litres (1.59 US gallons),,Electric & kick,,4.3 HP (3.1  kW)) @ 7000 RPM,4.2 Nm (0.4 kgf-m or 3.1 ft.lbs) @ 5500 RPM,,,,,60.0 kg (132.3 pounds),0.0715 HP/kg,Made in Taiwan.,,,,,,,,,,,,,,51.0 km/h (31.7 mph),,,,,,,,,,,,,,,,,,,,,,,
Mondial 125 MG Sport,2013,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",9.0:1,56.5 x 49.5 mm (2.2 x 1.9 inches),Carburettor,,CDI,Oil Pump,Air,5-speed,Chain   (final drive),Hydraulic Front Fork,Hydraulic Double Shock Absorber,2.50-18 ,3.00-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,1020 mm (40.2 inches),1930 mm (76.0 inches),760 mm (29.9 inches),1245 mm (49.0 inches),10.00 litres (2.64 US gallons),Red,Electric & kick,,10.7 HP (7.8  kW)) @ 8500 RPM,9.2 Nm (0.9 kgf-m or 6.8 ft.lbs) @ 7500 RPM,,,Steel,,97.0 kg (213.8 pounds),0.1106 HP/kg,,,Wet Type / Multi-Plate,,,,,,,,,,,,,,,,12V 6.5Ah battery.,,Analogue,,,,,,,,,,,,,,,,,
