Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Compression,Bore x stroke,Cooling system,Gearbox,Transmission type,Frame type,Front suspension,Rear suspension,Front brakes,Diameter,Rear brakes,Wheels,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Comments,Fuel system,Lubrication system,Front tire,Rear tire,Dry weight,Engine details,Valves per cylinder,Fuel control,Ignition,Clutch,Driveline,Fuel consumption,Greenhouse gases,Emission details,Exhaust system,Rake (fork angle),Trail,Front wheel travel,Rear wheel travel,Seat,Power/weight ratio,Alternate seat height,Instruments,Factory warranty,Electrical,Light,Carrying capacity,Reserve fuel capacity,Oil capacity,Top speed,0-100 km/h (0-62 mph),Max RPM,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,1/4 mile (0.4 km),Modifications compared to previous model,Belt teeth,Belt width,Pulley teeth
Ducati SuperSport,2018,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",937.0 ccm (57.18 cubic inches),"V2, four-stroke",110.0 HP (80.3  kW)) @ 9000 RPM,93.0 Nm (9.5 kgf-m or 68.6 ft.lbs) @ 6500 RPM,12.6:1,94.0 x 67.5 mm (3.7 x 2.7 inches),Liquid,6-speed,Chain   (final drive),Tubular steel Trellis frame attached to the chylinders head,Fully adjustable 43 mm usd Marzocchi fork,Progressive linkage with adjustable Sachs monoshock. Aluminium single-sided swingarm,Double disc. ABS. Floating discs. Four-piston calipers. Radially mounted. ,245 mm (9.6 inches),Single disc. ABS. Two-piston calipers. ,,210.0 kg (463.0 pounds),"810 mm (31.9 inches) If adjustable, lowest setting.",1320 mm (52.0 inches),2095 mm (82.5 inches),860 mm (33.9 inches),,1478 mm (58.2 inches),16.00 litres (4.23 US gallons),Red,Electric,,"Injection. Electronic fuel injection system, 53 mm throttle bodies with full Ride-by-Wire",,120/70-17 ,180/55-17 ,183.0 kg (403.4 pounds),Testastretta 11° L-Twin,4,Desmodromic valve control,,"Wet multiplate clutch mechanically operated, self-servo action on drive, slipper action on over-run",Chain; Front sprocket 15; Rear sprocket 43. Primary drive: Straight cut gears; Ratio 1.84.,,,,Lightweight 2-1-2 system with catalytic converter and two lambda probes. Twin aluminium mufflers,24.0°,91 mm (3.6 inches),130 mm (5.1 inches),130 mm (5.1 inches),,0.6011 HP/kg,,LCD display,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR1000RR Fireblade,2018,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",999.0 ccm (60.96 cubic inches),"In-line four, four-stroke",189.1 HP (138.0  kW)) @ 13000 RPM,114.0 Nm (11.6 kgf-m or 84.1 ft.lbs) @ 11000 RPM,12.3:1,76.0 x 55.1 mm (3.0 x 2.2 inches),Liquid,6-speed,Chain   (final drive),Diamond; aluminium composite twin spar,"Telescopic inverted fork with an inner tube diameter of 43 mm, and a Big Piston Front Fork with preload, compression and rebound adjustment",Unit Pro-Link with gas-charged HMAS damper featuring 10-step preload and stepless compression and rebound damping adjustment,Double disc. Floating discs. Four-piston calipers. Radially mounted. ,220 mm (8.7 inches),Single disc. Single-piston caliper. ,12-spoke cast aluminium,196.0 kg (432.1 pounds),"832 mm (32.8 inches) If adjustable, lowest setting.",1125 mm (44.3 inches),2065 mm (81.3 inches),720 mm (28.3 inches),,1405 mm (55.3 inches),16.00 litres (4.23 US gallons),"Red, black",Electric,,"Injection. Programmed Dual Stage Fuel Injection (PGM-DSFI) with 46mm throttle bodies, Denso 12-hole injectors",,120/70-ZR17 ,190/50-ZR17 ,,,4,Double Overhead Cams/Twin Cam (DOHC),Computer-controlled digital transistorized with 3-D mapping,"Wet, multiplate with diaphragm spring with assist slipper",#530 O-ring-sealed chain,5.74 litres/100 km (17.4 km/l or 40.98 mpg),133.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,23.0°,96 mm (3.8 inches),120 mm (4.7 inches),62 mm (2.4 inches),,,,"Full-screen LCD instrumentation includes a lap timer, trip and fuel-consumption computer, five-level customizable shift indicator, gear-position indicator, and peak-rpm memory function.",,12V-7AH Li-ion battery,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Scrambler Classic,2018,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",803.0 ccm (49.00 cubic inches),"V2, four-stroke",73.0 HP (53.3  kW)) @ 8250 RPM,67.0 Nm (6.8 kgf-m or 49.4 ft.lbs) @ 5750 RPM,11.0:1,88.0 x 66.0 mm (3.5 x 2.6 inches),Air,6-speed,Chain   (final drive),Tubular steel Trellis frame,Upside down Kayaba 41 mm fork,"Kayaba rear shock, pre-load and rebound adjustable. Aluminium double-sided swingarm",Single disc. ABS. Four-piston calipers. ,245 mm (9.6 inches),Single disc. ABS. Floating disc. Single-piston caliper. ,Spoked aluminium wheels,192.5 kg (424.4 pounds),"790 mm (31.1 inches) If adjustable, lowest setting.",1150 mm (45.3 inches),2165 mm (85.2 inches),845 mm (33.3 inches),,1445 mm (56.9 inches),13.50 litres (3.57 US gallons),"Yellow, white",Electric,,"Injection. Electronic fuel injection, 50 mm throttle body",,110/80-18 ,180/55-17 ,176.5 kg (389.1 pounds),,,,,Wet multiplate clutch with mechanical control,,5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4,"Exhaust system with single stainless steel muffler, aluminium silencer cover, catalytic converter and 2 lambda probes",24.0°,112 mm (4.4 inches),150 mm (5.9 inches),150 mm (5.9 inches),,0.4136 HP/kg,,,24 months,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Vision 110                                             ,2018,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",108.0 ccm (6.59 cubic inches),"Single cylinder, four-stroke",8.7 HP (6.4  kW)) @ 7500 RPM,9.0 Nm (0.9 kgf-m or 6.6 ft.lbs) @ 5500 RPM,9.5:1,50.0 x 55.1 mm (2.0 x 2.2 inches),Air,Automatic,Belt   (final drive),"Underbone, steel tube",Telescopic forks with hydraulic damping,Unit swingarm,Single disc. Hydraulic. ,130 mm (5.1 inches),Expanding brake (drum brake),5-spoke cast aluminium,102.0 kg (224.9 pounds),"770 mm (30.3 inches) If adjustable, lowest setting.",1115 mm (43.9 inches),1925 mm (75.8 inches),686 mm (27.0 inches),120 mm (4.7 inches),1290 mm (50.8 inches),5.50 litres (1.45 US gallons),"Red, grey, white, black",Electric,,Injection. PGM-FI electronic fuel injection,,80/90-16 ,90/90-14 ,,,,Overhead Cams (OHC),Full-transistor battery ignition,Automatic Centrifugal Clutch Dry Type,V-Belt,1.60 litres/100 km (62.5 km/l or 147.01 mpg),37.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,27.0°,70 mm (2.8 inches),70 mm (2.8 inches),80 mm (3.1 inches),2-person seat,,,,,12V-6Ah battery.,,,,0.80 litres (0.85 US quarts),,,,,,,,,,,,,,,,,,,,,
Harley-Davidson 115th Anniversary CVO Limited,2018,Touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1923.0 ccm (117.34 cubic inches),"V2, four-stroke",105.0 HP (76.6  kW)) @ 5250 RPM,167.0 Nm (17.0 kgf-m or 123.2 ft.lbs) @ 3500 RPM,10.2:1,103.5 x 114.3 mm (4.1 x 4.5 inches),Oil & air,6-speed,Belt   (final drive),,Telescopic fork,Twin shocks,"Double disc. ABS, 4-piston",,"Single disc. ABS, 4-piston",Gloss Black und Contrast Chrome Slicer,428.0 kg (943.6 pounds),"720 mm (28.3 inches) If adjustable, lowest setting.",,2600 mm (102.4 inches),,125 mm (4.9 inches),1625 mm (64.0 inches),22.71 litres (6.00 US gallons),Blue,Electric,Windshield. Cruise control. Alarm. Infotainment.,Injection. Electronic Sequential Port Fuel Injection,Dry sump,130/80-B17 ,180/65-B16 ,411.0 kg (906.1 pounds),Twin-Cooled™ Milwaukee-Eight® 117 ,,,,Multi-plate with diaphragm spring in oil bath,"Chain, 34/46 ratio primary drive",6.30 litres/100 km (15.9 km/l or 37.34 mpg),146.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,"Dual, with crossover",26.0°,170 mm (6.7 inches),,,,0.2555 HP/kg,,,,,"High beam, running lights, front fender running lights, directional light bar, low oil pressure, engine diagnostics, cruise control, speakers, accessory, security system, 6-speed, low fuel warning, ABS","Saddle bags, top box",,4.70 litres (4.97 US quarts),,,,,,,,,,,,,,,,,,,,,
AJP PR3 Supermoto 125,2018,Super motard,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",12.6 HP (9.2  kW)) @ 8500 RPM,8.5 Nm (0.9 kgf-m or 6.3 ft.lbs) @ 8000 RPM,,56.5 x 49.5 mm (2.2 x 1.9 inches),Air,5-speed,Chain   (final drive),Composite aluminum/steel,"AJP, fully adjustable",Ollé progressive system,Single disc. 2-piston caliper,220 mm (8.7 inches),Single disc. Single-piston caliper,"Black rims, wire spoked",,"810 mm (31.9 inches) If adjustable, lowest setting.",,,,305 mm (12.0 inches),1320 mm (52.0 inches),7.00 litres (1.85 US gallons),White/red/grey,Electric,Portuguese brand.,Carburettor. 30 mm,,100/80-17 ,130/70-17 ,104.0 kg (229.3 pounds),,2,Overhead Cams (OHC),,"Oil bath, multidisc",,,,,,,,240 mm (9.4 inches),280 mm (11.0 inches),,0.1212 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Street 500 Dark Custom,2018,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,491.6 ccm (30.00 cubic inches),"V2, four-stroke",,40.0 Nm (4.1 kgf-m or 29.5 ft.lbs) @ 3500 RPM,11.0:1,69.1 x 66.0 mm (2.7 x 2.6 inches),Liquid,6-speed,Belt   (final drive),,Telescopic fork,Dual shocks,"Single disc. Twin piston, floating caliper, optional ABS",,"Single disc. Twin piston, floating caliper,  optional ABS",Black 7-spoke cast aluminum,222.0 kg (489.4 pounds),"653 mm (25.7 inches) If adjustable, lowest setting.",,2225 mm (87.6 inches),,145 mm (5.7 inches),1534 mm (60.4 inches),13.25 litres (3.50 US gallons),"Vivid Black, Black Denim, Superior Blue, Velocity Red Sunglo",Electric,,"Injection. Mikuni Single Port Fuel Injection, 35 mm bore.",,100/80-R17 ,140/75-R15 ,206.4 kg (455.0 pounds),"Liquid-cooled, Revolution X™ V-Twin",4,Single Overhead Cams (SOHC),,Multi-plate with diaphragm spring in oil bath,"Gear, 36/68 ratio primary drive",3.68 litres/100 km (27.2 km/l or 63.92 mpg),85.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Black Two-into-one,32.0°,114 mm (4.5 inches),,,Two-up seat,,,,,,"High beam, neutral, low oil pressure, turn signals, engine diagnostics, low fuel warning",,,3.10 litres (3.28 US quarts),,4.60 seconds,,,,,,,,,,,,,,,,,,,
Horex VR6 Classic,2018,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1218.0 ccm (74.32 cubic inches),"V6, four-stroke",163.0 HP (119.0  kW)),138.0 Nm (14.1 kgf-m or 101.8 ft.lbs),12.5:1,68.0 x 55.0 mm (2.7 x 2.2 inches),Liquid,6-speed,Chain   (final drive),Aluminum bridge frame with steel steering head,"Öhlins upside-down fork (Ø 43 mm) with adjustable spring preload, compression and rebound damping","Öhlins TTX36 GP suspension struts with adjustable spring base, rebound and compression damping and built-in hydraulic spring preload adjustment",Double disc. Bosch ABS. Brembo radial 4-piston calipers.,264 mm (10.4 inches),Single disc. Bosch ABS. Brembo 2-piston caliper,Alluminium spoke wheels,,"780 mm (30.7 inches) If adjustable, lowest setting.",,,,,1475 mm (58.1 inches),17.00 litres (4.49 US gallons),"Red, black",Electric,German brand. ,Turbo,,120/70-ZR17 ,190/55-ZR17 ,224.0 kg (493.8 pounds),VR6 with only 15 degree V-angle mirrored cylinder offset. Triple overhead cam.,3,,,"Multi-disc oil bath clutch, operated hydraulically. 1:2.47 ratio.",Chain with permanent solid lubrication,,,,Performance stainless steel exhaust system with CAT box centre silencer unit and two stainless steel rear silencers,24.0°,95 mm (3.7 inches),120 mm (4.7 inches),120 mm (4.7 inches),"Two-person seat, genuine leather",0.7277 HP/kg,"840 mm (33.1 inches) If adjustable, highest setting.",,,Lithium-ion battery,"LED front headlamp, tail lights and indicators",,4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-S750 Zero by Officine Design,2018,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",106.0 HP (77.4  kW)) @ 10000 RPM,80.0 Nm (8.2 kgf-m or 59.0 ft.lbs) @ 9000 RPM,12.3:1,72.0 x 46.0 mm (2.8 x 1.8 inches),Liquid,6-speed,Chain   (final drive),Twin-spar aluminum cradle,"KYB inverted Telescopic, coil spring, oil damped","Link type, coil spring, oil damped","Double disc. Nissin, 4-piston",220 mm (8.7 inches),"Single disc. Nissin, 1-piston",OZ Gass Titano rims. Michelin Power RS rubber.,212.0 kg (467.4 pounds),"820 mm (32.3 inches) If adjustable, lowest setting.",,2125 mm (83.7 inches),785 mm (30.9 inches),145 mm (5.7 inches),1450 mm (57.1 inches),16.00 litres (4.23 US gallons),Blue/aluminium,Electric,,Injection,Wet sump,120/70-17 ,180/55-17 ,,,4,Double Overhead Cams/Twin Cam (DOHC),Transistorized digital ignition system,,,,,,Titanium exhaust from SC Project,,,120 mm (4.7 inches),130 mm (5.1 inches),,,,Digital,12 month unlimited mileage limited warranty.,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli Tornado Naked T,2018,"Minibike, sport",Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.8 ccm (7.62 cubic inches),"Single cylinder, four-stroke",11.1 HP (8.1  kW)) @ 9000 RPM,10.0 Nm (1.0 kgf-m or 7.4 ft.lbs) @ 7000 RPM,9.8:1,54.0 x 54.5 mm (2.1 x 2.1 inches),Air,5-speed,Chain   (final drive),Trestle in steel tubes,"Upside-down forks, 35mm",Rear swing arm with lateral shock absorber with spring pre-load adjustment,Single disc. 2-piston caliper,190 mm (7.5 inches),Single disc,Aluminum alloy,,"790 mm (31.1 inches) If adjustable, lowest setting.",1080 mm (42.5 inches),1770 mm (69.7 inches),780 mm (30.7 inches),160 mm (6.3 inches),1250 mm (49.2 inches),7.20 litres (1.90 US gallons),Red/black,Electric,,Injection,Wet sump,120/70-ZR12 ,130/70-ZR12 ,116.0 kg (255.7 pounds),,4,Single Overhead Cams (SOHC),Athena ,Wet clutch,,,,Euro 4,With catalytic converter and oxygen sensors,,,120 mm (4.7 inches),,,0.0957 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Tiger 800 XCX,2018,Super motard," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",799.0 ccm (48.75 cubic inches),"In-line three, four-stroke",95.0 HP (69.3  kW)) @ 9300 RPM,79.0 Nm (8.1 kgf-m or 58.3 ft.lbs) @ 7850 RPM,11.3:1,74.0 x 61.9 mm (2.9 x 2.4 inches),Liquid,6-speed,Chain   (final drive),"Tubular steel trellis. Twin-­sided, cast aluminium alloy swingarm.","WP 43 mm upside down forks, adjustable rebound and compression damping","WP monoshock with remote oil reservoir, hydraulically adjustable preload, rebound damping adjustment","Double disc. Floating discs, Brembo 2-piston sliding calipers, Switchable ABS. ",255 mm (10.0 inches),"Single disc. Nissin single piston sliding caliper, Switchable ABS.","Wire spoked, aluminium rim",,"840 mm (33.1 inches) If adjustable, lowest setting.",1390 mm (54.7 inches),2215 mm (87.2 inches),865 mm (34.1 inches),,1545 mm (60.8 inches),19.00 litres (5.02 US gallons),"Jet Black, Crystal White, Lucerne Blue, Matt Khaki Green",Electric,Windscreen. Traction control. Cruise control. Available in a low seat version.,Injection. Multipoint sequential electronic fuel injection,,90/90-21 ,150/70-R17 ,205.0 kg (451.9 pounds),,4,Double Overhead Cams/Twin Cam (DOHC),,Wet. multi-plate,O ring chain,5.74 litres/100 km (17.4 km/l or 40.98 mpg),133.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Stainless steel 3 into 1. high level stainless steel silencer,24.3°,95 mm (3.8 inches),220 mm (8.7 inches),215 mm (8.5 inches),,0.4634 HP/kg,"860 mm (33.9 inches) If adjustable, highest setting.","LCD multi-functional instrument pack with digital speedometer, trip computer, analogue tachometer, gear position indicator, fuel gauge, service indicator, switchable ABS and clock",24 months unlimited milage,,,,,3.70 litres (3.91 US quarts),,,,,,,,,,,,,,,,,,,,,
Yamaha Saluto,2018,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",8.2 HP (6.0  kW)) @ 7000 RPM,10.1 Nm (1.0 kgf-m or 7.4 ft.lbs),10.0:1,52.4 x 57.9 mm (2.1 x 2.3 inches),Air,4-speed,Chain   (final drive),,Telescopic fork,Swingarm,Expanding brake (drum brake),,Expanding brake (drum brake),,,"805 mm (31.7 inches) If adjustable, lowest setting.",,2035 mm (80.1 inches),,180 mm (7.1 inches),1265 mm (49.8 inches),7.60 litres (2.01 US gallons),"Blue, black, dark green, green",Electric & kick,,Carburettor,Wet Sump,80/100-18 ,80/100-18 ,112.0 kg (246.9 pounds),,2,Single Overhead Cams (SOHC),CDI (capacitor discharge ignition),"Wet, multiple-disc",,,,,,26.0°,91 mm (3.6 inches),,,,0.0730 HP/kg,,,,,Halogen,,,,,,,,,,,,,,,,,,,,,,,,
Ducati XDiavel,2018,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1262.0 ccm (77.01 cubic inches),"V2, four-stroke",152.0 HP (110.9  kW)) @ 9500 RPM,126.0 Nm (12.8 kgf-m or 92.9 ft.lbs) @ 5000 RPM,13.0:1,106.0 x 71.5 mm (4.2 x 2.8 inches),Liquid,6-speed,Belt   (final drive),Tubular steel trellis,Adjustable usd forks,"Single shock absorber, Adjustable preload and rebound",Double disc. ABS. Floating discs. Four-piston calipers. Radially mounted. ,265 mm (10.4 inches),Single disc. ABS. Floating disc. Two-piston calipers. ,"Light alloy, Cast",247.0 kg (544.5 pounds),"755 mm (29.7 inches) If adjustable, lowest setting.",,2235 mm (88.0 inches),,,1615 mm (63.6 inches),17.00 litres (4.49 US gallons),Black,Electric,,Injection. Bosch fuel injection system. Full ride-by-wire system.,,120/70-ZR17 ,240/45-ZR17 ,220.0 kg (485.0 pounds),Ducati Testastretta DVT (Desmodromic Variable Timing) engine,4,Desmodromic valve control,Dual spark,Slipper and self-servo wet multiplate clutch with hydraulic control.,,,,Euro 4,Stainless steel exhaust and muffler with dual oval exits,30.0°,130 mm (5.1 inches),120 mm (4.7 inches),110 mm (4.3 inches),Dual seat,0.6909 HP/kg,,TFT colour display and dedicated warning light display,24 months unlimited mileage,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli Imperiale 400,2018,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",373.5 ccm (22.79 cubic inches),"Single cylinder, four-stroke",19.7 HP (14.4  kW)) @ 5500 RPM,28.0 Nm (2.9 kgf-m or 20.7 ft.lbs) @ 3500 RPM,8.5:1,72.7 x 90.0 mm (2.9 x 3.5 inches),Air,5-speed,Chain   (final drive),Double cradle with steel tubes and plates,Telescopic forks Ø 41mm,Rear swing arm with double shock absorber,Single disc,240 mm (9.4 inches),Single disc,,,"780 mm (30.7 inches) If adjustable, lowest setting.",1140 mm (44.9 inches),2170 mm (85.4 inches),815 mm (32.1 inches),170 mm (6.7 inches),1450 mm (57.1 inches),,,Electric,,Injection,Wet sump,110/90-19 ,130/80-18 ,200.0 kg (440.9 pounds),,,,,,,,,Euro 4,,,,,,,0.0985 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keeway RKF 125,2018,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",124.1 ccm (7.57 cubic inches),"Single cylinder, four-stroke",12.1 HP (8.8  kW)) @ 9500 RPM,10.0 Nm (1.0 kgf-m or 7.4 ft.lbs) @ 7500 RPM,,,Air,,Chain   (final drive),,Telescopic fork,Mono shocks,Single disc,240 mm (9.4 inches),Single disc,,,,,,,,,10.00 litres (2.64 US gallons),White,Electric,,Carburettor,,100/80-17 ,130/70-17 ,,,,,,,,,,,,,,,,,,,,2 years,,,,,,,,,,,,,,,,,,,,,,,,,,
Lehman Trikes Vintage,2018,Touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1811.0 ccm (110.51 cubic inches),"V2, four-stroke",,151.0 Nm (15.4 kgf-m or 111.4 ft.lbs) @ 2100 RPM,9.5:1,101.0 x 113.0 mm (4.0 x 4.4 inches),Air,6-speed,Belt   (final drive),Cast Aluminum Frame with Integrated Air-Box,Telescopic forks,Single shock with air adjust,Double disc. ABS. Floating discs. 4 piston caliper.,300 mm (11.8 inches),Single disc. ABS. Floating disc. 2-piston caliper.,,,"673 mm (26.5 inches) If adjustable, lowest setting.",,2781 mm (109.5 inches),1511 mm (59.5 inches),,1753 mm (69.0 inches),20.80 litres (5.50 US gallons),,Electric,Windscreen. Sold as a trike conversion kit for Indian Vintage motorcycles. ,Injection. Closed Loop Sequential Port Fuel Injection,,130/90-B16 ,180/60-R16 ,,Thunder Stroke® 111 engine,,,,"Wet, Multi-Plate",,,,,Split dual exhaust with cross-over,25.0°,150 mm (5.9 inches),119 mm (4.7 inches),114 mm (4.5 inches),,,,"Fairing mounted instrument cluster featuring analog speedometer and tachometer, with fuel gauge, range, odometer and current gear. ",2 years,,,Trunc,,,,,,,,,,,,,,,,,,,,,,,
Honda Interceptor DLX,2018,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,782.0 ccm (47.72 cubic inches),"V4, four-stroke",104.5 HP (76.3  kW)) @ 10250 RPM,75.1 Nm (7.7 kgf-m or 55.4 ft.lbs) @ 7500 RPM,11.8:1,72.0 x 48.0 mm (2.8 x 1.9 inches),Liquid,6-speed,Chain   (final drive),Diamond; triple-box-section aluminium twin-spar,43mm with spring-preload adjustability,Pro Arm single-side swingarm with Pro-Link single spring-preload and rebound damping adjustability,Double disc. ABS. Floating discs. Four-piston calipers. ,256 mm (10.1 inches),Single disc. ABS,10-spoke diecast aluminium,249.0 kg (549.0 pounds),"787 mm (31.0 inches) If adjustable, lowest setting.",1203 mm (47.4 inches),2134 mm (84.0 inches),748 mm (29.4 inches),,1458 mm (57.4 inches),21.95 litres (5.80 US gallons),"Red, Pearl White",Electric,"Model id: VFR800FD. Deluxe version adds ABS, traction control, grip heaters, self-canceling turn signals.","Injection. PGM-FI with automatic enrichment circuit, 36mm throttle bodies",,120/70-R17 ,180/55-R17 ,,90 degrees V-4,4,Double Overhead Cams/Twin Cam (DOHC),Computer-controlled digital with three-dimensional mapping and electronic advance,Wet multiplate,#525 O-ring chain,,,Meets current California Air Resources Board (CARB) and EPA standards.,Stainless steel,25.5°,95 mm (3.7 inches),109 mm (4.3 inches),119 mm (4.7 inches),Adjustable from 31.8 inches to 31.0 inches,,"808 mm (31.8 inches) If adjustable, highest setting.",,One year. Unlimited milage. Transferable.,,,,3.03 litres (0.80 US gallons),,,,,,,,,,,,,,,,,,,,,,
GAS GAS TXT 300 Racing E4,2018,Trial,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,294.1 ccm (17.95 cubic inches),"Single cylinder, two-stroke",,,,79.0 x 60.0 mm (3.1 x 2.4 inches),Liquid,6-speed,Chain   (final drive),Chrom-Molybdenum tubular,"TECH with aluminium bar Ø 39. Rebound, compression, end stroke and spring preload regulation.",ÖHLINS hydraulic mono shock absorber (2 ways). Rebound and spring pre-load ajustable.,"Single disc. NG WAVE floating, monoblock 4 pistons BRAKTEC caliper",150 mm (5.9 inches),"Single disc. NG WAVE, autostand system 2 pistons BRAKTEC caliper","Aluminium rims, wire spoked",,"630 mm (24.8 inches) If adjustable, lowest setting.",1130 mm (44.5 inches),2010 mm (79.1 inches),825 mm (32.5 inches),,1320 mm (52.0 inches),2.40 litres (0.63 US gallons),Red/black/white,Kick,Spanish bike. ,Carburettor,2.5 % Mixture,2.75-21 ,4.00-18 ,67.5 kg (148.8 pounds),Reed valve,,,CDI,GG 1/3 hydraulic-diaphragm-system,,,,,,,,180 mm (7.1 inches),167 mm (6.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZi,2018,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",149.0 ccm (9.09 cubic inches),"Single cylinder, four-stroke",13.2 HP (9.6  kW)) @ 8000 RPM,12.8 Nm (1.3 kgf-m or 9.4 ft.lbs) @ 6000 RPM,9.5:1,57.3 x 57.9 mm (2.3 x 2.3 inches),Air,5-speed,Chain   (final drive),Diamond,Telescopic fork,Swingarm,Single disc,,Expanding brake (drum brake),,132.0 kg (291.0 pounds),"790 mm (31.1 inches) If adjustable, lowest setting.",1030 mm (40.6 inches),1990 mm (78.3 inches),770 mm (30.3 inches),160 mm (6.3 inches),1330 mm (52.4 inches),12.00 litres (3.17 US gallons),"Red, black",Electric,Sold in Asia.,Injection,"Force-feed lubrication, wet sump",80/100-17 ,140/60-17 ,,,2,Single Overhead Cams (SOHC),,"Wet, multiple-disc",,,,,,25.0°,101 mm (4.0 inches),,,,,,,,"12V, 4.0AH (10H), Sealed type battery.",,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB125F                                            ,2018,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",124.7 ccm (7.61 cubic inches),"Single cylinder, four-stroke",10.5 HP (7.6  kW)) @ 7750 RPM,10.2 Nm (1.0 kgf-m or 7.5 ft.lbs) @ 6250 RPM,9.2:1,52.4 x 57.8 mm (2.1 x 2.3 inches),Air,5-speed,Chain   (final drive),"Diamond, steel",Telescopic fork (31mm diameter),Dual rear shocks with 5-step spring preload adjustment,Single disc. Two-piston calipers. ,130 mm (5.1 inches),Expanding brake (drum brake),Six spoke cast aluminium,128.0 kg (282.2 pounds),"775 mm (30.5 inches) If adjustable, lowest setting.",1080 mm (42.5 inches),2035 mm (80.1 inches),765 mm (30.1 inches),160 mm (6.3 inches),1295 mm (51.0 inches),13.00 litres (3.43 US gallons),"Red, blue, white, yellow",Electric,,Carburettor,,80/100-18 ,90/90-18 ,,Balancer shaft,2,Overhead Cams (OHC),,"Wet, multiplate with coil springs",,1.56 litres/100 km (64.1 km/l or 150.78 mpg),36.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,26.0°,97 mm (3.8 inches),,,Two-person seat,,,,,12V/6AH battery.,,,2.50 litres (0.66 US gallons),1.00 litres (1.06 US quarts),,,,,,,,,,,,,,,,,,,,,
