Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Cooling system,Transmission type,Driveline,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Factory warranty,Engine details,Power,Torque,Top speed,Max RPM,Gearbox,Clutch,Fuel consumption,Greenhouse gases,Emission details,Frame type,Rake (fork angle),Diameter,Wheels,Seat,Dry weight,Power/weight ratio,Instruments,Electrical,Comments,Lubrication system,Trail,Alternate seat height,Oil capacity,Light,Carrying capacity,Engine oil,Brake fluid,Coolant,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Exhaust system,Ignition,Reserve fuel capacity,Service interval,Modifications compared to previous model,Sprockets,Spark plugs,Chain size,Chain links,0-100 km/h (0-62 mph),Battery,Oil filter,Pulley teeth,"60-140 km/h (37-87 mph), highest gear",Belt teeth,1/4 mile (0.4 km)
Suzuki GSX-R1000A,2022,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,999.8 ccm (61.01 cubic inches),"In-line four, four-stroke",13.2:1,76.0 x 55.1 mm (3.0 x 2.2 inches),4,Injection. Suzuki Fuel injection with Ride-by-Wire throttle bodies,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain   (final drive),"Chain, DID 525HV3, 120 links. Constant mesh.","Showa BPF, Inverted telescopic, coil spring, oil damped",120 mm (4.7 inches),"Showa rear shock, Link type, coil spring, oil damped",130 mm (5.1 inches),120/70-ZR17 ,190/55-ZR17 ,Double disc. Brembo 4-piston. ABS.,Single disc. Nissin-1 piston. ABS.,202.0 kg (445.3 pounds),"825 mm (32.5 inches) If adjustable, lowest setting.",1145 mm (45.1 inches),2075 mm (81.7 inches),705 mm (27.8 inches),130 mm (5.1 inches),1420 mm (55.9 inches),16.00 litres (4.23 US gallons),Metallic Mat Black,Electric,12 month unlimited mileage limited warranty.,Titanium valves,185.0 HP (135.0  kW)) @ 11500 RPM,117.0 Nm (11.9 kgf-m or 86.3 ft.lbs) @ 10000 RPM,,,6-speed,"Wet, multi-plate ",,,,Twin-spar made of five cast sections,,220 mm (8.7 inches),Bridgestone RS10 tires,Passenger seat can exchanged with a color-matched solo tail cowl.,,,"LCD multifunction instrument panel, black background.",,Sold in Canada.,Wet sump ,,,,LED headlight,,,,,,,,,4-2-1 exhaust ,,,,,,,,,,,,,,,
Kawasaki KX450 SR,2022,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,449.0 ccm (27.40 cubic inches),"Single cylinder, four-stroke",12.5:1,96.0 x 62.0 mm (3.8 x 2.4 inches),,Injection. DFI® with 44mm Keihin throttle body,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain   (final drive),D.I.D. gold chain,KYB 49mm inverted telescopic coil-spring fork with 16-way compression damping and 16-way rebound damping,305 mm (12.0 inches),"KYB Uni-Trak® gas charged shock with piggyback reservoir with dual-range (4 turns stepless high speed/19-way low-speed) compression damping, 38-way rebound damping and adjustable preload",307 mm (12.1 inches),80/100-21 ,120/80-19 ,Single disc. Semi-floating petal discs,Single disc. Single-piston caliper. ,110.0 kg (242.5 pounds),"955 mm (37.6 inches) If adjustable, lowest setting.",1265 mm (49.8 inches),2185 mm (86.0 inches),820 mm (32.3 inches),340 mm (13.4 inches),1485 mm (58.5 inches),6.20 litres (1.64 US gallons),Lime Green/black/yellow/gold,Electric,,,,,,,5-speed,"Wet multi-disc, manual",,,,Aluminum perimeter,27.6°,250 mm (9.8 inches),"D.I.D. DIirt Star-X rims, black",,105.6 kg (232.7 pounds),,,,Limited edition.,,122 mm (4.8 inches),,,,,,,,,,,,Titanium ,Digital CDI with 3 Coupler Options,,,,,,,,,,,,,,
KTM 250 SX,2022,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",,66.4 x 72.0 mm (2.6 x 2.8 inches),,Carburettor. Mikuni TMX. ,,Liquid,Chain   (final drive),5/8 x 1/4´ chain.,"WP XACT-USD, Ø 48 mm",310 mm (12.2 inches),WP XACT Monoshock with linkage,300 mm (11.8 inches),80/100-21 ,110/90-19 ,Single disc,Single disc,,"850 mm (33.5 inches) If adjustable, lowest setting.",,,,375 mm (14.8 inches),1495 mm (58.9 inches),7.50 litres (1.98 US gallons),Orange/white/blue,Kick,,Reed intake,,,,,5-speed,"Wet, DDS multi-disc clutch, Brembo hydraulics",,,,Central double-cradle-type 25CrMo4 steel,26.1°,220 mm (8.7 inches),CNC machined hubs. Excel rims. Wire spoked. Dunlop Geomax MX 3S tires.,,95.5 kg (210.5 pounds),,,,,,,,,,,,,,,,,,,Kokusan EMS.,,,,,,,,,,,,,,
CCM Stealth Bobber,2022,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,600.0 ccm (36.61 cubic inches),"Single cylinder, four-stroke",12.0:1,100.0 x 76.5 mm (3.9 x 3.0 inches),,Injection. Mikuni D45,,Liquid,Chain   (final drive),,"Mrazocchi telescopic fork, adjustable",100 mm (3.9 inches),"Single shock, adjustable.",100 mm (3.9 inches),130/70-19 ,130/70-19 ,Single disc,Single disc,,"760 mm (29.9 inches) If adjustable, lowest setting.",1100 mm (43.3 inches),2117 mm (83.3 inches),,,1423 mm (56.0 inches),14.00 litres (3.70 US gallons),Black/bronze,Electric,2-year warranty.,,55.0 HP (40.1  kW)),58.0 Nm (5.9 kgf-m or 42.8 ft.lbs) @ 5500 RPM,,,6-speed,"Multiple-disc, wet, Hydraulic control",4.20 litres/100 km (23.8 km/l or 56.00 mpg),97.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,"High strength steel, Hand Tig welded",26.0°,240 mm (9.4 inches),Avon Cobra Black walled tyres,,135.0 kg (297.6 pounds),0.4074 HP/kg,,,,,118 mm (4.6 inches),,1.80 litres (1.9 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,
Bintelli Scorch 150,2022,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,150.0 ccm (9.15 cubic inches),"Single cylinder, four-stroke",9.5:1,,,Carburettor,,Air,Belt   (final drive),CVT,Straight,,Single shock,,120/70-12 ,120/70-12 ,Single disc,Expanding brake (drum brake),86.2 kg (190.0 pounds),"845 mm (33.3 inches) If adjustable, lowest setting.",1171 mm (46.1 inches),1864 mm (73.4 inches),706 mm (27.8 inches),,,6.06 litres (1.60 US gallons),"Green, Charcoal, Red",Electric & kick,2 Year Limited,,8.5 HP (6.2  kW)) @ 7500 RPM,8.8 Nm (0.9 kgf-m or 6.5 ft.lbs) @ 6000 RPM,,,Automatic,,,,,Steel,,,,,,,Analogue,Motobatt 12V/7AH battery.,Sold in the US.,,,,,Halogen Headlight,,,,,,,,,,CDI,,,,,,,,,,,,,,
Kawasaki Z H2,2022,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",11.2:1,76.0 x 55.0 mm (3.0 x 2.2 inches),4,Injection. DFI® with 40mm Keihin throttle bodies. Supercharged.,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain   (final drive),Sealed chain,"Showa SFF-BP Fork with Adjustable Compression and Rebound Damping, Spring Preload Adjustability",120 mm (4.7 inches),"Uni-Trak®, Showa Gas-Charged Shock with Adjustable Compression and Rebound Damping, Preload Adjustability",135 mm (5.3 inches),120/70-17 ,190/55-17 ,Double disc. Dual semi-floating petal discs. ABS. ,Single disc. Single-piston. ABS.,240.0 kg (529.2 pounds),"831 mm (32.7 inches) If adjustable, lowest setting.",1138 mm (44.8 inches),2085 mm (82.1 inches),810 mm (31.9 inches),140 mm (5.5 inches),1455 mm (57.3 inches),18.93 litres (5.00 US gallons),"Metallic Graphite Gray/Metallic Diablo Black/Red
",Electric,12 Month Limited Warranty,,,137.0 Nm (14.0 kgf-m or 101.0 ft.lbs),,,6-speed,"Assist  and  Slipper clutch. Wet multi-disc, manual.",,,,"Trellis, high tensile steel",24.9°,250 mm (9.8 inches),,,,,Digital TFT color instrumentation,,Integrated Riding Modes. Cruise control. Traction control. Smartphone Connectivity.,,104 mm (4.1 inches),,,LED Lighting,,,,,,,,,,TCBI with electronic advance,,,,,,,,,,,,,,
BucciMoto F20SM Motard,2022,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,150.0 ccm (9.15 cubic inches),"Single cylinder, four-stroke",,,2,Carburettor,,Oil & air,Chain   (final drive),,UPSD Tech Suspension,240 mm (9.4 inches),"MUPO monoshock, three step adjustable",,100/90-12 ,120/80-12 ,Single disc. Radial caliper,Single disc. Radial caliper,68.0 kg (149.9 pounds),"810 mm (31.9 inches) If adjustable, lowest setting.",,,,,1190 mm (46.9 inches),3.00 litres (0.79 US gallons),"Black, White",Electric,,,,,,,4-speed,"Wet, multidisc",,,,Perimeter composed of high strength steel tubes,,180 mm (7.1 inches),Aluminium,,64.0 kg (141.1 pounds),,,,Engine available	YX 150cc-YX 160cc-Tokawa 160cc Daytona Anima 150cc-Daytona Anima 190cc-,Oil filter inside crankcase,,,,,,,,,,,,,Leovince LX3 inox,CDI,,,,,,,,,,,,,,
TVS NTorq 125,2022,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.8 ccm (7.62 cubic inches),"Single cylinder, four-stroke",9.9:1,53.5 x 48.8 mm (2.1 x 1.9 inches),3,Injection,Overhead Cams (OHC),Air,Chain   (final drive),,Telescopic Suspension with Hydraulic Dampers,,Coil spring with Hydraulic Dampers,,100/80-12 ,110/80-12 ,Single disc. Optional drum brake,Expanding brake (drum brake),118.0 kg (260.1 pounds),"765 mm (30.1 inches) If adjustable, lowest setting.",1164 mm (45.8 inches),1861 mm (73.3 inches),710 mm (28.0 inches),155 mm (6.1 inches),1285 mm (50.6 inches),5.80 litres (1.53 US gallons),"Matte Red, Metallic Red, Metallic Blue, Metallic Grey",Electric & kick,,,9.3 HP (6.8  kW)) @ 7500 RPM,10.5 Nm (1.1 kgf-m or 7.7 ft.lbs) @ 5500 RPM,95.0 km/h (59.0 mph),,Automatic,Wet - multi plate type,,,BS – VI Compliant,Underbone,,130 mm (5.1 inches),,,,,LCD,,Made in India.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS MC-E 5,2022,"Minibike, cross",Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,,,,,,Air,Chain   (final drive),,"XACT 35 WP Upside-Down fork, Ø 35 mm",205 mm (8.1 inches),XACT WP PDS mono shock,185 mm (7.3 inches),60/100-14 ,80/100-12 ,Single disc,Single disc,,"665 mm (26.2 inches) If adjustable, lowest setting.",,,,252 mm (9.9 inches),,,Red/white,Electric,,48 V - BLDC motor with outer rotor,2.7 HP (2.0  kW)) @ 3200 RPM,13.8 Nm (1.4 kgf-m or 10.2 ft.lbs),,,,,,,,25CrMo4 steel central-tube ,24.0°,160 mm (6.3 inches),,,,,,"Lithium-ion battery, 21Ah 48V",Charging 80-240 V/50-60 Hz. 70 min charging. Two hours riding. Spanish made bike.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha MT-07,2022,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,689.0 ccm (42.04 cubic inches),"Twin, four-stroke",11.5:1,80.0 x 68.6 mm (3.1 x 2.7 inches),4,"Injection. Mikuni, 38 mm",Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain   (final drive),Constant mesh,41mm KYB telescopic fork ,130 mm (5.1 inches),"KYB Single shock, adjustable preload and rebound damping",130 mm (5.1 inches),120/70-ZR17 ,180/55-ZR17 ,Double disc. Hydraulic.4-piston calipers. ABS.,Single disc. Hydraulic single disc. ABS.,184.2 kg (406.0 pounds),"805 mm (31.7 inches) If adjustable, lowest setting.",1105 mm (43.5 inches),2085 mm (82.1 inches),780 mm (30.7 inches),140 mm (5.5 inches),1400 mm (55.1 inches),14.00 litres (3.70 US gallons),"Cyan Storm, Team Yamaha Blue, Matte Raven Black",Electric,1 Year Limited ,,74.0 HP (54.0  kW)) @ 9000 RPM,68.0 Nm (6.9 kgf-m or 50.2 ft.lbs) @ 6500 RPM,,,6-speed,"Wet, Multiple Disc",4.06 litres/100 km (24.6 km/l or 57.94 mpg),94.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,Catalytic Converter,Diamond,24.5°,245 mm (9.6 inches),10-spoke cast aluminum,,,,LCD,,,Wet sump,90 mm (3.5 inches),,3.00 litres (3.17 US quarts),LED lights,,SAE 10W-40,DOT 4,2.00 litres (0.53 US gallons),1200  +/- 100  RPM,33 PSI (2.3 Bar or 230 kPa),36 PSI (2.5 Bar or 250 kPa),41 mm (1.6 inches),Integrated 2-into-1 exhaust pipes and muffler,TCI,,,,16/43 (front/rear),NGK LMAR8A-9,525,108,,YTZ10S,,,,,
Harley-Davidson Road King,2022,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1746.0 ccm (106.54 cubic inches),"V2, four-stroke",10.0:1,100.0 x 111.1 mm (3.9 x 4.4 inches),,Injection. Electronic Sequential Port Fuel Injection ,Double Overhead Cams/Twin Cam (DOHC),Air,Belt   (final drive),"Chain, 34/46 ratio primary drive","Telescopic fork, 49 mm dual bending valve",,Twin shocks. Premium standard height hand-adjustable.,,130/70-B18 ,180/55-B18 ,Double disc. Optional ABS. 4-piston,Single disc. Optional ABS. 4-piston,375.6 kg (828.0 pounds),"668 mm (26.3 inches) If adjustable, lowest setting.",,2450 mm (96.5 inches),,135 mm (5.3 inches),1625 mm (64.0 inches),22.71 litres (6.00 US gallons),"Vivid Black, Midnight Crimson Red, Gauntlet Gray Metallic/Vivid Black",Electric,,"Milwaukee-Eight® 107, Integrated Oil-Cooler",89.0 HP (65.0  kW)) @ 5450 RPM,150.5 Nm (15.3 kgf-m or 111.0 ft.lbs) @ 3250 RPM,,,6-speed,Multi-plate with diaphragm spring in oil bath,5.47 litres/100 km (18.3 km/l or 43.00 mpg),126.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,26.0°,,"Slicer II Cast Aluminum wheels. Dunlop® Harley-Davidson Series, bias blackwall tires.",,360.2 kg (794.0 pounds),0.2471 HP/kg,"Display features odometer, trip A, trip B, range to empty and gear indicator; and larger tell-tale indicators.",,Windshield. Cruise control. Alarm.,Dry sump,170 mm (6.7 inches),,4.90 litres (5.18 US quarts),"High beam, running lights, directional light bar, neutral, low oil pressure, engine diagnostics, turn signals, battery, security system, low fuel warning, cruise control, ABS, Gear/RPM display, miles to empty display","Saddle bags, 2.3 cu ft volume",,,,,,,49 mm (1.9 inches),"Chrome, 2-1-2 dual exhaust with tapered mufflers",,,,,34/46 (front/rear),,,,,,,,,,
Suzuki KingQuad 750AXi,2022,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,722.0 ccm (44.06 cubic inches),"Single cylinder, four-stroke",9.9:1,104.0 x 85.0 mm (4.1 x 3.3 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,Shaft drive (cardan)   (final drive),"2WD, 4WD and 4WD Differential Lock","Independent, double wishbone, coil spring, oil damped with five-way preload adjustable shock absorbers",170 mm (6.7 inches),"Independent, double wishbone, coil spring, oil damped with five-way preload adjustable shock absorbers",196 mm (7.7 inches),25/8-12 ,25/10-12 ,Double disc,Sealed multidisc,320.0 kg (705.5 pounds),"920 mm (36.2 inches) If adjustable, lowest setting.",1285 mm (50.6 inches),2150 mm (84.6 inches),1215 mm (47.8 inches),260 mm (10.2 inches),1285 mm (50.6 inches),17.50 litres (4.62 US gallons),Flame Red,Electric,12-month limited warranty,Dual balancer shafts,,,,,Automatic,"Dry shoe, automatic, centrifugal type",,,,,,,Carlisle tires,,,,LCD instrument panel,,Optional power steering (PS).,Wet sump,,,,30W halogen headlights,Front and rear steel-tube cargo racks,,,,,,,,,Electronic ignition,,,,,,,,,,,,,,
emco Classic Novi ,2022,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,,,,,,Air,,,,,,,80/90-14 ,3.50-10 ,Single disc. Hydraulic,Expanding brake (drum brake),,"810 mm (31.9 inches) If adjustable, lowest setting.",1075 mm (42.3 inches),1850 mm (72.8 inches),675 mm (26.6 inches),,,,"White, Black, Red",Electric,,,2.0 HP (1.5  kW)),,45.0 km/h (28.0 mph),,,,,,No direct emissions,,,,,2 person seat,80.0 kg (176.4 pounds),0.0250 HP/kg,,,German brand. Lithium-Ionen 48V 28Ah  or 48V 56 Ah akku. Range 50 or 100 km. Charging 2 hours. 1000 charge cycles.,,,,,,Rear rack,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Tricity 300,2022,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,292.0 ccm (17.82 cubic inches),"Single cylinder, four-stroke",10.9:1,70.0 x 75.9 mm (2.8 x 3.0 inches),4,Injection,Single Overhead Cams (SOHC),Liquid,Belt   (final drive),V-Belt Automatic,Double telescopic fork,100 mm (3.9 inches),Unit Swing,84 mm (3.3 inches),90/80-14 ,140/70-14 ,Single disc. Unified Brake System. ABS.,Single disc. Unified Brake System. ABS.,239.0 kg (526.9 pounds),"795 mm (31.3 inches) If adjustable, lowest setting.",1470 mm (57.9 inches),2250 mm (88.6 inches),815 mm (32.1 inches),130 mm (5.1 inches),1595 mm (62.8 inches),13.00 litres (3.43 US gallons),"Sand Gray, Petrol Blue, Gunmetal Grey",Electric,,,27.6 HP (20.2  kW)) @ 7250 RPM,29.0 Nm (3.0 kgf-m or 21.4 ft.lbs) @ 5750 RPM,,,Automatic,,3.30 litres/100 km (30.3 km/l or 71.28 mpg),76.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 5,"Underbone, steel",,267 mm (10.5 inches),,,,,LCD instruments,,Traction control. Small windscreen. Leaning twin-wheel front.,Wet sump,,,,LED front lights,,,,,,,,,,TCI,,,,,,,,,,,,,,
Indian FTR ,2022,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1203.0 ccm (73.41 cubic inches),"V2, four-stroke",12.5:1,102.0 x 73.6 mm (4.0 x 2.9 inches),4,"Injection. Closed Loop Sequential Port Fuel Injection, 60mm",Double Overhead Cams/Twin Cam (DOHC),Liquid,Belt   (final drive),,ZF Sachs Fully Adjustable Inverted Telescopic Cartidge Fork,120 mm (4.7 inches),ZF Sachs Fully Adjustable Piggyback IFP,120 mm (4.7 inches),120/70-R19 ,150/70-R18 ,Double disc. ABS. 4-piston calipers. ,Single disc. ABS. 2-Piston Calipers. ,233.0 kg (513.7 pounds),"840 mm (33.1 inches) If adjustable, lowest setting.",1297 mm (51.1 inches),2223 mm (87.5 inches),830 mm (32.7 inches),170 mm (6.7 inches),1524 mm (60.0 inches),12.90 litres (3.41 US gallons),Black Smoke,Electric,2 years,,123.0 HP (89.8  kW)),117.9 Nm (12.0 kgf-m or 87.0 ft.lbs) @ 6000 RPM,,,6-speed,"Assist  and  Slip, Multi-Plate",,,,,25.3°,260 mm (10.2 inches),Cast Black with Indy Red Pinstripe. Metzeler Sportec M9 RR tires.,,218.0 kg (480.6 pounds),0.5641 HP/kg,"4´ Analog, Digital Tachometer, Odometer, Trip Meter, Engine Temp, Low Fuel Lamp",,USB Fast-Charge Port. Cruise Control.,,99 mm (3.9 inches),,,"LED Headlight, Taillight, Turn Signals",,,,,,,,,"Split dual exhaust with crossover, 2-1-2",,,,,,,,,,,,,,,
Torrot Muvi,2022,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,,,,,,Air,Belt   (final drive),,"Telescopic fork, hydraulic",,Side monoshock with preload adjustment,,90/80-16 ,90/80-16 ,Single disc. Combined braking system,Single disc,85.0 kg (187.4 pounds),,,1855 mm (73.0 inches),,,,,"White, black, silver",Electric,,Torrot Brushless 48V motor,5.5 HP (4.0  kW)) @ 3000 RPM,35.0 Nm (3.6 kgf-m or 25.8 ft.lbs),75.0 km/h (46.6 mph),,1-speed,,,,,Tubular stell,27.6°,190 mm (7.5 inches),Alloy rims,,,,Display LCD,,2x48V 25Ah 31.9Ah li-ion battery. Range 100 km. Made in Spain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unu Electric,2022,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,,,,,,Air,,,Telescopic fork,,Monoshock,,110/70-10 ,110/70-10 ,Single disc,Single disc,84.0 kg (185.2 pounds),"730 mm (28.7 inches) If adjustable, lowest setting.",1050 mm (41.3 inches),1820 mm (71.7 inches),700 mm (27.6 inches),,,,"Green, Red, Blue, Black, Grey",Electric,,Bosch brushless rear wheel electric motor,5.4 HP (3.9  kW)),,45.0 km/h (28.0 mph),,1-speed,,,,,,,,Aluminium rims. Heidenau K80 SR tires.,Dual seat,,,,,One or two LG Lithium-ion rechargeable batteries. 7 hours charging. Recovery of braking energy. Range 50 to 100 km. Various motor and battery options. German brand.,,,,,,Lockable helmet attachment for two helmets. Luggage rack.,,,,,,,,,,,,,,,,,,,,,,,
TGB Express 150,2022,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,151.1 ccm (9.22 cubic inches),"Single cylinder, four-stroke",10.8:1,57.4 x 57.8 mm (2.3 x 2.3 inches),,Carburettor,,Air,Belt   (final drive),C.V.T.,Telescopic fork,,Dual shocks,,130/60-13 ,130/60-13 ,Single disc,Expanding brake (drum brake),,,1140 mm (44.9 inches),1970 mm (77.6 inches),685 mm (27.0 inches),,,6.80 litres (1.80 US gallons),"White, red, blue, yellow",Electric & kick,,,10.1 HP (7.3  kW)) @ 7000 RPM,,,,Automatic,,,,EC  and  DOT/EPA approved.,,,,,,127.0 kg (280.0 pounds),0.0792 HP/kg,,12V 9AH battery.,Made in Taiwan. TGB is short for Taiwan Golden Bee.,Oil Pump Separate//Compress  and  Splash Combined,,,,,150 liter top box,,,,,,,,,CDI,,,,,,,,,,,,,,
Vertigo Nitro 280,2022,Trial,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",,76.0 x 60.0 mm (3.0 x 2.4 inches),,Injection. Integrated injection driver. ,,Liquid,Chain   (final drive),10z/42,Tech Factory,170 mm (6.7 inches),"Swingarm combined with REIGER 2 way monoshock with compression, rebound and spring preload adjustment",170 mm (6.7 inches),1.60-21 ,2.15-18 ,Single disc. 4-piston caliper,Single disc. 2-piston caliper,,"680 mm (26.8 inches) If adjustable, lowest setting.",,2110 mm (83.1 inches),,,1310 mm (51.6 inches),2.30 litres (0.61 US gallons),Green/black,Kick,,,,,,,6-speed,Multi-disc oil wet adjustable preload,,,,"25CrMo4 steel , aluminium 6082 subframe",,150 mm (5.9 inches),Black Morad rims.  Vertigo red hubs. Dunlop D803GP tires,,68.0 kg (149.9 pounds),,,,Atmospheric pressure  and  Air temperature sensors. High-strenght 7075 Aluminium skid plate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZ-S Fi ,2022,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,149.0 ccm (9.09 cubic inches),"Single cylinder, four-stroke",9.6:1,57.3 x 57.9 mm (2.3 x 2.3 inches),2,Injection,Single Overhead Cams (SOHC),Air,Chain   (final drive),,Telescopic fork,,7-Step Adjustable Monocross Suspension,,100/80-17 ,140/60-17 ,Single disc. ABS,Expanding brake (drum brake). ABS,135.0 kg (297.6 pounds),"790 mm (31.1 inches) If adjustable, lowest setting.",1080 mm (42.5 inches),1990 mm (78.3 inches),780 mm (30.7 inches),165 mm (6.5 inches),1330 mm (52.4 inches),13.00 litres (3.43 US gallons),"Matte Red, Dark Matte Blue",Electric,,,12.4 HP (9.1  kW)) @ 7250 RPM,13.3 Nm (1.4 kgf-m or 9.8 ft.lbs) @ 5500 RPM,,,5-speed,"Wet, multiple-disc",,,,Diamond,25.0°,220 mm (8.7 inches),,,,,Digital  ,,Sold in Asia. Also called Yamaha FZ-S Version 3.0.,"Force-feed lubrication, wet sump",101 mm (4.0 inches),,,LED lights,,,,,,,,,,TCI,,,,,,,,,,,,,,
Nipponia Orizon 200,2022,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,183.0 ccm (11.17 cubic inches),"Single cylinder, four-stroke",,,,Carburettor,,Air,Chain   (final drive),,Telescopic fork,,Dual shocks,,80/100-17 ,110/80-17 ,Single disc,Single disc,,"760 mm (29.9 inches) If adjustable, lowest setting.",1090 mm (42.9 inches),2035 mm (80.1 inches),790 mm (31.1 inches),,,9.00 litres (2.38 US gallons),"Blue/white, red/white",Electric & kick,,,16.1 HP (11.8  kW)) @ 8000 RPM,14.3 Nm (1.5 kgf-m or 10.5 ft.lbs) @ 6300 RPM,,,5-speed,,,,,,,,,,135.0 kg (297.6 pounds),0.1193 HP/kg,,,Sold in South America.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Factory Bike KXD 50,2022,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,,,Carburettor,,Air,Chain   (final drive),,Inverted,,Monoshock,,2.5-10 ,2.5-10 ,Expanding brake (drum brake),Expanding brake (drum brake),,"575 mm (22.6 inches) If adjustable, lowest setting.",,,,,,1.50 litres (0.40 US gallons),Red/White/Blue,Kick,,,,,45.0 km/h (28.0 mph),,6-speed,Multidisc in oil cath,,,,,,150 mm (5.9 inches),,,40.0 kg (88.2 pounds),,,,Spanish Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FJR1300AE,2022,Sport touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1298.0 ccm (79.20 cubic inches),"In-line four, four-stroke",10.8:1,79.0 x 66.2 mm (3.1 x 2.6 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,Shaft drive (cardan)   (final drive),,Telescopic fork,135 mm (5.3 inches),Swingarm,125 mm (4.9 inches),120/70-ZR17 ,180/55-ZR17 ,Double disc. ABS. Hydraulic. ,Single disc. ABS. Hydraulic. ,292.0 kg (643.7 pounds),"805 mm (31.7 inches) If adjustable, lowest setting.",1455 mm (57.3 inches),2230 mm (87.8 inches),750 mm (29.5 inches),125 mm (4.9 inches),1545 mm (60.8 inches),25.00 litres (6.61 US gallons),Tech Graphite,Electric,1 Year (Limited Factory Warranty),Forward-inclined parallel cylinder,144.2 HP (105.2  kW)) @ 8000 RPM,138.0 Nm (14.1 kgf-m or 101.8 ft.lbs) @ 7000 RPM,,,6-speed,Assist and slipper clutch,6.20 litres/100 km (16.1 km/l or 37.94 mpg),143.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,"Aluminium, Diamond Shaped",26.0°,282 mm (11.1 inches),,,,,Analog/digital,,Windscreen. Electronically adjusted suspension. Traction control. Cruise control.,,109 mm (4.3 inches),"825 mm (32.5 inches) If adjustable, highest setting.",4.90 litres (5.18 US quarts),LED headlights with adaptive cornering lights,,,,,,,,,,TCI,,,,,,,,,,,,,,
