Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Transmission type,Frame type,Rake (fork angle),Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Seat height,Wheelbase,Compression,Gearbox,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Trail,Front wheel travel,Rear wheel travel,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Ground clearance,Fuel capacity,Color options,Starter,Comments,Diameter,Reserve fuel capacity,Valves per cylinder,Alternate seat height,"Weight incl. oil, gas, etc",Top speed,Engine details,Driveline,Engine oil,Oil filter,Battery,Spark plugs,Chain size,Chain links,Sprockets,Max RPM,Front percentage of weight,Rear percentage of weight,Modifications compared to previous model,Oil capacity,Brake fluid,Coolant,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Wheels,Electrical,Belt width,Pulley teeth,1/4 mile (0.4 km),Belt teeth
Ridley X88,2006,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1450.0 ccm (88.48 cubic inches),"V2, four-stroke",,,,,,,Pressure,,Belt   (final drive),,,,,,,Single disc. Ferodo 4 piston,Single disc. Ferodo 4-piston,"635 mm (25.0 inches) If adjustable, lowest setting.",1651 mm (65.0 inches),9.0:1,5-speed,,,,Straight/Baffled,,,,263.1 kg (580.0 pounds),,991 mm (39.0 inches),,940 mm (37.0 inches),140 mm (5.5 inches),15.14 litres (4.00 US gallons),,Electric,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VTR 1000 F FireStorm,2006,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",104.6 HP (76.3  kW)) @ 9000 RPM,93.0 Nm (9.5 kgf-m or 68.6 ft.lbs) @ 7000 RPM,98.0 x 66.0 mm (3.9 x 2.6 inches),Carburettor. PGM-FI electronic fuel injection,Double Overhead Cams/Twin Cam (DOHC),Computer-controlled digital transistorised with electronic advance,,Liquid,Chain   (final drive),,,41mm H.M.A.S. cartridge-type telescopic fork with adjustable spring preload and rebound damping,"Pro-Link with gas-charged H.M.A.S. damper, adjustable spring preload and rebound damping",120/70-ZR17 ,180/55-ZR17 ,Double disc,Single disc,"810 mm (31.9 inches) If adjustable, lowest setting.",1430 mm (56.3 inches),9.4:1,6-speed,,,,,97 mm (3.8 inches),109 mm (4.3 inches),120 mm (4.7 inches),193.0 kg (425.5 pounds),0.5419 HP/kg,,,,135 mm (5.3 inches),19.00 litres (5.02 US gallons),,,,220 mm (8.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bajaj CT 100,2006,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",99.3 ccm (6.06 cubic inches),"Single cylinder, four-stroke",8.2 HP (6.0  kW)) @ 7500 RPM,8.1 Nm (0.8 kgf-m or 5.9 ft.lbs) @ 4500 RPM,,Carburettor.  Keihin-Fie,,C.D.I,,Air,,Tubular construction,,Telescopic,Swing arm type with dual co-axial springs (spring-in-spring) and hydraulic shock absorbers,,,Expanding brake (drum brake),Expanding brake (drum brake),,1235 mm (48.6 inches),,4-speed,,,,,,,,,,1065 mm (41.9 inches),1945 mm (76.6 inches),770 mm (30.3 inches),,10.50 litres (2.77 US gallons),,,,,,,,109.0 kg (240.3 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Piaggio X8 250,2006,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,,,,,Inductive,Separate with automatic mixer,Liquid,Belt   (final drive),Double cradle of steel tubes,,Ø 35 mm tele-hydraulic fork,Two dual-effect shock absorbers and four-position spring preload,120/70-14 ,130/70-12 ,Single disc,Single disc,,1490 mm (58.7 inches),,Automatic,Automatic centrifuge type,,,,,,,83.0 kg (183.0 pounds),,,2050 mm (80.7 inches),700 mm (27.6 inches),,12.00 litres (3.17 US gallons),,Electric,,240 mm (9.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaguti Madison 3 125,2006,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",14.8 HP (10.8  kW)) @ 11000 RPM,,57.0 x 48.6 mm (2.2 x 1.9 inches),Carburettor,Single Overhead Cams (SOHC),,,Liquid,,High resistance braced tubular steel frame,,Hydraulic fork,Swinging engine and 2 hydraulic shock absorbers,120/70-14 ,140/60-14 ,Single disc,Single disc,"795 mm (31.3 inches) If adjustable, lowest setting.",1410 mm (55.5 inches),,,Automatic centrifugal dry clutch,,,Catalyst exhaust system,,,,153.0 kg (337.3 pounds),0.0964 HP/kg,,1980 mm (78.0 inches),,,9.00 litres (2.38 US gallons),,Electric,,240 mm (9.4 inches),,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherco Supermotard 50 cc,2006,Super motard," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.7 ccm (3.03 cubic inches),"Single cylinder, two-stroke",,,40.3 x 39.0 mm (1.6 x 1.5 inches),Carburettor.  Dellorto,,Electronic,,Liquid,Chain   (final drive),Built from Chrome-molybdenum forming a single structure.,,,,,,Single disc,Single disc,"900 mm (35.4 inches) If adjustable, lowest setting.",1970 mm (77.6 inches),,6-speed,Multidisc,,,Steel tube with aluminium silencer,,,,83.0 kg (183.0 pounds),,,,,280 mm (11.0 inches),8.50 litres (2.25 US gallons),,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Xtra Raptor 1000,2006,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",105.5 HP (77.0  kW)) @ 8500 RPM,90.3 Nm (9.2 kgf-m or 66.6 ft.lbs) @ 7000 RPM,98.0 x 65.8 mm (3.9 x 2.6 inches),Carburettor. Mikuni BDSR 39,Double Overhead Cams/Twin Cam (DOHC),"Electronic,",,,,Steel tubular frame,,Upside down telescopic hydraulic fork,"Progressive, single shock absorber with adjustable spring preload",,,"Double disc. Bremo, 4-piston calipers",Single disc. Bremo,"805 mm (31.7 inches) If adjustable, lowest setting.",1431 mm (56.3 inches),,6-speed,,,,,102 mm (4.0 inches),138 mm (5.4 inches),,191.9 kg (423.0 pounds),0.5499 HP/kg,,,,175 mm (6.9 inches),15.20 litres (4.02 US gallons),Bat Black,Electric,,220 mm (8.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1200 RT,2006,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1170.0 ccm (71.39 cubic inches),"Twin, four-stroke",108.6 HP (79.3  kW)) @ 7500 RPM,115.0 Nm (11.7 kgf-m or 84.8 ft.lbs) @ 6000 RPM,101.0 x 73.0 mm (4.0 x 2.9 inches),"Injection.  Electronic intake pipe injection/digital engine management: BMW engine management, BMS-K with overrun fuel cut-off, dual ignition",Single Overhead Cams (SOHC),,,Oil & air,Shaft drive (cardan)   (final drive),,26.6°,BMW Motorrad Telelever,"Die-cast aluminium single-sided swinging arm with BMW Motorrad Paralever, WAD suspension element",120/70-ZR17 ,180/55-ZR17 ,Double disc,Double disc,"820 mm (32.3 inches) If adjustable, lowest setting.",1480 mm (58.3 inches),12.0:1,6-speed,"Single-disc dry clutch, hydraulically operated",3.60 litres/100 km (27.8 km/l or 65.34 mpg),83.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,,110 mm (4.3 inches),120 mm (4.7 inches),135 mm (5.3 inches),229.0 kg (504.9 pounds),0.4743 HP/kg,1430 mm (56.3 inches),2230 mm (87.8 inches),905 mm (35.6 inches),,27.00 litres (7.13 US gallons),,,,265 mm (10.4 inches),,4,,259.0 kg (571.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Katana 750,2006,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",750.0 ccm (45.77 cubic inches),"In-line four, four-stroke",,,70.0 x 48.7 mm (2.8 x 1.9 inches),Carburettor.  Mikuni,Double Overhead Cams/Twin Cam (DOHC),Digital/Transistorized,Wet sump,Oil & air,Chain   (final drive),,,"Telescopic, oil damped, 4-way adjustable rebound damping.","Link-type suspension, 4-way adjustable rebound damping, fully adjustable compression damping and preload.",120/70-ZR17 ,150/70-ZR17 ,Double disc,Single disc,"790 mm (31.1 inches) If adjustable, lowest setting.",1465 mm (57.7 inches),10.7:1,6-speed,Wet multiple plate coil springs,,,,,,,211.0 kg (465.2 pounds),,1190 mm (46.9 inches),2140 mm (84.3 inches),760 mm (29.9 inches),120 mm (4.7 inches),20.00 litres (5.28 US gallons),"Black/Silver, Silver/Red",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati HM Hypermotard,2006,Prototype / concept model," 3.5  See the detailed rating of design and look, fun-factor, etc. Compare with any other motorcycle.",1000.0 ccm (61.02 cubic inches),"Twin, four-stroke",100.0 HP (73.0  kW)),,,Injection,Desmodromic valve control,,,Air,,Trellis frame,,Marzocchi R.A.C. forks,Ohlins single-sided swingarm,,,Single disc. Bremo,Single disc. Bremo,,,,,,,,,,,,175.0 kg (385.8 pounds),0.5714 HP/kg,,,,,,,,,240 mm (9.4 inches),,,,,220.0 km/h (136.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Lem CX2 Motard,2006,"Minibike, cross",Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.8 ccm (3.04 cubic inches),"Single cylinder, two-stroke",7.0 HP (5.1  kW)),1.6 Nm (0.2 kgf-m or 1.2 ft.lbs),,Carburettor. Dell’Orto,,,3% mixture,Air,Chain   (final drive),Oval steel tube,,,,90/90-10 ,90/90-10 ,Single disc,Single disc,"610 mm (24.0 inches) If adjustable, lowest setting.",,,,Centrifugal wet,,,,,,,34.0 kg (75.0 pounds),0.2058 HP/kg,,,,165 mm (6.5 inches),2.00 litres (0.53 US gallons),,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TT-R90,2006,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",89.0 ccm (5.43 cubic inches),"Single cylinder, four-stroke",5.5 HP (4.0  kW)) @ 7000 RPM,6.1 Nm (0.6 kgf-m or 4.5 ft.lbs),47.0 x 51.8 mm (1.9 x 2.0 inches),Carburettor.  Mikuni TMX38,Single Overhead Cams (SOHC),CDI,Premix,Liquid,Chain   (final drive),,,Telescopic fork,Swinging arm (monocross),70/90-M17 ,90/90-M14 ,Expanding brake (drum brake),Expanding brake (drum brake),"625 mm (24.6 inches) If adjustable, lowest setting.",1040 mm (40.9 inches),8.5:1,5-speed,"Wet, multiple-disc",,,,,110 mm (4.3 inches),125 mm (4.9 inches),60.0 kg (132.3 pounds),0.0915 HP/kg,865 mm (34.1 inches),1525 mm (60.0 inches),605 mm (23.8 inches),172 mm (6.8 inches),8.00 litres (2.11 US gallons),,Kick,,110 mm (4.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbi Senda R DRD Racing,2006,Enduro / offroad," 2.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,,39.9 x 40.0 mm (1.6 x 1.6 inches),,,,,,Chain   (final drive),,,Hydraulic fork,Monoshock,90/90-21 ,110/80-18 ,Single disc,Single disc,"805 mm (31.7 inches) If adjustable, lowest setting.",1400 mm (55.1 inches),,6-speed,,,,,,195 mm (7.7 inches),182 mm (7.2 inches),,,,2123 mm (83.6 inches),,,7.00 litres (1.85 US gallons),,,,220 mm (8.7 inches),,,,,100.0 km/h (62.1 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Ape 50,2006,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",,3.6 Nm (0.4 kgf-m or 2.7 ft.lbs) @ 9500 RPM,42.0 x 35.0 mm (1.7 x 1.4 inches),Carburettor,Overhead Cams (OHC),CDI,,Air,,,,,,,,,,"755 mm (29.7 inches) If adjustable, lowest setting.",1710 mm (67.3 inches),9.2:1,5-speed,,,,,89 mm (3.5 inches),,,75.0 kg (165.3 pounds),,1155 mm (45.5 inches),,,130 mm (5.1 inches),5.50 litres (1.45 US gallons),,Kick,Available in a deluxe version.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Canyon 500,2006,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",497.8 ccm (30.38 cubic inches),"Single cylinder, four-stroke",33.5 HP (24.5  kW)) @ 6400 RPM,42.0 Nm (4.3 kgf-m or 31.0 ft.lbs) @ 5500 RPM,92.8 x 73.6 mm (3.7 x 2.9 inches),Carburettor,Overhead Cams (OHC),,,Liquid,,,,,,100/90-ZR19 ,140/80-ZR17 ,Single disc,Single disc,"795 mm (31.3 inches) If adjustable, lowest setting.",1463 mm (57.6 inches),,5-speed,,,,,,,,165.0 kg (363.8 pounds),0.2032 HP/kg,,,,,20.00 litres (5.28 US gallons),"Red, Silver",Electric,,240 mm (9.4 inches),,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 625 SXC,2006,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",625.0 ccm (38.14 cubic inches),"Single cylinder, four-stroke",,,101.0 x 78.0 mm (4.0 x 3.1 inches),Carburettor.  Keihin MX FCR 41,Overhead Cams (OHC),Kokusan DC-CDI,Pressure lubrication with 2 Eaton pumps,Liquid,,Central double-cradle-type 25 CrMo4,27.5°,WP-USD   43 mm (1.89 inches),WP Monoshock with Pro Lever,90/90-21 ,140/80-18 ,Single disc,Single disc,"940 mm (37.0 inches) If adjustable, lowest setting.",1510 mm (59.4 inches),11.7:1,5-speed,"Wet multi-disc clutch, operated hydraulically",,,Aluminum,112 mm (4.4 inches),300 mm (11.8 inches),335 mm (13.2 inches),139.0 kg (306.4 pounds),,,,625 mm (24.6 inches),330 mm (13.0 inches),9.20 litres (2.43 US gallons),,Electric & kick,Not available in the USA.,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tank Sports Urban Sporty 50,2006,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.7 ccm (3.03 cubic inches),"Single cylinder, four-stroke",2.0 HP (1.5  kW)),,,,,CDI,,Air,,,,Twin,Monoshock,,,Single disc,Expanding brake (drum brake),"749 mm (29.5 inches) If adjustable, lowest setting.",1295 mm (51.0 inches),,Automatic,,,,,,,,86.2 kg (190.0 pounds),0.0232 HP/kg,1067 mm (42.0 inches),1727 mm (68.0 inches),559 mm (22.0 inches),,,,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGO T-Rex 110,2006,Scooter," 2.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",106.2 ccm (6.48 cubic inches),"Single cylinder, two-stroke",9.1 HP (6.6  kW)) @ 7500 RPM,,52.0 x 50.0 mm (2.0 x 2.0 inches),Carburettor,,CDI,,Air,,,,Telescopic,"4-Bar Linkage, Uni-Absorber",,,Single disc,Expanding brake (drum brake),,1284 mm (50.6 inches),6.5:1,Automatic,"Dry Style, Centrifugal Type",,,,,,,99.0 kg (218.3 pounds),0.0920 HP/kg,1286 mm (50.6 inches),1870 mm (73.6 inches),815 mm (32.1 inches),,6.70 litres (1.77 US gallons),,Electric & kick,,120 mm (4.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Vulcan 900 Classic,2006,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",903.0 ccm (55.10 cubic inches),"V2, four-stroke",,,88.0 x 74.2 mm (3.5 x 2.9 inches),Injection. 2 x DFI with Keihin 46mm Throttle Bodies,Single Overhead Cams (SOHC),,,Liquid,Belt   (final drive),,,41mm Hydraulic Telescopic Fork,Single Shock,130/90-16 ,180/70-15 ,Single disc,Single disc,,1651 mm (65.0 inches),,5-speed,,,,,,,,,,,,,,18.16 litres (4.80 US gallons),"Ebony, Metallic Ocean Blue, Candy Fire Red, Galaxy Silver",,,270 mm (10.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rieju 125 NKD,2006,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor. Mikuni VM20SS,,,,Air,Chain   (final drive),Perimetral of double beam in steel of high resistance,,Upside-Down Hydraulic Fork Ø 35 mm,MonoShock Absorder,100/80-17 ,130/70-17 ,Single disc. Double piston,Single disc,"800 mm (31.5 inches) If adjustable, lowest setting.",1300 mm (51.2 inches),,5-speed,,,,,,,,107.5 kg (237.0 pounds),,1010 mm (39.8 inches),1900 mm (74.8 inches),,,10.00 litres (2.64 US gallons),,Electric & kick,Engine by Yamaha.,220 mm (8.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLSTFSE Screamin Eagle Fat Boy,2006,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1688.0 ccm (103.00 cubic inches),"Twin, two-stroke",,130.2 Nm (13.3 kgf-m or 96.0 ft.lbs) @ 4000 RPM,98.3 x 111.0 mm (3.9 x 4.4 inches),Injection.  Electronic Sequential Port Fuel Injection,Double Overhead Cams/Twin Cam (DOHC),,,Air,Belt   (final drive),,32.0°,,,,,Double disc,Single disc,,1638 mm (64.5 inches),8.6:1,,,,,Slash-down mufflers w/chrome heat shields,,,,318.4 kg (702.0 pounds),,,2395 mm (94.3 inches),,147 mm (5.8 inches),18.92 litres (5.00 US gallons),,,,,,,,335.7 kg (740.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXSTD Softail Deuce,2006,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1442.2 ccm (88.00 cubic inches),"V2, four-stroke",,115.3 Nm (11.8 kgf-m or 85.0 ft.lbs) @ 3000 RPM,95.3 x 101.6 mm (3.8 x 4.0 inches),Carburettor,Double Overhead Cams/Twin Cam (DOHC),,,Air,Belt   (final drive),,32.0°,,,MH90-21 ,160/70-B17 ,Single disc,Single disc,,1692 mm (66.6 inches),8.9:1,5-speed,Multi-plate with diaphragm spring in oil bath,,,"Chrome, over/under shotgun duals",127 mm (5.0 inches),,,295.3 kg (651.0 pounds),,,2423 mm (95.4 inches),,142 mm (5.6 inches),18.54 litres (4.90 US gallons),"Vivid black, brilliant silver, black cherry, black pearl, deep cobalt, glacier white pearl, rich sunglo blue, brandy wine sunglo, two-tone rich sunglo blue and chopper blue, two-tone black cherry and black pearl, two-tone fire red pearl and vivid black, t",,"Stretched custom tank. Full-length, chromed tank console. Custom horseshoe oil tank and shotgun-style exhaust. Stretched, custom fast-back style rear fender. Chrome front forks, slider covers and risers with low-rise flat-track-style handlebar.",292 mm (11.5 inches),,2,,309.3 kg (682.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VTX 1800 Sport Cruiser,2006,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1795.0 ccm (109.53 cubic inches),"V2, four-stroke",,,101.0 x 112.0 mm (4.0 x 4.4 inches),Injection.  Programmed Fuel Injection (PGM-FI) with automatic choke,Single Overhead Cams (SOHC),"Digital with three-dimensional mapping, two spark plugs per cylinder",,Liquid,Shaft drive (cardan)   (final drive),,31.5°,45.0mm inverted fork,Dual shocks with five-position spring-preload adjustability,130/70-R18 ,180/55-R18 ,Double disc,Single disc,"701 mm (27.6 inches) If adjustable, lowest setting.",1715 mm (67.5 inches),9.0:1,5-speed,,,,,144 mm (5.7 inches),130 mm (5.1 inches),99 mm (3.9 inches),337.0 kg (743.0 pounds),,,,,,18.16 litres (4.80 US gallons),"Dark Red, Black, Silver Tribal, Bright Blue Metallic Tribal",Electric,"Model ID: VTX1800F1
(Style F)",316 mm (12.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomos Revival TS,2006,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",3.2 HP (2.3  kW)) @ 5000 RPM,3.5 Nm (0.4 kgf-m or 2.6 ft.lbs) @ 2600 RPM,,,,,,Air,Belt   (final drive),,,,,,,Single disc,Expanding brake (drum brake),,1200 mm (47.2 inches),,,Centrifugal,,,,,,,68.0 kg (149.9 pounds),0.0465 HP/kg,,,,,4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Hornet 900,2006,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",919.0 ccm (56.08 cubic inches),"In-line four, four-stroke",107.3 HP (78.3  kW)) @ 9000 RPM,91.0 Nm (9.3 kgf-m or 67.1 ft.lbs) @ 6500 RPM,71.0 x 58.0 mm (2.8 x 2.3 inches),Injection. PGM-FI electronic fuel injection,Double Overhead Cams/Twin Cam (DOHC),Computer-controlled digital transistorised with electronic advance,,Liquid,Chain   (final drive),"Diamond, steel tube",,,,,,Double disc,Single disc,"795 mm (31.3 inches) If adjustable, lowest setting.",1460 mm (57.5 inches),10.8:1,6-speed,"Wet, multiplate with coil springs",,,,,,116 mm (4.6 inches),194.0 kg (427.7 pounds),0.5530 HP/kg,,,,145 mm (5.7 inches),19.00 litres (5.02 US gallons),,Electric,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Bonneville,2006,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",790.0 ccm (48.21 cubic inches),"Twin, four-stroke",62.0 HP (45.3  kW)) @ 7300 RPM,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 7200 RPM,86.0 x 68.0 mm (3.4 x 2.7 inches),Carburettor,Double Overhead Cams/Twin Cam (DOHC),Digital - inductive type,,Air,Chain   (final drive),Tubular steel cradle,28.0°,41mm forks,Chromed spring twin shocks with adjustable preload,,,Single disc,Single disc,"775 mm (30.5 inches) If adjustable, lowest setting.",1500 mm (59.1 inches),9.2:1,5-speed,"Wet, multi-plate",,,,,,,205.0 kg (451.9 pounds),0.3024 HP/kg,,2230 mm (87.8 inches),840 mm (33.1 inches),,16.60 litres (4.39 US gallons),"Jet Black, Goodwood Green, Aluminum Silver (Jet Black also available with black engine finish)",,,255 mm (10.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Virago 250,2006,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"V2, four-stroke",,,49.0 x 66.0 mm (1.9 x 2.6 inches),Carburettor.  26mm Mikuni,Single Overhead Cams (SOHC),Digital TCI,,Air,Chain   (final drive),,,Telescopic fork,Twin shocks w/adjustable spring preload,110/90-V18 ,130/90-V15 ,Single disc,Expanding brake (drum brake),"686 mm (27.0 inches) If adjustable, lowest setting.",1491 mm (58.7 inches),10.0:1,5-speed,,,,,,140 mm (5.5 inches),109 mm (4.3 inches),137.0 kg (302.0 pounds),,1140 mm (44.9 inches),2189 mm (86.2 inches),815 mm (32.1 inches),,9.46 litres (2.50 US gallons),,Electric,,130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLX 250 R,2006,Super motard," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,,72.0 x 61.2 mm (2.8 x 2.4 inches),Carburettor.  Keihin CVK34,Double Overhead Cams/Twin Cam (DOHC),Digital CDI,,Liquid,Chain   (final drive),,26.5°,43mm Inverted Cartridge Fork with 16-Way Compression Damping Adjustment,"Uni-Trak with Adjustable Preload, 16-Way Compression and Rebound Damping Adjustment",80/90-21 ,100/90-18 ,Single disc,Single disc,"884 mm (34.8 inches) If adjustable, lowest setting.",1435 mm (56.5 inches),11.0:1,6-speed,,,,,,,,118.8 kg (262.0 pounds),,,,,295 mm (11.6 inches),7.19 litres (1.90 US gallons),Lime Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vespa LX150,2006,Scooter," 2.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",151.0 ccm (9.21 cubic inches),"Single cylinder, four-stroke",8.5 HP (6.2  kW)) @ 7750 RPM,11.6 Nm (1.2 kgf-m or 8.6 ft.lbs) @ 6000 RPM,62.2 x 48.6 mm (2.4 x 1.9 inches),Carburettor,Single Overhead Cams (SOHC),,,Air,,,,,,110/70-11 ,120/70-10 ,Single disc,Expanding brake (drum brake),"775 mm (30.5 inches) If adjustable, lowest setting.",1280 mm (50.4 inches),10.7:1,,,,,,,,,96.0 kg (211.6 pounds),0.0885 HP/kg,,1755 mm (69.1 inches),,,8.60 litres (2.27 US gallons),,Electric & kick,,140 mm (5.5 inches),,2,,,98.0 km/h (60.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Royal Star Venture,2006,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1294.0 ccm (78.96 cubic inches),"V4, four-stroke",,,79.0 x 66.0 mm (3.1 x 2.6 inches),Carburettor.  4 x 32mm Mikuni Constant-Velocity,Double Overhead Cams/Twin Cam (DOHC),Digital TCI,,Liquid,Shaft drive (cardan)   (final drive),,,Telescopic fork w/air assist,"Single shock, link-type w/air assist",150/80-16 ,150/90-15 ,Double disc,Single disc,"749 mm (29.5 inches) If adjustable, lowest setting.",1704 mm (67.1 inches),10.0:1,5-speed,,,,,,140 mm (5.5 inches),104 mm (4.1 inches),366.0 kg (807.0 pounds),,1565 mm (61.6 inches),2654 mm (104.5 inches),899 mm (35.4 inches),,22.71 litres (6.00 US gallons),,,,320 mm (12.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 749,2006,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",106.6 HP (77.8  kW)) @ 10000 RPM,84.3 Nm (8.6 kgf-m or 62.2 ft.lbs) @ 8500 RPM,90.0 x 58.8 mm (3.5 x 2.3 inches),"Injection. Marelli electronic fuel injection, 54 mm throttle body ",Desmodromic valve control,,,Liquid,Chain   (final drive),Tubular steel trellis ,24.5°,Showa 43 mm upside-down fully adjustable fork ,Progressive linkage with fully adjustable Sachs monoshock ,120/70-ZR17 ,180/55-ZR17 ,Double disc,Single disc,"780 mm (30.7 inches) If adjustable, lowest setting.",1420 mm (55.9 inches),11.7:1,6-speed,Dry multiplate with hydraulic control ,,,Single steel muffler with catalytic converter ,,125 mm (4.9 inches),128 mm (5.0 inches),188.0 kg (414.5 pounds),0.5671 HP/kg,,,,,15.50 litres (4.10 US gallons),,Electric,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
